cell_id,Aphelocoma woodhouseii,Aphelocoma woodhouseii [woodhouseii Group],Aphelocoma woodhouseii sumichrasti/remota
8426801ffffffff,3.0,3.0,0.0
8426805ffffffff,3.0,3.0,0.0
842680dffffffff,4.0,4.0,0.0
8426813ffffffff,14.0,7.0,0.0
8426815ffffffff,5.0,0.0,0.0
8426817ffffffff,3.0,0.0,0.0
8426819ffffffff,10.0,3.0,0.0
842681bffffffff,6.0,0.0,0.0
842682dffffffff,2.0,0.0,0.0
8426831ffffffff,3.0,0.0,0.0
8426853ffffffff,1.0,0.0,0.0
8426857ffffffff,2.0,0.0,0.0
8426881ffffffff,12.0,4.0,0.0
842688dffffffff,2.0,0.0,0.0
8426891ffffffff,1.0,0.0,0.0
8426893ffffffff,95.0,16.0,0.0
8426899ffffffff,7.0,0.0,0.0
842689dffffffff,4.0,2.0,0.0
84268abffffffff,2.0,0.0,0.0
84268b3ffffffff,2.0,2.0,0.0
84268b9ffffffff,7.0,7.0,0.0
84268bbffffffff,4.0,4.0,0.0
84268bdffffffff,2.0,2.0,0.0
84268c1ffffffff,6.0,2.0,0.0
84268c5ffffffff,4.0,0.0,0.0
84268c7ffffffff,6.0,0.0,0.0
84268cdffffffff,64.0,8.0,0.0
84268d3ffffffff,11.0,0.0,0.0
84268d7ffffffff,4.0,0.0,0.0
84268e1ffffffff,2.0,0.0,0.0
84268e3ffffffff,1.0,1.0,0.0
84268ebffffffff,4.0,0.0,0.0
8426905ffffffff,10.0,7.0,0.0
8426907ffffffff,2.0,2.0,0.0
842690dffffffff,8.0,0.0,0.0
8426923ffffffff,2.0,2.0,0.0
8426927ffffffff,3.0,3.0,0.0
8426929ffffffff,20.0,18.0,0.0
842693bffffffff,2.0,2.0,0.0
8426945ffffffff,2.0,2.0,0.0
842695bffffffff,2.0,0.0,0.0
8426961ffffffff,19.0,19.0,0.0
8426963ffffffff,67.0,47.0,0.0
8426967ffffffff,10.0,4.0,0.0
8426969ffffffff,119.0,111.0,0.0
842696bffffffff,267.0,242.0,0.0
8426983ffffffff,2.0,0.0,0.0
8426985ffffffff,2.0,0.0,0.0
8426993ffffffff,2.0,0.0,0.0
8426995ffffffff,4.0,1.0,0.0
842699dffffffff,2.0,0.0,0.0
84269a1ffffffff,4.0,3.0,0.0
84269adffffffff,2.0,2.0,0.0
84269b9ffffffff,8.0,1.0,0.0
84269c1ffffffff,4.0,2.0,0.0
84269c3ffffffff,2.0,0.0,0.0
84269c5ffffffff,22.0,22.0,0.0
84269c9ffffffff,4.0,0.0,0.0
84269cbffffffff,4.0,0.0,0.0
84269cdffffffff,5.0,5.0,0.0
84269d1ffffffff,9.0,2.0,0.0
84269d5ffffffff,1.0,0.0,0.0
84269d7ffffffff,2.0,0.0,0.0
84269d9ffffffff,7.0,0.0,0.0
84269ddffffffff,7.0,5.0,0.0
84269e1ffffffff,16.0,16.0,0.0
84269e7ffffffff,3.0,3.0,0.0
84269e9ffffffff,13.0,13.0,0.0
84269ebffffffff,6.0,6.0,0.0
8426aa1ffffffff,11.0,0.0,0.0
8426aa5ffffffff,3.0,0.0,0.0
8426aa7ffffffff,3.0,0.0,0.0
8426ab3ffffffff,4.0,2.0,0.0
8426d15ffffffff,2.0,0.0,0.0
8426d23ffffffff,2.0,0.0,0.0
8426d35ffffffff,3.0,0.0,0.0
8426d45ffffffff,14.0,0.0,0.0
8426d49ffffffff,84.0,2.0,0.0
8426d4bffffffff,47.0,0.0,0.0
8426d4dffffffff,2.0,0.0,0.0
8426d55ffffffff,1.0,0.0,0.0
8426d6bffffffff,6.0,5.0,0.0
8426dbdffffffff,1.0,1.0,0.0
8426f07ffffffff,7.0,0.0,0.0
8426f21ffffffff,3.0,0.0,0.0
8426f23ffffffff,7.0,0.0,0.0
8426f25ffffffff,4.0,0.0,0.0
8426f27ffffffff,39.0,2.0,0.0
8426f2dffffffff,10.0,0.0,0.0
8426f35ffffffff,10.0,0.0,0.0
8426f3dffffffff,6.0,0.0,0.0
842894dffffffff,6.0,0.0,0.0
8428b09ffffffff,1.0,1.0,0.0
8428b61ffffffff,13.0,8.0,0.0
8428b65ffffffff,74.0,0.0,0.0
8428b6dffffffff,12.0,2.0,0.0
842980dffffffff,5.0,5.0,0.0
842981bffffffff,66.0,4.0,0.0
8429841ffffffff,15.0,9.0,0.0
8429849ffffffff,22.0,0.0,0.0
842984dffffffff,14.0,14.0,0.0
8429851ffffffff,27.0,0.0,0.0
8429853ffffffff,60.0,2.0,0.0
8429855ffffffff,10.0,2.0,0.0
842985dffffffff,2.0,0.0,0.0
8429867ffffffff,2.0,2.0,0.0
842986bffffffff,26.0,26.0,0.0
8429895ffffffff,2.0,0.0,0.0
84298abffffffff,2.0,0.0,0.0
84298adffffffff,2.0,2.0,0.0
84298c3ffffffff,3.0,0.0,0.0
84298c9ffffffff,59.0,6.0,0.0
84298cdffffffff,76.0,6.0,0.0
84298d7ffffffff,6.0,6.0,0.0
8429903ffffffff,1.0,1.0,0.0
8429909ffffffff,6.0,6.0,0.0
842990bffffffff,22.0,20.0,0.0
8429919ffffffff,2.0,2.0,0.0
8429925ffffffff,1.0,1.0,0.0
8429929ffffffff,1.0,1.0,0.0
842992bffffffff,17.0,17.0,0.0
8429931ffffffff,2.0,2.0,0.0
8429933ffffffff,2.0,2.0,0.0
8429947ffffffff,3.0,3.0,0.0
842994bffffffff,4.0,4.0,0.0
842994dffffffff,67.0,65.0,0.0
8429953ffffffff,14.0,10.0,0.0
8429955ffffffff,7.0,5.0,0.0
8429957ffffffff,6.0,4.0,0.0
842995bffffffff,3.0,3.0,0.0
842995dffffffff,2.0,2.0,0.0
842996bffffffff,1.0,1.0,0.0
8429995ffffffff,2.0,2.0,0.0
84299b7ffffffff,7.0,7.0,0.0
84299bdffffffff,1.0,1.0,0.0
84299ebffffffff,2.0,2.0,0.0
8429a31ffffffff,2.0,0.0,0.0
8429a33ffffffff,1.0,0.0,0.0
8429a3bffffffff,7.0,5.0,0.0
8429aa1ffffffff,1.0,0.0,0.0
8429aa5ffffffff,4.0,0.0,0.0
8429aa7ffffffff,316.0,40.0,0.0
8429aadffffffff,14.0,0.0,0.0
8429ae1ffffffff,7.0,0.0,0.0
8429ae5ffffffff,11.0,0.0,0.0
8429b03ffffffff,16.0,16.0,0.0
8429b09ffffffff,32.0,8.0,0.0
8429b0bffffffff,10.0,6.0,0.0
8429b0dffffffff,2.0,0.0,0.0
8429b11ffffffff,2.0,0.0,0.0
8429b13ffffffff,1.0,1.0,0.0
8429b19ffffffff,3.0,0.0,0.0
8429b1bffffffff,84.0,80.0,0.0
8429b1dffffffff,20.0,14.0,0.0
8429b29ffffffff,41.0,41.0,0.0
8429b2dffffffff,16.0,14.0,0.0
8429b31ffffffff,3.0,3.0,0.0
8429b39ffffffff,20.0,20.0,0.0
8429b3bffffffff,2.0,2.0,0.0
8429b3dffffffff,1.0,1.0,0.0
8429b47ffffffff,7.0,0.0,0.0
8429b55ffffffff,2.0,0.0,0.0
8429b5dffffffff,1.0,1.0,0.0
8429b63ffffffff,3.0,3.0,0.0
8429b65ffffffff,2.0,0.0,0.0
8429b67ffffffff,16.0,15.0,0.0
84485bdffffffff,2.0,0.0,0.0
8448833ffffffff,3.0,3.0,0.0
8448837ffffffff,9.0,9.0,0.0
8448881ffffffff,2.0,2.0,0.0
8448887ffffffff,1.0,1.0,0.0
84488a5ffffffff,2.0,0.0,0.0
84488d1ffffffff,6.0,0.0,0.0
84488d3ffffffff,191.0,0.0,0.0
84488d5ffffffff,2.0,0.0,0.0
84488d7ffffffff,2.0,0.0,0.0
84488d9ffffffff,2.0,0.0,0.0
84488dbffffffff,8.0,0.0,0.0
84488edffffffff,5.0,5.0,0.0
