cell_id,Tangara arthus,Tangara arthus arthus,Tangara arthus [aurulenta Group],Tangara arthus [pulchra Group]
826607fffffffff,64.0,0.0,4.0,0.0
82660ffffffffff,1059.0,0.0,11.0,0.0
82661ffffffffff,10221.0,0.0,278.0,0.0
82662ffffffffff,72.0,12.0,0.0,0.0
8266c7fffffffff,1881.0,0.0,4.0,0.0
8266d7fffffffff,14626.0,0.0,1082.0,0.0
8266dffffffffff,2221.0,0.0,0.0,155.0
8266e7fffffffff,6272.0,0.0,193.0,0.0
8266f7fffffffff,9747.0,0.0,206.0,0.0
826747fffffffff,558.0,40.0,0.0,0.0
82674ffffffffff,356.0,23.0,0.0,0.0
826757fffffffff,79.0,3.0,0.0,0.0
82675ffffffffff,245.0,3.0,0.0,0.0
828b27fffffffff,3.0,0.0,0.0,0.0
828b2ffffffffff,23.0,0.0,0.0,1.0
828b67fffffffff,1292.0,0.0,0.0,67.0
828b6ffffffffff,5.0,0.0,0.0,0.0
828b77fffffffff,3.0,0.0,0.0,0.0
828e67fffffffff,39.0,0.0,0.0,0.0
828f0ffffffffff,644.0,0.0,45.0,0.0
828f2ffffffffff,443.0,0.0,2.0,0.0
828f47fffffffff,213.0,0.0,0.0,0.0
828f4ffffffffff,62.0,0.0,0.0,0.0
828f5ffffffffff,8.0,0.0,0.0,0.0
828f77fffffffff,1257.0,0.0,4.0,121.0
82b327fffffffff,6.0,0.0,0.0,0.0
