cell_id,Peucaea botterii,Peucaea botterii [botterii Group],Peucaea botterii [petenica Group]
8444249ffffffff,7.0,0.0,0.0
84452adffffffff,12.0,0.0,2.0
84452c5ffffffff,16.0,0.0,7.0
84452e7ffffffff,2.0,0.0,0.0
8445365ffffffff,8.0,0.0,0.0
844814bffffffff,1.0,0.0,0.0
844816bffffffff,8.0,0.0,0.0
8448a05ffffffff,1.0,0.0,0.0
8448b2bffffffff,2.0,0.0,0.0
8448b35ffffffff,2.0,0.0,0.0
8448b37ffffffff,1.0,0.0,0.0
8448b3dffffffff,5.0,0.0,0.0
8448b47ffffffff,1.0,0.0,0.0
8448c59ffffffff,22.0,0.0,0.0
8448c5bffffffff,3.0,0.0,0.0
8448c5dffffffff,19.0,4.0,0.0
8448e37ffffffff,8.0,0.0,0.0
8448e67ffffffff,1.0,0.0,0.0
8448e81ffffffff,1.0,0.0,0.0
8448e85ffffffff,6.0,0.0,0.0
8448e89ffffffff,14.0,2.0,0.0
8448e8dffffffff,188.0,6.0,0.0
8448ea1ffffffff,2.0,2.0,0.0
8448eabffffffff,22.0,0.0,0.0
8448eadffffffff,6.0,2.0,0.0
8448ec3ffffffff,1.0,0.0,0.0
8448ec5ffffffff,4.0,0.0,0.0
8448ec7ffffffff,28.0,0.0,0.0
8448ee1ffffffff,31.0,7.0,0.0
8448ee3ffffffff,2.0,0.0,0.0
8448ee5ffffffff,2.0,0.0,0.0
8448ee9ffffffff,22.0,0.0,0.0
8448eebffffffff,164.0,2.0,0.0
844983dffffffff,2.0,0.0,0.0
8449943ffffffff,1.0,0.0,0.0
844994bffffffff,4.0,2.0,0.0
8449959ffffffff,67.0,6.0,0.0
844995bffffffff,6.0,0.0,0.0
8449961ffffffff,9.0,0.0,0.0
8449a85ffffffff,1.0,1.0,0.0
8449aa1ffffffff,14.0,0.0,0.0
8449b37ffffffff,2.0,2.0,0.0
846d14bffffffff,2.0,0.0,0.0
846d253ffffffff,3.0,0.0,3.0
846d297ffffffff,51.0,0.0,0.0
846d299ffffffff,25.0,0.0,0.0
846d2b1ffffffff,7.0,0.0,0.0
846d2ebffffffff,3.0,0.0,0.0
846d681ffffffff,15.0,0.0,0.0
