cell_id,Cisticola eximius,Cisticola eximius winneba,Cisticola eximius eximius/occidens
845440dffffffff,1.0,0.0,0.0
8454433ffffffff,1.0,0.0,0.0
84545cbffffffff,1.0,0.0,0.0
84545d9ffffffff,1.0,0.0,0.0
8454c53ffffffff,1.0,0.0,0.0
8454ea1ffffffff,1.0,0.0,0.0
8454ea5ffffffff,1.0,0.0,0.0
8454ea9ffffffff,1.0,0.0,0.0
8454f1bffffffff,5.0,0.0,0.0
8454f57ffffffff,3.0,0.0,0.0
8454f6bffffffff,1.0,0.0,0.0
8458183ffffffff,1.0,0.0,0.0
8458cd5ffffffff,1.0,0.0,0.0
8458e2dffffffff,1.0,0.0,0.0
845991bffffffff,1.0,0.0,0.0
8459985ffffffff,8.0,0.0,0.0
84599a5ffffffff,5.0,0.0,0.0
84599e5ffffffff,34.0,0.0,0.0
84599e7ffffffff,1.0,0.0,0.0
846ae0bffffffff,4.0,0.0,0.0
84751e9ffffffff,1.0,0.0,0.0
8475201ffffffff,1.0,0.0,0.0
8475257ffffffff,2.0,0.0,0.0
8475293ffffffff,2.0,0.0,0.0
847529bffffffff,4.0,0.0,0.0
84752abffffffff,1.0,0.0,0.0
8475761ffffffff,4.0,0.0,0.0
8475769ffffffff,2.0,0.0,0.0
8475a07ffffffff,1.0,0.0,0.0
8475b01ffffffff,1.0,0.0,0.0
847a681ffffffff,6.0,0.0,0.0
847a683ffffffff,49.0,0.0,0.0
847a68bffffffff,7.0,0.0,0.0
8482131ffffffff,1.0,0.0,0.0
8482845ffffffff,1.0,0.0,0.0
848284dffffffff,4.0,0.0,0.0
