cell_id,Pampusana beccarii,Pampusana beccarii beccarii,Pampusana beccarii [johannae Group]
8472a2bffffffff,86.0,0.0,0.0
8472b07ffffffff,1.0,0.0,0.0
8472da1ffffffff,57.0,0.0,0.0
8472da3ffffffff,4.0,0.0,0.0
8472da5ffffffff,1.0,0.0,0.0
8472db3ffffffff,5.0,0.0,0.0
8472de1ffffffff,1.0,0.0,0.0
84739a1ffffffff,1.0,0.0,0.0
8476809ffffffff,1.0,0.0,0.0
847682bffffffff,1.0,0.0,0.0
84769d1ffffffff,1.0,0.0,0.0
8477913ffffffff,2.0,0.0,0.0
849c851ffffffff,4.0,0.0,0.0
849c85bffffffff,1.0,0.0,0.0
849c8a3ffffffff,2.0,0.0,0.0
849c8a7ffffffff,1.0,0.0,0.0
849c8bdffffffff,6.0,0.0,0.0
849c901ffffffff,11.0,0.0,0.0
849c9d1ffffffff,15.0,0.0,0.0
849c9d5ffffffff,6.0,0.0,0.0
849c9d7ffffffff,4.0,0.0,0.0
849c9ddffffffff,1.0,0.0,0.0
849cd2dffffffff,4.0,0.0,0.0
849ec03ffffffff,5.0,0.0,0.0
849ed19ffffffff,1.0,0.0,0.0
849ed51ffffffff,15.0,0.0,0.0
849ed53ffffffff,2.0,0.0,0.0
849ed59ffffffff,1.0,0.0,0.0
