cell_id,Batis margaritae,Batis margaritae margaritae,Batis margaritae kathleenae
838333fffffffff,13.0,9.0,0.0
839601fffffffff,8.0,0.0,3.0
839609fffffffff,7.0,0.0,0.0
83960afffffffff,4.0,0.0,1.0
83960bfffffffff,2.0,0.0,0.0
83960dfffffffff,4.0,0.0,1.0
839654fffffffff,4.0,0.0,0.0
839656fffffffff,1.0,0.0,0.0
839670fffffffff,12.0,0.0,0.0
839672fffffffff,15.0,0.0,0.0
839676fffffffff,1.0,0.0,1.0
8396e4fffffffff,1.0,0.0,0.0
