cell_id,Treron formosae,Treron formosae permagnus/medioximus,Treron formosae formosae/filipinus
844b56dffffffff,23.0,23.0,0.0
844b845ffffffff,4.0,0.0,0.0
844b84dffffffff,4.0,0.0,0.0
844b863ffffffff,3.0,0.0,0.0
844b86dffffffff,6.0,0.0,2.0
844ba35ffffffff,6.0,0.0,0.0
844ba3dffffffff,2.0,0.0,0.0
844ba81ffffffff,1.0,1.0,0.0
844bb13ffffffff,5.0,0.0,1.0
844bb17ffffffff,5.0,0.0,0.0
