cell_id,Edolisoma erythropygium,Edolisoma erythropygium ultimum,Edolisoma erythropygium erythropygium/saturatius,Edolisoma erythropygium nisorium
827687fffffffff,22.0,0.0,0.0,0.0
82768ffffffffff,1.0,0.0,0.0,0.0
82769ffffffffff,70.0,0.0,0.0,0.0
829ed7fffffffff,6.0,0.0,0.0,0.0
829edffffffffff,39.0,0.0,0.0,0.0
