cell_id,Pipreola riefferii,Pipreola riefferii [riefferii Group],Pipreola riefferii tallmanorum
826607fffffffff,1.0,0.0,0.0
82660ffffffffff,471.0,3.0,0.0
82661ffffffffff,5075.0,291.0,0.0
826627fffffffff,35.0,0.0,0.0
82662ffffffffff,120.0,12.0,0.0
8266c7fffffffff,1178.0,0.0,0.0
8266d7fffffffff,1646.0,215.0,0.0
8266dffffffffff,1072.0,152.0,0.0
8266e7fffffffff,4503.0,148.0,0.0
8266f7fffffffff,2004.0,40.0,0.0
826747fffffffff,83.0,3.0,0.0
82674ffffffffff,4.0,0.0,0.0
82675ffffffffff,94.0,1.0,0.0
828f2ffffffffff,12.0,0.0,0.0
828f47fffffffff,63.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0
828f57fffffffff,87.0,3.0,0.0
828f5ffffffffff,13.0,0.0,0.0
828f77fffffffff,1210.0,126.0,0.0
