cell_id,Diopsittaca nobilis,Diopsittaca nobilis nobilis,Diopsittaca nobilis cumanensis/longipennis
825f07fffffffff,2.0,0.0,0.0
825f0ffffffffff,428.0,0.0,0.0
825f1ffffffffff,115.0,0.0,0.0
825f2ffffffffff,295.0,0.0,0.0
825f47fffffffff,17.0,0.0,0.0
825f4ffffffffff,32.0,0.0,0.0
825f57fffffffff,17.0,0.0,0.0
825f5ffffffffff,2.0,0.0,0.0
825f6ffffffffff,22.0,0.0,0.0
825f77fffffffff,76.0,3.0,0.0
82666ffffffffff,2.0,0.0,0.0
828007fffffffff,11.0,0.0,0.0
82800ffffffffff,20.0,0.0,0.0
828027fffffffff,2.0,0.0,0.0
82802ffffffffff,3.0,0.0,0.0
82804ffffffffff,4.0,0.0,0.0
828057fffffffff,2.0,0.0,0.0
82806ffffffffff,3.0,0.0,0.0
828077fffffffff,2.0,0.0,0.0
828107fffffffff,1.0,0.0,0.0
828117fffffffff,4.0,0.0,0.0
82811ffffffffff,1.0,0.0,1.0
828127fffffffff,130.0,0.0,4.0
82812ffffffffff,52.0,0.0,1.0
828137fffffffff,3.0,0.0,0.0
828147fffffffff,144.0,0.0,0.0
82814ffffffffff,16.0,0.0,0.0
828157fffffffff,4.0,0.0,0.0
82815ffffffffff,11.0,0.0,0.0
828167fffffffff,82.0,0.0,0.0
828177fffffffff,100.0,0.0,0.0
828187fffffffff,765.0,0.0,79.0
82819ffffffffff,67.0,0.0,0.0
8281a7fffffffff,52.0,0.0,0.0
8281affffffffff,9.0,0.0,0.0
828a07fffffffff,1.0,0.0,0.0
828a27fffffffff,1.0,0.0,0.0
828a87fffffffff,4.0,0.0,0.0
828adffffffffff,101.0,17.0,0.0
828b07fffffffff,20.0,0.0,0.0
828b0ffffffffff,16.0,0.0,0.0
828b17fffffffff,28.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0
828b27fffffffff,15.0,0.0,0.0
828b2ffffffffff,6.0,0.0,0.0
828b57fffffffff,4.0,0.0,0.0
828b77fffffffff,6.0,0.0,0.0
828b87fffffffff,145.0,0.0,1.0
828b9ffffffffff,9.0,0.0,0.0
828ba7fffffffff,180.0,0.0,11.0
828baffffffffff,1.0,0.0,0.0
828bb7fffffffff,529.0,0.0,30.0
82a80ffffffffff,4.0,0.0,0.0
82a817fffffffff,1962.0,0.0,19.0
82a81ffffffffff,112.0,0.0,2.0
82a847fffffffff,222.0,0.0,11.0
82a857fffffffff,161.0,0.0,2.0
82a85ffffffffff,84.0,0.0,5.0
82a867fffffffff,2.0,0.0,0.0
82a877fffffffff,6.0,0.0,0.0
82a887fffffffff,3.0,0.0,0.0
82a88ffffffffff,79.0,0.0,2.0
82a8a7fffffffff,309.0,0.0,0.0
82a8affffffffff,2.0,0.0,0.0
82a8c7fffffffff,210.0,0.0,7.0
82a8cffffffffff,31.0,0.0,9.0
82a8d7fffffffff,180.0,0.0,0.0
82a8dffffffffff,212.0,0.0,0.0
82a8e7fffffffff,29.0,0.0,1.0
82a8effffffffff,66.0,0.0,2.0
82a8f7fffffffff,41.0,0.0,0.0
