cell_id,Thalassarche cauta,Thalassarche cauta cauta,Thalassarche cauta steadi
8428313ffffffff,4.0,0.0,0.0
8428e61ffffffff,5.0,0.0,0.0
84ad345ffffffff,2.0,0.0,0.0
84ad347ffffffff,11.0,0.0,0.0
84ad34dffffffff,8.0,0.0,1.0
84ad361ffffffff,1.0,0.0,1.0
84ad369ffffffff,18.0,0.0,7.0
84b2189ffffffff,2.0,0.0,0.0
84b2195ffffffff,1.0,0.0,0.0
84b21d5ffffffff,2.0,0.0,0.0
84b2c45ffffffff,24.0,0.0,0.0
84b2c4dffffffff,17.0,3.0,0.0
84bb08dffffffff,2.0,0.0,0.0
84bb0a5ffffffff,1.0,0.0,0.0
84bb0c7ffffffff,11.0,0.0,11.0
84bb249ffffffff,1.0,0.0,1.0
84bb283ffffffff,13.0,0.0,13.0
84bb291ffffffff,23.0,0.0,10.0
84bb295ffffffff,11.0,2.0,5.0
84bb297ffffffff,2.0,0.0,0.0
84bb299ffffffff,3.0,0.0,3.0
84bb29dffffffff,1.0,0.0,0.0
84bb2b5ffffffff,8.0,0.0,0.0
84bb2bbffffffff,2.0,0.0,2.0
84bb2dbffffffff,47.0,0.0,0.0
84bb533ffffffff,29.0,0.0,0.0
84bb537ffffffff,19.0,0.0,2.0
84bb53dffffffff,4.0,0.0,4.0
84bb54bffffffff,11.0,0.0,0.0
84bb565ffffffff,10.0,0.0,8.0
84bb567ffffffff,6.0,0.0,6.0
84bb5a9ffffffff,2.0,0.0,2.0
84bb5e1ffffffff,2.0,0.0,0.0
84bb741ffffffff,3.0,0.0,0.0
84bc1b7ffffffff,6.0,0.0,3.0
84bc693ffffffff,9.0,0.0,2.0
84be08dffffffff,2.0,0.0,0.0
84be0c1ffffffff,8.0,0.0,8.0
84be0c3ffffffff,3.0,0.0,1.0
84be0c7ffffffff,7.0,0.0,0.0
84be0ddffffffff,2.0,0.0,0.0
84be0e1ffffffff,4.0,2.0,0.0
84be0e3ffffffff,16.0,1.0,6.0
84be0e5ffffffff,4.0,0.0,3.0
84be0e7ffffffff,8.0,2.0,6.0
84be1d5ffffffff,2.0,0.0,0.0
84be1d9ffffffff,3.0,0.0,1.0
84be293ffffffff,28.0,2.0,13.0
84be29bffffffff,11.0,0.0,0.0
84be615ffffffff,7.0,0.0,0.0
84be639ffffffff,9.0,0.0,0.0
84be63bffffffff,4.0,0.0,0.0
84be689ffffffff,12.0,0.0,0.0
84be68bffffffff,2.0,0.0,0.0
84be691ffffffff,3.0,3.0,0.0
84be76dffffffff,2.0,0.0,0.0
84be88bffffffff,10.0,0.0,0.0
84beab1ffffffff,2.0,0.0,0.0
84beab7ffffffff,4.0,0.0,0.0
84bf1a3ffffffff,2.0,0.0,0.0
84bf223ffffffff,1.0,0.0,0.0
84bf2b3ffffffff,1.0,0.0,0.0
84bf2bbffffffff,4.0,0.0,0.0
84bf5b1ffffffff,19.0,0.0,5.0
84bf705ffffffff,4.0,0.0,0.0
84bf715ffffffff,1.0,0.0,0.0
84bf761ffffffff,2.0,0.0,0.0
84bf76dffffffff,3.0,0.0,0.0
84c2031ffffffff,1.0,0.0,0.0
84c2035ffffffff,5.0,0.0,0.0
84c2037ffffffff,7.0,0.0,0.0
84c214bffffffff,1.0,0.0,0.0
84c215bffffffff,3.0,0.0,0.0
84c215dffffffff,1.0,0.0,0.0
84c21c9ffffffff,23.0,0.0,1.0
84c21e7ffffffff,1.0,0.0,0.0
84c9845ffffffff,2.0,0.0,0.0
84c99c1ffffffff,1.0,0.0,0.0
84c99ebffffffff,7.0,0.0,0.0
84c9b0bffffffff,2.0,0.0,0.0
84cb193ffffffff,2.0,0.0,0.0
84cb2d7ffffffff,2.0,0.0,0.0
84cc467ffffffff,2.0,0.0,0.0
84cc501ffffffff,2.0,0.0,0.0
84cf153ffffffff,4.0,0.0,0.0
84d6dc5ffffffff,2.0,0.0,2.0
84d8b65ffffffff,2.0,0.0,0.0
84da087ffffffff,1.0,0.0,1.0
84da091ffffffff,1.0,0.0,0.0
84da093ffffffff,2.0,0.0,0.0
84da0a1ffffffff,1.0,0.0,0.0
84da0cbffffffff,1.0,0.0,0.0
84da189ffffffff,1.0,0.0,0.0
84da1a5ffffffff,1.0,0.0,1.0
84da841ffffffff,68.0,0.0,0.0
84da843ffffffff,26.0,0.0,0.0
84da845ffffffff,19.0,0.0,0.0
84da847ffffffff,8.0,0.0,0.0
84da84bffffffff,1.0,0.0,0.0
84da84dffffffff,5.0,0.0,5.0
84da859ffffffff,7.0,0.0,0.0
84da861ffffffff,2.0,0.0,0.0
84da8e5ffffffff,2.0,0.0,2.0
84da92bffffffff,4.0,0.0,0.0
84da93dffffffff,16.0,0.0,0.0
84da9c9ffffffff,3.0,0.0,0.0
84daa27ffffffff,1.0,0.0,1.0
84daa85ffffffff,1.0,0.0,0.0
84daa99ffffffff,5.0,0.0,5.0
84daaa1ffffffff,14.0,0.0,0.0
84daaa9ffffffff,5.0,0.0,2.0
84daaabffffffff,19.0,0.0,5.0
84daaadffffffff,1.0,0.0,0.0
84dab33ffffffff,2.0,0.0,0.0
84dab67ffffffff,1.0,0.0,1.0
84db81bffffffff,1.0,0.0,1.0
84db8d5ffffffff,2.0,0.0,2.0
84db9c1ffffffff,2.0,0.0,2.0
84dcdabffffffff,2.0,0.0,0.0
84dcddbffffffff,1.0,0.0,1.0
84df5c5ffffffff,2.0,0.0,0.0
