cell_id,Myiomela leucura,Myiomela leucura leucura/montium,Myiomela leucura cambodiana
823c07fffffffff,1.0,0.0,0.0
823c1ffffffffff,18.0,1.0,0.0
823c37fffffffff,3.0,0.0,0.0
823c5ffffffffff,4.0,0.0,0.0
823cc7fffffffff,4.0,0.0,0.0
823ce7fffffffff,18.0,0.0,0.0
823ceffffffffff,5.0,0.0,0.0
823cf7fffffffff,7.0,0.0,0.0
823d1ffffffffff,42.0,0.0,0.0
823daffffffffff,2.0,0.0,0.0
82404ffffffffff,3.0,3.0,0.0
8240e7fffffffff,5.0,5.0,0.0
824107fffffffff,5.0,0.0,0.0
82411ffffffffff,31.0,0.0,0.0
824b87fffffffff,2.0,0.0,0.0
824ba7fffffffff,38.0,0.0,0.0
826507fffffffff,99.0,0.0,0.0
82651ffffffffff,5.0,0.0,0.0
8265b7fffffffff,1.0,0.0,0.0
