cell_id,Icterus cayanensis,Icterus cayanensis chrysocephalus,Icterus cayanensis cayanensis
845f011ffffffff,1.0,0.0,0.0
845f017ffffffff,1.0,0.0,0.0
845f02bffffffff,2.0,0.0,0.0
845f035ffffffff,2.0,2.0,0.0
845f03dffffffff,45.0,18.0,4.0
845f087ffffffff,2.0,2.0,0.0
845f08bffffffff,3.0,0.0,0.0
845f091ffffffff,2.0,0.0,0.0
845f095ffffffff,9.0,2.0,0.0
845f09dffffffff,5.0,0.0,0.0
845f0d7ffffffff,2.0,0.0,0.0
845f0e1ffffffff,1.0,1.0,0.0
845f105ffffffff,11.0,0.0,5.0
845f107ffffffff,2.0,0.0,0.0
845f129ffffffff,9.0,0.0,1.0
845f12bffffffff,13.0,0.0,0.0
845f13bffffffff,4.0,0.0,0.0
845f13dffffffff,6.0,0.0,0.0
845f143ffffffff,2.0,0.0,0.0
845f161ffffffff,3.0,0.0,0.0
845f167ffffffff,1.0,0.0,0.0
845f1c3ffffffff,1.0,0.0,0.0
845f1cbffffffff,7.0,0.0,0.0
845f1e9ffffffff,6.0,0.0,1.0
845f223ffffffff,3.0,0.0,3.0
845f227ffffffff,8.0,0.0,8.0
845f291ffffffff,2.0,2.0,0.0
845f295ffffffff,20.0,6.0,0.0
845f299ffffffff,6.0,2.0,0.0
845f2b1ffffffff,32.0,24.0,0.0
845f2b3ffffffff,235.0,94.0,0.0
845f2bbffffffff,87.0,35.0,0.0
845f2d3ffffffff,2.0,0.0,0.0
845f2d7ffffffff,4.0,0.0,0.0
845f42bffffffff,6.0,4.0,0.0
845f4e5ffffffff,8.0,0.0,0.0
845f4e7ffffffff,2.0,0.0,0.0
845f50bffffffff,6.0,0.0,0.0
845f665ffffffff,1.0,0.0,0.0
845f683ffffffff,7.0,2.0,0.0
845f689ffffffff,3.0,3.0,0.0
845f68bffffffff,5.0,0.0,0.0
845f703ffffffff,2.0,1.0,0.0
845f711ffffffff,5.0,1.0,0.0
845f713ffffffff,4.0,2.0,0.0
845f755ffffffff,2.0,0.0,0.0
845f759ffffffff,31.0,1.0,0.0
845f75dffffffff,4.0,3.0,0.0
845f767ffffffff,7.0,1.0,0.0
8466411ffffffff,129.0,54.0,0.0
8466415ffffffff,54.0,19.0,0.0
8466417ffffffff,5.0,0.0,0.0
846641dffffffff,85.0,36.0,0.0
8466463ffffffff,2.0,0.0,0.0
8466481ffffffff,3.0,2.0,0.0
8466485ffffffff,4.0,0.0,0.0
84664b9ffffffff,2.0,0.0,0.0
84664e1ffffffff,1.0,1.0,0.0
84664e9ffffffff,3.0,2.0,0.0
8466529ffffffff,11.0,0.0,0.0
846652dffffffff,30.0,15.0,0.0
84665a7ffffffff,2.0,0.0,0.0
84665abffffffff,438.0,136.0,0.0
84665bdffffffff,173.0,63.0,0.0
84665e9ffffffff,23.0,0.0,0.0
8466637ffffffff,7.0,2.0,0.0
8466639ffffffff,3.0,0.0,0.0
846663dffffffff,3.0,0.0,0.0
8466641ffffffff,2.0,2.0,0.0
8466647ffffffff,2.0,2.0,0.0
84666a1ffffffff,3.0,3.0,0.0
84666b3ffffffff,4.0,0.0,0.0
84666b9ffffffff,4.0,4.0,0.0
84666c5ffffffff,6.0,0.0,0.0
84666e3ffffffff,1.0,0.0,0.0
84666ebffffffff,1.0,1.0,0.0
846671bffffffff,2.0,0.0,0.0
8466733ffffffff,1.0,0.0,0.0
8466c01ffffffff,31.0,0.0,0.0
8466c05ffffffff,1.0,0.0,0.0
8466c07ffffffff,2.0,0.0,0.0
8466c0dffffffff,7.0,0.0,0.0
8466c17ffffffff,2.0,0.0,0.0
8466c19ffffffff,4.0,0.0,0.0
8466c1dffffffff,1.0,0.0,0.0
8466c21ffffffff,60.0,0.0,0.0
8466c23ffffffff,20.0,0.0,0.0
8466c27ffffffff,11.0,0.0,0.0
8466c29ffffffff,71.0,10.0,0.0
8466c2bffffffff,3.0,0.0,0.0
8466c2dffffffff,7.0,0.0,0.0
8466c35ffffffff,2.0,2.0,0.0
8466c37ffffffff,2.0,2.0,0.0
8466c53ffffffff,5.0,0.0,0.0
8466c57ffffffff,5.0,0.0,0.0
8466c5bffffffff,7.0,0.0,0.0
8466c5dffffffff,5.0,0.0,0.0
8466c67ffffffff,2.0,0.0,0.0
8466c99ffffffff,1.0,0.0,0.0
8466cdbffffffff,12.0,3.0,0.0
8466ce1ffffffff,8.0,1.0,0.0
8466ce9ffffffff,18.0,3.0,0.0
8466cedffffffff,5.0,0.0,0.0
8466d13ffffffff,2.0,2.0,0.0
8466d1bffffffff,15.0,2.0,0.0
8466d81ffffffff,10.0,2.0,0.0
8466d8bffffffff,1.0,1.0,0.0
