cell_id,Cyanocorax heilprini,Cyanocorax heilprini heilprini,Cyanocorax heilprini hafferi
8466411ffffffff,31.0,6.0,0.0
8466415ffffffff,3.0,0.0,0.0
8466417ffffffff,1.0,0.0,0.0
846641dffffffff,44.0,0.0,0.0
8466455ffffffff,1.0,0.0,0.0
8466481ffffffff,2.0,0.0,0.0
84664e1ffffffff,2.0,0.0,0.0
84664e9ffffffff,3.0,0.0,0.0
84665a3ffffffff,4.0,0.0,0.0
84665abffffffff,244.0,11.0,0.0
84665bdffffffff,177.0,6.0,0.0
84665e9ffffffff,2.0,0.0,0.0
84666a1ffffffff,3.0,0.0,0.0
84666a5ffffffff,1.0,0.0,0.0
84666a7ffffffff,1.0,0.0,0.0
84666c5ffffffff,1.0,0.0,0.0
84666e3ffffffff,3.0,0.0,0.0
8466ee5ffffffff,1.0,0.0,0.0
848a00bffffffff,6.0,0.0,5.0
848a051ffffffff,3.0,0.0,2.0
848a053ffffffff,1.0,0.0,1.0
848a059ffffffff,3.0,0.0,2.0
848a05bffffffff,48.0,0.0,46.0
848a4adffffffff,1.0,0.0,0.0
848a5a1ffffffff,1.0,0.0,0.0
