cell_id,Rynchops niger,Rynchops niger niger,Rynchops niger cinerascens,Rynchops niger intercedens
82a94ffffffffff,20.0,0.0,14.0,2.0
82a957fffffffff,6.0,0.0,0.0,0.0
82a967fffffffff,29.0,0.0,0.0,0.0
82a96ffffffffff,16.0,0.0,0.0,0.0
82ad37fffffffff,2.0,0.0,0.0,0.0
82b207fffffffff,4.0,0.0,0.0,0.0
82b21ffffffffff,15.0,0.0,0.0,10.0
82b227fffffffff,4.0,0.0,0.0,0.0
82b24ffffffffff,32.0,0.0,0.0,1.0
82b25ffffffffff,9.0,0.0,0.0,0.0
82b26ffffffffff,22.0,0.0,0.0,0.0
82b2c7fffffffff,497.0,0.0,28.0,42.0
82b2dffffffffff,93.0,0.0,1.0,2.0
82b2e7fffffffff,21.0,0.0,0.0,10.0
82b2effffffffff,11.0,0.0,0.0,0.0
82b307fffffffff,8.0,0.0,2.0,5.0
82b31ffffffffff,4.0,0.0,0.0,0.0
82b337fffffffff,12.0,0.0,0.0,0.0
82b347fffffffff,2.0,0.0,0.0,0.0
82b357fffffffff,3.0,0.0,0.0,0.0
82b35ffffffffff,26.0,0.0,0.0,0.0
82b367fffffffff,2.0,0.0,0.0,0.0
82c21ffffffffff,10.0,0.0,4.0,2.0
82c2c7fffffffff,1.0,0.0,0.0,0.0
82c2cffffffffff,63.0,0.0,0.0,0.0
82c2f7fffffffff,98.0,0.0,17.0,22.0
82c32ffffffffff,6.0,1.0,0.0,0.0
82c367fffffffff,3.0,3.0,0.0,0.0
82ce8ffffffffff,26.0,0.0,0.0,0.0
82ceaffffffffff,14.0,0.0,0.0,14.0
82cf97fffffffff,7.0,0.0,1.0,0.0
82cf9ffffffffff,3.0,0.0,0.0,1.0
82cfa7fffffffff,61.0,0.0,0.0,2.0
82df6ffffffffff,18.0,0.0,8.0,3.0
