cell_id,Lonchura punctulata,Lonchura punctulata punctulata,Lonchura punctulata [nisoria Group]
83209efffffffff,1.0,0.0,0.0
832802fffffffff,2.0,0.0,0.0
832830fffffffff,57.0,0.0,0.0
832832fffffffff,13.0,0.0,0.0
832834fffffffff,528.0,13.0,1.0
832836fffffffff,6.0,0.0,0.0
832912fffffffff,4.0,0.0,0.0
83291afffffffff,8.0,0.0,0.0
832985fffffffff,3.0,0.0,0.0
8329a0fffffffff,13.0,0.0,0.0
8329a1fffffffff,8.0,0.0,0.0
8329a4fffffffff,70.0,0.0,0.0
8329a5fffffffff,14.0,0.0,0.0
8329a6fffffffff,26.0,0.0,0.0
8329a9fffffffff,2.0,0.0,0.0
8329abfffffffff,2.0,0.0,0.0
8329adfffffffff,16.0,0.0,0.0
832aa8fffffffff,3.0,0.0,0.0
832aacfffffffff,28.0,0.0,7.0
832c93fffffffff,3.0,0.0,0.0
833098fffffffff,2.0,0.0,0.0
833099fffffffff,1.0,0.0,0.0
83309bfffffffff,4.0,0.0,0.0
833906fffffffff,20.0,0.0,0.0
833910fffffffff,16.0,0.0,0.0
833911fffffffff,1.0,0.0,0.0
833915fffffffff,6.0,0.0,0.0
83391afffffffff,4.0,0.0,0.0
833931fffffffff,14.0,0.0,0.0
833933fffffffff,19.0,0.0,0.0
833c02fffffffff,7.0,0.0,0.0
833c0bfffffffff,1.0,0.0,0.0
833c15fffffffff,7.0,7.0,0.0
833c19fffffffff,1.0,0.0,0.0
833c1bfffffffff,6.0,0.0,0.0
833c1cfffffffff,10.0,0.0,0.0
833c1dfffffffff,2.0,0.0,0.0
833c33fffffffff,1.0,0.0,0.0
833c36fffffffff,4.0,0.0,0.0
833c5afffffffff,2.0,0.0,0.0
833c5bfffffffff,7.0,0.0,0.0
833c8dfffffffff,9.0,0.0,0.0
833c8efffffffff,13.0,0.0,0.0
833ca8fffffffff,11.0,0.0,0.0
833ca9fffffffff,9.0,6.0,0.0
833cabfffffffff,13.0,0.0,0.0
833cd9fffffffff,2.0,0.0,0.0
833ce0fffffffff,2.0,0.0,0.0
833ce1fffffffff,2.0,0.0,0.0
833ce5fffffffff,2.0,0.0,2.0
833ce8fffffffff,4.0,0.0,0.0
833cf0fffffffff,1.0,0.0,0.0
833cf1fffffffff,3.0,0.0,0.0
833cf2fffffffff,42.0,1.0,0.0
833cf6fffffffff,6.0,0.0,0.0
833d13fffffffff,1.0,0.0,0.0
833d35fffffffff,1.0,0.0,0.0
833d8cfffffffff,5.0,0.0,0.0
833d98fffffffff,3.0,0.0,0.0
833d9bfffffffff,4.0,0.0,0.0
833da1fffffffff,14.0,0.0,0.0
833da9fffffffff,2.0,0.0,0.0
833dacfffffffff,4.0,0.0,0.0
833dadfffffffff,7.0,5.0,0.0
833db5fffffffff,2.0,0.0,0.0
833db6fffffffff,2.0,0.0,0.0
834049fffffffff,1.0,0.0,0.0
83404cfffffffff,2.0,0.0,2.0
8340b5fffffffff,4.0,0.0,0.0
83411cfffffffff,1.0,0.0,0.0
83414dfffffffff,2.0,0.0,0.0
83416bfffffffff,2.0,0.0,0.0
8341a5fffffffff,3.0,0.0,0.0
8341b5fffffffff,1.0,0.0,1.0
8342cefffffffff,4.0,0.0,0.0
8342d9fffffffff,2.0,0.0,0.0
8342dbfffffffff,10.0,0.0,0.0
8342ebfffffffff,4.0,0.0,0.0
8343aefffffffff,1.0,0.0,0.0
834413fffffffff,22.0,0.0,0.0
834416fffffffff,2.0,0.0,0.0
83441afffffffff,12.0,0.0,0.0
83441efffffffff,65.0,0.0,4.0
834424fffffffff,3.0,0.0,0.0
834430fffffffff,1.0,0.0,0.0
834440fffffffff,26.0,0.0,0.0
834441fffffffff,3.0,0.0,0.0
834442fffffffff,2.0,0.0,0.0
834444fffffffff,3.0,0.0,0.0
834445fffffffff,14.0,1.0,0.0
834446fffffffff,20.0,0.0,0.0
834450fffffffff,68.0,0.0,0.0
834452fffffffff,12.0,0.0,0.0
834455fffffffff,99.0,0.0,0.0
