cell_id,Chroicocephalus novaehollandiae,Chroicocephalus novaehollandiae novaehollandiae/forsteri,Chroicocephalus novaehollandiae scopulinus
834112fffffffff,4.0,4.0,0.0
839451fffffffff,1.0,1.0,0.0
839c23fffffffff,2.0,0.0,0.0
839cc2fffffffff,2.0,2.0,0.0
839d24fffffffff,1.0,0.0,0.0
839e06fffffffff,1.0,1.0,0.0
83a612fffffffff,2.0,2.0,0.0
83b885fffffffff,7.0,0.0,0.0
83bb09fffffffff,4.0,0.0,4.0
83bb2bfffffffff,10.0,0.0,7.0
83bb2dfffffffff,11.0,0.0,11.0
83bb36fffffffff,2.0,0.0,2.0
83bb51fffffffff,2.0,0.0,0.0
83bb53fffffffff,12.0,0.0,10.0
83bb59fffffffff,3.0,0.0,3.0
83bb74fffffffff,4.0,0.0,2.0
83be08fffffffff,7.0,7.0,0.0
83be0cfffffffff,7.0,7.0,0.0
83be0dfffffffff,1.0,1.0,0.0
83be0efffffffff,7.0,6.0,0.0
83be18fffffffff,1.0,0.0,0.0
83be40fffffffff,2.0,0.0,0.0
83be45fffffffff,2.0,0.0,0.0
83be4cfffffffff,3.0,0.0,0.0
83be5bfffffffff,1.0,0.0,0.0
83be60fffffffff,3.0,2.0,0.0
83be62fffffffff,1.0,0.0,0.0
83be63fffffffff,21.0,15.0,0.0
83be68fffffffff,6.0,6.0,0.0
83be6afffffffff,2.0,2.0,0.0
83be6efffffffff,4.0,2.0,0.0
83be71fffffffff,2.0,2.0,0.0
83be72fffffffff,131.0,130.0,0.0
83be8dfffffffff,8.0,7.0,0.0
83beabfffffffff,6.0,2.0,0.0
83bf4cfffffffff,3.0,3.0,0.0
83bf6bfffffffff,1.0,0.0,0.0
83da84fffffffff,23.0,0.0,16.0
83da85fffffffff,3.0,0.0,3.0
83da92fffffffff,2.0,0.0,0.0
83da94fffffffff,4.0,0.0,2.0
83daa9fffffffff,2.0,0.0,0.0
83dab3fffffffff,4.0,0.0,0.0
