cell_id,Acrochordopus zeledoni,Acrochordopus zeledoni zeledoni,Acrochordopus zeledoni [leucogonys Group]
83660cfffffffff,6.0,0.0,0.0
8366b4fffffffff,17.0,17.0,0.0
8366b5fffffffff,6.0,0.0,0.0
8366c0fffffffff,8.0,0.0,0.0
8366d3fffffffff,4.0,0.0,2.0
8366e0fffffffff,12.0,0.0,10.0
8366e6fffffffff,11.0,0.0,0.0
836741fffffffff,3.0,0.0,2.0
836743fffffffff,2.0,0.0,0.0
83674efffffffff,4.0,0.0,0.0
836751fffffffff,1.0,0.0,0.0
83675afffffffff,2.0,0.0,0.0
83675cfffffffff,1.0,0.0,0.0
83675efffffffff,4.0,0.0,0.0
836d69fffffffff,13.0,0.0,0.0
838b6efffffffff,1.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0
