cell_id,Macropygia ruficeps,Macropygia ruficeps [undescribed form]
826417fffffffff,105.0,0.0
826487fffffffff,10.0,0.0
826497fffffffff,22.0,0.0
8264a7fffffffff,35.0,0.0
8264b7fffffffff,13.0,0.0
826507fffffffff,1017.0,0.0
82650ffffffffff,13.0,0.0
82652ffffffffff,28.0,0.0
826557fffffffff,88.0,0.0
826577fffffffff,4.0,0.0
82658ffffffffff,4.0,0.0
826807fffffffff,34.0,0.0
826817fffffffff,1491.0,0.0
82689ffffffffff,5.0,0.0
8268affffffffff,2.0,0.0
82699ffffffffff,2.0,0.0
828c17fffffffff,8.0,0.0
828c1ffffffffff,14.0,0.0
828c97fffffffff,1.0,0.0
828cd7fffffffff,89.0,0.0
828cf7fffffffff,4.0,0.0
828d87fffffffff,15.0,0.0
828d8ffffffffff,6.0,0.0
828da7fffffffff,75.0,0.0
828db7fffffffff,100.0,0.0
829427fffffffff,16.0,16.0
82942ffffffffff,11.0,11.0
82951ffffffffff,19.0,2.0
829557fffffffff,3.0,0.0
8295a7fffffffff,2.0,0.0
8295affffffffff,49.0,49.0
