cell_id,Formicivora serrana,Formicivora serrana serrana/interposita,Formicivora serrana littoralis
848124bffffffff,1.0,1.0,0.0
8481343ffffffff,3.0,3.0,0.0
848134dffffffff,2.0,2.0,0.0
84a8807ffffffff,15.0,15.0,0.0
84a8809ffffffff,2.0,2.0,0.0
84a880bffffffff,1.0,1.0,0.0
84a880dffffffff,3.0,3.0,0.0
84a8811ffffffff,202.0,201.0,0.0
84a8813ffffffff,11.0,11.0,0.0
84a8817ffffffff,3.0,2.0,0.0
84a8819ffffffff,19.0,19.0,0.0
84a881bffffffff,111.0,103.0,0.0
84a8821ffffffff,4.0,4.0,0.0
84a8825ffffffff,15.0,15.0,0.0
84a8829ffffffff,2.0,2.0,0.0
84a8833ffffffff,1.0,1.0,0.0
84a883bffffffff,2.0,2.0,0.0
84a883dffffffff,2.0,2.0,0.0
84a8849ffffffff,140.0,137.0,0.0
84a884dffffffff,1.0,1.0,0.0
84a8851ffffffff,1.0,1.0,0.0
84a8855ffffffff,1.0,1.0,0.0
84a8857ffffffff,14.0,14.0,0.0
84a8863ffffffff,3.0,3.0,0.0
84a8867ffffffff,6.0,6.0,0.0
84a88a9ffffffff,2.0,2.0,0.0
84a88c5ffffffff,1.0,1.0,0.0
84a88c9ffffffff,1.0,1.0,0.0
84a88cdffffffff,4.0,4.0,0.0
84a88e7ffffffff,2.0,2.0,0.0
84a88e9ffffffff,16.0,16.0,0.0
84a8919ffffffff,27.0,27.0,0.0
84a891bffffffff,8.0,8.0,0.0
84a8953ffffffff,16.0,16.0,0.0
84a895bffffffff,1.0,1.0,0.0
84a89b7ffffffff,1.0,1.0,0.0
84a89d3ffffffff,1.0,1.0,0.0
84a8a21ffffffff,5.0,5.0,0.0
84a8a23ffffffff,4.0,4.0,0.0
84a8a31ffffffff,2.0,2.0,0.0
84a8a35ffffffff,2.0,2.0,0.0
84a8aa1ffffffff,2.0,2.0,0.0
84a8aa5ffffffff,4.0,4.0,0.0
84a8aa7ffffffff,5.0,5.0,0.0
