cell_id,Myiothlypis luteoviridis,Myiothlypis luteoviridis [luteoviridis Group],Myiothlypis luteoviridis striaticeps,Myiothlypis luteoviridis euophrys
8466187ffffffff,3.0,0.0,0.0,0.0
8466299ffffffff,5.0,1.0,0.0,0.0
8466e6dffffffff,5.0,0.0,0.0,0.0
84675adffffffff,3.0,0.0,0.0,0.0
848b617ffffffff,11.0,0.0,11.0,0.0
848b6cdffffffff,2.0,0.0,2.0,0.0
848f721ffffffff,1.0,1.0,0.0,0.0
848f72dffffffff,9.0,0.0,0.0,0.0
848f733ffffffff,1.0,0.0,1.0,0.0
848f767ffffffff,7.0,0.0,0.0,0.0
848f769ffffffff,8.0,0.0,0.0,0.0
