cell_id,Poecile gambeli,Poecile gambeli [gambeli Group],Poecile gambeli [baileyae Group]
821287fffffffff,1.0,0.0,0.0
82128ffffffffff,22.0,0.0,0.0
8212affffffffff,10.0,0.0,0.0
8212c7fffffffff,20.0,0.0,0.0
8212cffffffffff,38.0,11.0,0.0
8212d7fffffffff,11.0,0.0,0.0
8212dffffffffff,9.0,0.0,0.0
8212e7fffffffff,23.0,5.0,0.0
821387fffffffff,408.0,0.0,0.0
82139ffffffffff,19.0,0.0,0.0
8213b7fffffffff,2.0,0.0,0.0
822617fffffffff,2.0,2.0,0.0
82261ffffffffff,12.0,0.0,0.0
822687fffffffff,276.0,17.0,0.0
82268ffffffffff,219.0,20.0,0.0
822697fffffffff,385.0,0.0,0.0
82269ffffffffff,51.0,11.0,0.0
8226a7fffffffff,2.0,0.0,0.0
8226affffffffff,123.0,0.0,0.0
8226b7fffffffff,1.0,1.0,0.0
8226d7fffffffff,59.0,2.0,0.0
8226f7fffffffff,46.0,4.0,0.0
822787fffffffff,2.0,2.0,0.0
82278ffffffffff,4.0,0.0,0.0
822797fffffffff,25.0,0.0,0.0
82279ffffffffff,8.0,8.0,0.0
822807fffffffff,8.0,0.0,0.0
822817fffffffff,312.0,0.0,149.0
82281ffffffffff,166.0,0.0,1.0
822837fffffffff,384.0,0.0,369.0
822887fffffffff,106.0,0.0,0.0
82288ffffffffff,12.0,0.0,0.0
822897fffffffff,43.0,24.0,0.0
82289ffffffffff,15.0,8.0,0.0
8228a7fffffffff,3.0,0.0,0.0
8228affffffffff,156.0,0.0,2.0
8228b7fffffffff,24.0,3.0,0.0
8228c7fffffffff,2.0,0.0,0.0
8228d7fffffffff,186.0,0.0,1.0
8228dffffffffff,32.0,0.0,0.0
8228f7fffffffff,124.0,0.0,0.0
822917fffffffff,2.0,0.0,0.0
82298ffffffffff,963.0,0.0,953.0
822997fffffffff,15.0,5.0,0.0
82299ffffffffff,1.0,1.0,0.0
8229a7fffffffff,425.0,0.0,2.0
8229affffffffff,28.0,0.0,10.0
8229b7fffffffff,52.0,0.0,0.0
82485ffffffffff,91.0,0.0,0.0
8248affffffffff,2.0,0.0,0.0
8248c7fffffffff,20.0,0.0,0.0
8248cffffffffff,95.0,8.0,0.0
8248d7fffffffff,25.0,1.0,0.0
8248dffffffffff,38.0,24.0,0.0
8248e7fffffffff,1.0,0.0,0.0
8248effffffffff,404.0,205.0,0.0
8248f7fffffffff,2.0,1.0,0.0
