cell_id,Schiffornis veraepacis,Schiffornis veraepacis [veraepacis Group],Schiffornis veraepacis rosenbergi
824507fffffffff,119.0,0.0,0.0
82450ffffffffff,51.0,0.0,0.0
824527fffffffff,2151.0,51.0,0.0
82452ffffffffff,9107.0,634.0,0.0
824537fffffffff,271.0,7.0,0.0
826617fffffffff,5.0,0.0,0.0
82661ffffffffff,20.0,0.0,0.0
8266a7fffffffff,866.0,79.0,0.0
8266b7fffffffff,980.0,0.0,0.0
8266d7fffffffff,563.0,0.0,109.0
8266f7fffffffff,120.0,0.0,0.0
826797fffffffff,93.0,0.0,0.0
82679ffffffffff,21.0,0.0,0.0
826d27fffffffff,78.0,15.0,0.0
826d2ffffffffff,359.0,126.0,0.0
826d37fffffffff,17.0,3.0,0.0
826d67fffffffff,9.0,0.0,0.0
826d6ffffffffff,1534.0,0.0,0.0
828f0ffffffffff,302.0,0.0,74.0
828f2ffffffffff,90.0,0.0,6.0
