cell_id,Fulmarus glacialis,Fulmarus glacialis glacialis/auduboni,Fulmarus glacialis rodgersii
820007fffffffff,6.0,0.0,0.0
82002ffffffffff,109.0,17.0,0.0
820077fffffffff,25.0,2.0,0.0
82010ffffffffff,4.0,0.0,0.0
820127fffffffff,17.0,0.0,0.0
82012ffffffffff,2.0,0.0,0.0
820137fffffffff,101.0,7.0,0.0
820147fffffffff,3.0,1.0,0.0
820157fffffffff,336.0,52.0,0.0
82015ffffffffff,253.0,114.0,0.0
820167fffffffff,1.0,0.0,0.0
82016ffffffffff,2.0,0.0,0.0
820177fffffffff,1.0,0.0,0.0
820247fffffffff,93.0,0.0,0.0
82024ffffffffff,64.0,0.0,0.0
820257fffffffff,68.0,0.0,0.0
82025ffffffffff,17.0,0.0,0.0
820267fffffffff,4.0,0.0,0.0
82026ffffffffff,8.0,0.0,0.0
820277fffffffff,16.0,0.0,0.0
8202cffffffffff,4.0,0.0,0.0
8202dffffffffff,2.0,0.0,0.0
8202effffffffff,28.0,0.0,0.0
82035ffffffffff,2.0,0.0,0.0
820607fffffffff,2.0,0.0,0.0
820627fffffffff,16.0,0.0,0.0
82062ffffffffff,6.0,0.0,0.0
820647fffffffff,3.0,0.0,0.0
820657fffffffff,7.0,0.0,0.0
82065ffffffffff,5.0,1.0,0.0
820667fffffffff,11.0,1.0,0.0
820677fffffffff,6.0,0.0,0.0
82068ffffffffff,56.0,12.0,0.0
820697fffffffff,13.0,0.0,0.0
82069ffffffffff,8.0,0.0,0.0
8206cffffffffff,3.0,0.0,0.0
8206d7fffffffff,52.0,13.0,0.0
8206dffffffffff,20.0,6.0,0.0
8206effffffffff,4.0,0.0,0.0
820707fffffffff,15.0,0.0,0.0
82070ffffffffff,2.0,0.0,0.0
820717fffffffff,8.0,0.0,0.0
82071ffffffffff,3.0,0.0,0.0
820747fffffffff,1283.0,104.0,0.0
82074ffffffffff,284.0,19.0,0.0
820757fffffffff,470.0,30.0,0.0
82075ffffffffff,2494.0,268.0,0.0
820767fffffffff,724.0,40.0,0.0
82076ffffffffff,4.0,1.0,0.0
820777fffffffff,1191.0,74.0,0.0
8207affffffffff,2.0,0.0,0.0
820807fffffffff,4.0,0.0,0.0
820827fffffffff,4.0,0.0,0.0
82082ffffffffff,4.0,0.0,0.0
820837fffffffff,3.0,0.0,0.0
820937fffffffff,37.0,0.0,0.0
82094ffffffffff,1.0,0.0,0.0
820957fffffffff,1.0,0.0,0.0
82095ffffffffff,9.0,2.0,0.0
820987fffffffff,20.0,0.0,0.0
820997fffffffff,65.0,0.0,0.0
82099ffffffffff,22.0,14.0,0.0
8209a7fffffffff,608.0,29.0,0.0
8209affffffffff,8.0,0.0,0.0
8209b7fffffffff,4.0,0.0,0.0
820c17fffffffff,3.0,0.0,0.0
820c47fffffffff,475.0,0.0,12.0
820c4ffffffffff,11.0,0.0,1.0
820c57fffffffff,70.0,0.0,0.0
820c5ffffffffff,116.0,0.0,0.0
820c6ffffffffff,178.0,0.0,0.0
820c87fffffffff,34.0,0.0,5.0
820c8ffffffffff,26.0,0.0,2.0
820c9ffffffffff,4.0,0.0,4.0
820ca7fffffffff,1786.0,0.0,2.0
820caffffffffff,1.0,0.0,0.0
820cb7fffffffff,17.0,0.0,0.0
820ccffffffffff,47.0,0.0,0.0
820cdffffffffff,41.0,0.0,0.0
820ceffffffffff,62.0,0.0,0.0
820d07fffffffff,35.0,0.0,0.0
820d17fffffffff,3.0,0.0,0.0
820d1ffffffffff,3.0,0.0,0.0
820d37fffffffff,12.0,0.0,0.0
820d8ffffffffff,15.0,0.0,0.0
820d9ffffffffff,19.0,0.0,0.0
820daffffffffff,8.0,0.0,0.0
820e4ffffffffff,18.0,0.0,0.0
820f0ffffffffff,2.0,0.0,0.0
820f27fffffffff,26.0,5.0,0.0
820f2ffffffffff,7.0,0.0,0.0
820f37fffffffff,19.0,0.0,0.0
820f4ffffffffff,2.0,0.0,0.0
820f57fffffffff,11.0,0.0,0.0
820f67fffffffff,8.0,1.0,0.0
820f6ffffffffff,8.0,0.0,0.0
820fb7fffffffff,6.0,0.0,0.0
821297fffffffff,65.0,0.0,0.0
82129ffffffffff,71.0,0.0,0.0
8212b7fffffffff,3.0,0.0,0.0
821397fffffffff,48.0,0.0,0.0
82144ffffffffff,4.0,0.0,0.0
821457fffffffff,6.0,0.0,0.0
82145ffffffffff,13.0,0.0,0.0
8214cffffffffff,10.0,0.0,0.0
821607fffffffff,11.0,0.0,0.0
82160ffffffffff,113.0,0.0,0.0
821617fffffffff,99.0,0.0,0.0
82161ffffffffff,13.0,0.0,0.0
821627fffffffff,33.0,0.0,0.0
82162ffffffffff,4.0,0.0,0.0
821647fffffffff,23.0,0.0,0.0
82164ffffffffff,26.0,0.0,1.0
821657fffffffff,225.0,0.0,0.0
82165ffffffffff,473.0,0.0,0.0
82169ffffffffff,1.0,0.0,0.0
8216a7fffffffff,17.0,0.0,0.0
8216b7fffffffff,31.0,0.0,0.0
8216cffffffffff,1.0,0.0,0.0
821717fffffffff,7.0,0.0,0.0
82171ffffffffff,6.0,0.0,0.0
821747fffffffff,69.0,0.0,0.0
821757fffffffff,84.0,0.0,18.0
82175ffffffffff,28.0,0.0,4.0
82176ffffffffff,97.0,0.0,0.0
82178ffffffffff,8.0,0.0,2.0
821807fffffffff,546.0,115.0,0.0
82180ffffffffff,73.0,1.0,0.0
821827fffffffff,87.0,14.0,0.0
82182ffffffffff,398.0,0.0,0.0
821847fffffffff,37.0,0.0,0.0
821857fffffffff,24.0,0.0,0.0
82185ffffffffff,1.0,0.0,0.0
821867fffffffff,132.0,16.0,0.0
82186ffffffffff,1.0,0.0,0.0
821877fffffffff,683.0,74.0,0.0
8218affffffffff,2.0,0.0,0.0
821907fffffffff,60.0,0.0,0.0
82190ffffffffff,436.0,27.0,0.0
82191ffffffffff,14.0,0.0,0.0
821927fffffffff,259.0,4.0,0.0
82192ffffffffff,736.0,44.0,0.0
821937fffffffff,1.0,0.0,0.0
821947fffffffff,1088.0,88.0,0.0
82194ffffffffff,1645.0,5.0,0.0
821957fffffffff,731.0,121.0,0.0
82195ffffffffff,289.0,12.0,0.0
82196ffffffffff,17.0,0.0,0.0
821977fffffffff,760.0,15.0,0.0
821a77fffffffff,2.0,0.0,0.0
821a97fffffffff,1.0,0.0,0.0
821aa7fffffffff,226.0,0.0,0.0
821ab7fffffffff,28.0,0.0,0.0
821b07fffffffff,1.0,0.0,0.0
821b17fffffffff,1.0,0.0,0.0
821b1ffffffffff,2.0,0.0,0.0
821b27fffffffff,6.0,0.0,0.0
821b2ffffffffff,1.0,0.0,0.0
821b37fffffffff,5.0,1.0,0.0
821b87fffffffff,66.0,0.0,0.0
821b8ffffffffff,6.0,0.0,0.0
821b97fffffffff,4.0,0.0,0.0
821b9ffffffffff,2.0,0.0,0.0
821ba7fffffffff,3.0,0.0,0.0
821baffffffffff,2.0,0.0,0.0
821bb7fffffffff,2.0,0.0,0.0
821d27fffffffff,27.0,0.0,0.0
821d2ffffffffff,4.0,0.0,0.0
821d37fffffffff,10.0,0.0,0.0
821d67fffffffff,37.0,0.0,0.0
821d87fffffffff,1.0,0.0,0.0
821d97fffffffff,1.0,0.0,0.0
821db7fffffffff,22.0,0.0,0.0
821f27fffffffff,40.0,9.0,0.0
821f37fffffffff,32.0,1.0,0.0
82222ffffffffff,1.0,0.0,0.0
822247fffffffff,1.0,0.0,0.0
82225ffffffffff,192.0,0.0,0.0
8222c7fffffffff,34.0,0.0,2.0
8222d7fffffffff,129.0,0.0,2.0
8222dffffffffff,1668.0,0.0,220.0
8222e7fffffffff,1.0,0.0,0.0
8222effffffffff,415.0,0.0,0.0
822807fffffffff,1533.0,0.0,0.0
82280ffffffffff,10.0,0.0,0.0
82281ffffffffff,869.0,0.0,0.0
822827fffffffff,31.0,0.0,0.0
822837fffffffff,21450.0,0.0,413.0
8228c7fffffffff,5237.0,0.0,33.0
8228cffffffffff,338.0,0.0,0.0
8228d7fffffffff,58.0,0.0,0.0
8228dffffffffff,115.0,0.0,0.0
8228e7fffffffff,2808.0,0.0,0.0
8228f7fffffffff,728.0,0.0,0.0
822917fffffffff,1376.0,0.0,0.0
82291ffffffffff,1769.0,0.0,5.0
822937fffffffff,5.0,0.0,0.0
8229a7fffffffff,2469.0,0.0,0.0
8229affffffffff,132.0,0.0,0.0
822a07fffffffff,96.0,0.0,0.0
822a27fffffffff,15.0,0.0,0.0
822a37fffffffff,817.0,0.0,0.0
822ac7fffffffff,22.0,10.0,0.0
822af7fffffffff,107.0,35.0,0.0
822b0ffffffffff,106.0,0.0,0.0
822b1ffffffffff,804.0,0.0,0.0
822b27fffffffff,51.0,0.0,0.0
822b2ffffffffff,20.0,0.0,0.0
822b37fffffffff,20.0,0.0,0.0
822e07fffffffff,5.0,0.0,0.0
822e17fffffffff,2.0,0.0,1.0
822e1ffffffffff,13.0,0.0,0.0
822e2ffffffffff,8.0,0.0,0.0
822e87fffffffff,22.0,0.0,0.0
822e8ffffffffff,18.0,0.0,9.0
822e9ffffffffff,6.0,0.0,0.0
822ea7fffffffff,13.0,0.0,13.0
822eaffffffffff,11.0,0.0,3.0
822eb7fffffffff,2.0,0.0,0.0
822f5ffffffffff,12.0,0.0,10.0
82316ffffffffff,2.0,0.0,0.0
8232dffffffffff,1.0,0.0,0.0
823927fffffffff,36.0,0.0,0.0
824847fffffffff,26.0,0.0,0.0
82484ffffffffff,243.0,0.0,0.0
82485ffffffffff,19.0,0.0,0.0
82486ffffffffff,2.0,0.0,0.0
8250cffffffffff,2.0,0.0,0.0
