cell_id,Vireo griseus,Vireo griseus [griseus Group],Vireo griseus perquisitor
8412dc3ffffffff,4.0,0.0,0.0
841aa07ffffffff,11.0,0.0,0.0
841aa27ffffffff,1.0,0.0,0.0
841aa35ffffffff,6.0,0.0,0.0
841aa3dffffffff,3.0,0.0,0.0
842601dffffffff,18.0,0.0,0.0
8426085ffffffff,10.0,0.0,0.0
84260a1ffffffff,2.0,0.0,0.0
84260a9ffffffff,4.0,0.0,0.0
84260b9ffffffff,3.0,0.0,0.0
84260bbffffffff,1.0,0.0,0.0
84260d9ffffffff,3.0,0.0,0.0
84260e3ffffffff,3.0,0.0,0.0
84260edffffffff,2.0,0.0,0.0
842621bffffffff,2.0,0.0,0.0
84262b3ffffffff,16.0,0.0,0.0
84262b7ffffffff,1.0,0.0,0.0
84262cdffffffff,8.0,0.0,0.0
84262d9ffffffff,8.0,0.0,0.0
84262dbffffffff,3.0,0.0,0.0
84262ebffffffff,2.0,0.0,0.0
8426369ffffffff,7.0,0.0,0.0
8426405ffffffff,1.0,0.0,0.0
842640dffffffff,3.0,0.0,0.0
8426411ffffffff,3.0,0.0,0.0
8426415ffffffff,18.0,0.0,0.0
8426417ffffffff,4.0,0.0,0.0
842641dffffffff,2.0,0.0,0.0
8426421ffffffff,2.0,0.0,0.0
8426425ffffffff,1.0,0.0,0.0
8426427ffffffff,1.0,0.0,0.0
8426439ffffffff,6.0,0.0,0.0
842643bffffffff,10.0,0.0,0.0
8426461ffffffff,4.0,0.0,0.0
8426463ffffffff,15.0,0.0,0.0
8426467ffffffff,1.0,0.0,0.0
8426481ffffffff,5.0,0.0,0.0
8426483ffffffff,3.0,3.0,0.0
8426485ffffffff,2.0,0.0,0.0
8426487ffffffff,8.0,0.0,0.0
8426489ffffffff,3.0,0.0,0.0
842648bffffffff,9.0,0.0,0.0
8426493ffffffff,7.0,1.0,0.0
842649dffffffff,5.0,5.0,0.0
84264a1ffffffff,2.0,0.0,0.0
84264a5ffffffff,4.0,0.0,0.0
84264a7ffffffff,7.0,0.0,0.0
84264b9ffffffff,14.0,0.0,0.0
84264bbffffffff,4.0,0.0,0.0
84264c3ffffffff,3.0,1.0,0.0
84264c5ffffffff,4.0,0.0,0.0
84264c7ffffffff,6.0,0.0,0.0
84264c9ffffffff,2.0,0.0,0.0
