cell_id,Sakesphorus canadensis,Sakesphorus canadensis pulchellus,Sakesphorus canadensis [canadensis Group]
835f01fffffffff,1.0,0.0,0.0
835f08fffffffff,152.0,0.0,0.0
835f09fffffffff,109.0,0.0,0.0
835f0bfffffffff,82.0,0.0,0.0
835f0dfffffffff,4.0,0.0,0.0
835f0efffffffff,13.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0
835f12fffffffff,33.0,0.0,0.0
835f13fffffffff,18.0,0.0,0.0
835f1cfffffffff,94.0,0.0,0.0
835f1dfffffffff,7.0,0.0,0.0
835f1efffffffff,43.0,0.0,0.0
835f28fffffffff,5.0,0.0,0.0
835f29fffffffff,390.0,0.0,0.0
835f2bfffffffff,44.0,0.0,0.0
835f2dfffffffff,145.0,0.0,0.0
835f40fffffffff,10.0,0.0,0.0
835f41fffffffff,30.0,0.0,0.0
835f42fffffffff,3.0,0.0,0.0
835f43fffffffff,8.0,0.0,0.0
835f46fffffffff,5.0,0.0,0.0
835f49fffffffff,8.0,0.0,0.0
835f4afffffffff,33.0,0.0,0.0
835f4bfffffffff,5.0,0.0,0.0
835f4efffffffff,13.0,0.0,0.0
835f50fffffffff,64.0,0.0,0.0
835f58fffffffff,788.0,0.0,0.0
835f5bfffffffff,4.0,0.0,0.0
835f5dfffffffff,10.0,0.0,0.0
835f68fffffffff,45.0,0.0,0.0
835f71fffffffff,2.0,0.0,0.0
835f74fffffffff,1.0,0.0,0.0
835f75fffffffff,6.0,0.0,0.0
836600fffffffff,14.0,0.0,0.0
836601fffffffff,14.0,0.0,0.0
836602fffffffff,525.0,0.0,0.0
836603fffffffff,12.0,0.0,0.0
836604fffffffff,171.0,0.0,0.0
836605fffffffff,17.0,0.0,0.0
836606fffffffff,291.0,0.0,0.0
836608fffffffff,26.0,0.0,0.0
836609fffffffff,5.0,0.0,0.0
83660afffffffff,37.0,0.0,0.0
83660cfffffffff,13.0,0.0,0.0
83660dfffffffff,10.0,0.0,0.0
83660efffffffff,283.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0
836611fffffffff,154.0,0.0,0.0
836615fffffffff,39.0,0.0,0.0
836619fffffffff,19.0,0.0,0.0
83661cfffffffff,19.0,0.0,0.0
83661dfffffffff,3.0,0.0,0.0
836620fffffffff,978.0,48.0,0.0
836621fffffffff,99.0,0.0,0.0
836622fffffffff,1127.0,36.0,0.0
