cell_id,Pericrocotus solaris,Pericrocotus solaris [solaris Group],Pericrocotus solaris montanus/cinereigula
83309afffffffff,146.0,70.0,0.0
83309bfffffffff,2.0,0.0,0.0
83309efffffffff,2.0,0.0,0.0
833c0afffffffff,91.0,0.0,0.0
833c0bfffffffff,79.0,0.0,0.0
833c19fffffffff,127.0,0.0,0.0
833c1dfffffffff,67.0,0.0,0.0
833c31fffffffff,2.0,0.0,0.0
833c33fffffffff,2.0,0.0,0.0
833c43fffffffff,10.0,0.0,0.0
833c52fffffffff,446.0,0.0,0.0
833c56fffffffff,1.0,0.0,0.0
833c58fffffffff,333.0,0.0,0.0
833c59fffffffff,21.0,0.0,0.0
833c5bfffffffff,59.0,0.0,0.0
833c5cfffffffff,22.0,0.0,0.0
833c5dfffffffff,9.0,0.0,0.0
833c5efffffffff,1.0,0.0,0.0
833cc1fffffffff,4.0,0.0,0.0
833cd8fffffffff,37.0,2.0,0.0
833cddfffffffff,8.0,0.0,0.0
833ce2fffffffff,4.0,0.0,0.0
833ce3fffffffff,11.0,0.0,0.0
833ce4fffffffff,39.0,0.0,0.0
833ce5fffffffff,403.0,0.0,0.0
833ce8fffffffff,13.0,0.0,0.0
833ce9fffffffff,3.0,0.0,0.0
833cebfffffffff,19.0,0.0,0.0
834001fffffffff,1.0,0.0,0.0
834003fffffffff,2.0,0.0,0.0
834004fffffffff,2.0,0.0,0.0
834013fffffffff,2.0,0.0,0.0
83401dfffffffff,1.0,0.0,0.0
834022fffffffff,2.0,0.0,0.0
834034fffffffff,19.0,3.0,0.0
834041fffffffff,1.0,0.0,0.0
834043fffffffff,9.0,0.0,0.0
834044fffffffff,11.0,0.0,0.0
834049fffffffff,3.0,0.0,0.0
83404cfffffffff,133.0,2.0,0.0
83404dfffffffff,11.0,0.0,0.0
834058fffffffff,2.0,0.0,0.0
834059fffffffff,10.0,0.0,0.0
83405cfffffffff,1.0,0.0,0.0
834065fffffffff,1.0,0.0,0.0
83406bfffffffff,2.0,0.0,0.0
834071fffffffff,5.0,0.0,0.0
8340aefffffffff,1.0,0.0,0.0
8340c2fffffffff,1.0,0.0,0.0
8340c5fffffffff,15.0,0.0,0.0
8340c6fffffffff,4.0,0.0,0.0
8340e1fffffffff,1.0,0.0,0.0
8340e3fffffffff,2.0,0.0,0.0
834103fffffffff,3.0,0.0,0.0
834112fffffffff,2.0,0.0,0.0
834118fffffffff,22.0,0.0,0.0
834119fffffffff,12.0,0.0,0.0
83411afffffffff,13.0,0.0,0.0
83411bfffffffff,5.0,0.0,0.0
83411cfffffffff,876.0,61.0,0.0
834143fffffffff,4.0,1.0,0.0
834148fffffffff,2.0,0.0,0.0
83414cfffffffff,15.0,0.0,0.0
834158fffffffff,9.0,0.0,0.0
834159fffffffff,6.0,0.0,0.0
83415cfffffffff,14.0,2.0,0.0
83415efffffffff,4.0,0.0,0.0
834160fffffffff,2.0,0.0,0.0
834161fffffffff,5.0,2.0,0.0
834165fffffffff,32.0,6.0,0.0
83416efffffffff,2.0,0.0,0.0
834170fffffffff,5.0,0.0,0.0
834171fffffffff,233.0,0.0,0.0
834184fffffffff,10.0,0.0,0.0
834185fffffffff,94.0,1.0,0.0
834186fffffffff,9.0,0.0,0.0
83418cfffffffff,2.0,0.0,0.0
834190fffffffff,5.0,1.0,0.0
834191fffffffff,25.0,0.0,0.0
834192fffffffff,45.0,27.0,0.0
834193fffffffff,3.0,0.0,0.0
834194fffffffff,6.0,4.0,0.0
834195fffffffff,8.0,0.0,0.0
834196fffffffff,3.0,3.0,0.0
834199fffffffff,2.0,0.0,0.0
83419dfffffffff,3.0,0.0,0.0
8341a0fffffffff,6.0,0.0,0.0
8341a3fffffffff,4.0,0.0,0.0
8341a9fffffffff,1.0,0.0,0.0
8341abfffffffff,5.0,0.0,0.0
8341adfffffffff,4.0,0.0,0.0
8341b2fffffffff,1.0,0.0,0.0
8341b3fffffffff,20.0,12.0,0.0
8341b5fffffffff,34.0,0.0,0.0
834b32fffffffff,2.0,0.0,0.0
834b34fffffffff,2.0,0.0,0.0
834b84fffffffff,754.0,0.0,0.0
834b86fffffffff,10.0,0.0,0.0
834ba0fffffffff,5248.0,486.0,0.0
834ba1fffffffff,330.0,12.0,0.0
834ba2fffffffff,6614.0,180.0,0.0
834ba3fffffffff,2106.0,34.0,0.0
834ba5fffffffff,1.0,0.0,0.0
834ba6fffffffff,1.0,0.0,0.0
834bb1fffffffff,878.0,23.0,0.0
834bb5fffffffff,6.0,0.0,0.0
836416fffffffff,73.0,15.0,0.0
836480fffffffff,2.0,2.0,0.0
836482fffffffff,624.0,125.0,0.0
836484fffffffff,2.0,0.0,0.0
836490fffffffff,4.0,0.0,0.0
836491fffffffff,393.0,107.0,0.0
836494fffffffff,8.0,8.0,0.0
836495fffffffff,3.0,2.0,0.0
836498fffffffff,31.0,2.0,0.0
83649cfffffffff,2.0,2.0,0.0
8364a3fffffffff,71.0,17.0,0.0
