cell_id,Thraupis episcopus,Thraupis episcopus [cana Group],Thraupis episcopus [episcopus Group]
822837fffffffff,14.0,0.0,6.0
8244affffffffff,17.0,0.0,10.0
824507fffffffff,16.0,0.0,0.0
82450ffffffffff,2.0,0.0,0.0
824527fffffffff,9.0,4.0,0.0
82452ffffffffff,52.0,29.0,0.0
824997fffffffff,12.0,5.0,0.0
82499ffffffffff,2.0,1.0,0.0
8249a7fffffffff,4.0,0.0,0.0
8249affffffffff,4.0,0.0,0.0
8249b7fffffffff,9.0,2.0,0.0
825f5ffffffffff,54.0,41.0,0.0
82660ffffffffff,13.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,17.0,0.0,0.0
8266a7fffffffff,5.0,1.0,0.0
8266b7fffffffff,56.0,19.0,0.0
8266c7fffffffff,6.0,0.0,3.0
8266d7fffffffff,35.0,10.0,0.0
8266dffffffffff,25.0,0.0,18.0
8266e7fffffffff,15.0,0.0,9.0
8266effffffffff,1.0,0.0,1.0
8266f7fffffffff,11.0,1.0,0.0
826747fffffffff,3.0,1.0,0.0
82674ffffffffff,60.0,0.0,0.0
82675ffffffffff,47.0,2.0,0.0
82679ffffffffff,3.0,0.0,0.0
826d27fffffffff,16.0,7.0,0.0
826d2ffffffffff,11.0,6.0,0.0
826d37fffffffff,17.0,0.0,0.0
826d6ffffffffff,156.0,127.0,0.0
828a47fffffffff,4.0,0.0,0.0
828a6ffffffffff,1.0,0.0,0.0
828a87fffffffff,2.0,0.0,2.0
828af7fffffffff,12.0,0.0,12.0
828b67fffffffff,9.0,0.0,9.0
828b77fffffffff,2.0,0.0,0.0
828e67fffffffff,34.0,12.0,19.0
828f0ffffffffff,7.0,7.0,0.0
828f2ffffffffff,30.0,11.0,16.0
828f4ffffffffff,8.0,0.0,0.0
828f77fffffffff,5.0,3.0,2.0
