cell_id,Tyto tenebricosa,Tyto tenebricosa tenebricosa/arfaki,Tyto tenebricosa multipunctata
8472895ffffffff,1.0,0.0,0.0
84728b9ffffffff,9.0,4.0,0.0
8472a2bffffffff,54.0,29.0,0.0
8472da1ffffffff,3.0,0.0,0.0
8472da3ffffffff,6.0,6.0,0.0
849c05dffffffff,6.0,0.0,3.0
849c203ffffffff,2.0,0.0,2.0
849c215ffffffff,20.0,0.0,14.0
849c231ffffffff,51.0,0.0,30.0
849c237ffffffff,171.0,0.0,119.0
849c239ffffffff,177.0,0.0,126.0
849c23bffffffff,10.0,0.0,8.0
849c251ffffffff,1.0,0.0,0.0
849c851ffffffff,3.0,0.0,0.0
849c9d7ffffffff,2.0,0.0,0.0
849c9ddffffffff,3.0,2.0,0.0
849cd2dffffffff,18.0,9.0,0.0
849cd31ffffffff,10.0,2.0,0.0
849d0cdffffffff,6.0,0.0,0.0
84be083ffffffff,2.0,2.0,0.0
84be085ffffffff,4.0,0.0,0.0
84be087ffffffff,14.0,7.0,0.0
84be089ffffffff,11.0,0.0,0.0
84be08dffffffff,45.0,11.0,0.0
84be0a9ffffffff,3.0,2.0,0.0
84be0adffffffff,2.0,0.0,0.0
84be0c3ffffffff,10.0,10.0,0.0
84be0d5ffffffff,5.0,0.0,0.0
84be0d9ffffffff,4.0,0.0,0.0
84be0ddffffffff,2.0,0.0,0.0
84be0e3ffffffff,1.0,0.0,0.0
84be0e7ffffffff,5.0,5.0,0.0
84be181ffffffff,18.0,1.0,0.0
84be187ffffffff,6.0,3.0,0.0
84be199ffffffff,9.0,7.0,0.0
84be19dffffffff,1.0,0.0,0.0
84be1a1ffffffff,3.0,0.0,0.0
84be1a3ffffffff,1.0,0.0,0.0
84be293ffffffff,5.0,5.0,0.0
84be621ffffffff,11.0,2.0,0.0
84be623ffffffff,33.0,13.0,0.0
84be627ffffffff,3.0,0.0,0.0
84be62bffffffff,57.0,26.0,0.0
84be62dffffffff,2.0,2.0,0.0
84be63dffffffff,9.0,1.0,0.0
84be74bffffffff,31.0,12.0,0.0
84be74dffffffff,16.0,5.0,0.0
84be75dffffffff,4.0,3.0,0.0
84be76dffffffff,1.0,0.0,0.0
84be883ffffffff,1.0,0.0,0.0
84be887ffffffff,8.0,5.0,0.0
84be88bffffffff,8.0,1.0,0.0
84be89bffffffff,15.0,1.0,0.0
84be89dffffffff,6.0,4.0,0.0
84be8d1ffffffff,178.0,47.0,0.0
84be8d7ffffffff,22.0,11.0,0.0
84be8d9ffffffff,9.0,0.0,0.0
84beab3ffffffff,75.0,26.0,0.0
84beabbffffffff,4.0,2.0,0.0
84bef41ffffffff,4.0,0.0,0.0
84bef45ffffffff,1.0,1.0,0.0
84bef61ffffffff,4.0,2.0,0.0
84bef67ffffffff,12.0,2.0,0.0
84bef6dffffffff,15.0,4.0,0.0
