cell_id,Cissa chinensis,Cissa chinensis [chinensis Group],Cissa chinensis margaritae
823c07fffffffff,79.0,2.0,0.0
823c0ffffffffff,355.0,11.0,0.0
823c17fffffffff,15.0,0.0,0.0
823c1ffffffffff,808.0,25.0,0.0
823c37fffffffff,76.0,2.0,0.0
823c57fffffffff,218.0,0.0,0.0
823c5ffffffffff,531.0,0.0,0.0
823cc7fffffffff,246.0,0.0,0.0
823cd7fffffffff,3.0,0.0,0.0
823cdffffffffff,3.0,0.0,0.0
823ce7fffffffff,509.0,0.0,0.0
823ceffffffffff,118.0,2.0,0.0
823d17fffffffff,86.0,0.0,0.0
823d1ffffffffff,2.0,0.0,0.0
823daffffffffff,620.0,0.0,0.0
82404ffffffffff,22.0,20.0,0.0
824147fffffffff,2.0,2.0,0.0
82416ffffffffff,2.0,0.0,0.0
826417fffffffff,457.0,0.0,0.0
826487fffffffff,141.0,20.0,0.0
826497fffffffff,27.0,9.0,0.0
82649ffffffffff,8.0,2.0,0.0
8264a7fffffffff,55.0,0.0,0.0
8264b7fffffffff,96.0,0.0,0.0
826507fffffffff,11.0,11.0,0.0
826587fffffffff,2.0,0.0,0.0
82658ffffffffff,4.0,0.0,0.0
826597fffffffff,2.0,0.0,0.0
82659ffffffffff,511.0,0.0,0.0
8265b7fffffffff,1.0,0.0,1.0
