cell_id,Otus magicus,Otus magicus [magicus Group],Otus magicus kalidupae
837390fffffffff,168.0,31.0,0.0
837392fffffffff,1.0,0.0,0.0
837395fffffffff,23.0,2.0,0.0
837396fffffffff,1.0,0.0,0.0
839426fffffffff,3.0,0.0,0.0
839512fffffffff,1.0,0.0,0.0
839518fffffffff,20.0,15.0,0.0
83951afffffffff,26.0,2.0,0.0
83951bfffffffff,1.0,0.0,0.0
83951efffffffff,48.0,5.0,0.0
839544fffffffff,73.0,6.0,0.0
839561fffffffff,56.0,10.0,0.0
83956afffffffff,53.0,6.0,0.0
83956bfffffffff,44.0,5.0,0.0
83956cfffffffff,2.0,2.0,0.0
839572fffffffff,1.0,0.0,1.0
