cell_id,Edolisoma timoriense,Edolisoma timoriense emancipatum/kalaotuae,Edolisoma timoriense timoriense
829407fffffffff,7.0,0.0,0.0
829427fffffffff,18.0,0.0,0.0
82942ffffffffff,24.0,0.0,0.0
