cell_id,Puffinus bailloni,Puffinus bailloni bailloni,Puffinus bailloni [dichrous Group]
84615c1ffffffff,1.0,0.0,1.0
84616c5ffffffff,2.0,0.0,0.0
84616e9ffffffff,1.0,0.0,0.0
84731b1ffffffff,2.0,0.0,0.0
84731b9ffffffff,19.0,0.0,1.0
84731bbffffffff,2.0,0.0,0.0
84731bdffffffff,4.0,0.0,0.0
847709bffffffff,1.0,0.0,0.0
8477315ffffffff,5.0,0.0,0.0
8477727ffffffff,1.0,0.0,0.0
8478983ffffffff,1.0,0.0,1.0
847b32dffffffff,1.0,0.0,0.0
847b367ffffffff,1.0,0.0,0.0
84844e5ffffffff,1.0,0.0,0.0
848451bffffffff,1.0,0.0,0.0
84845a1ffffffff,1.0,0.0,0.0
84845edffffffff,2.0,0.0,0.0
84846ddffffffff,1.0,0.0,0.0
8485a07ffffffff,15.0,0.0,0.0
8485a0bffffffff,1.0,0.0,0.0
8485a15ffffffff,1.0,0.0,0.0
8485a23ffffffff,3.0,0.0,0.0
8485a27ffffffff,2.0,0.0,0.0
8485a2bffffffff,20.0,0.0,0.0
8485a3dffffffff,3.0,0.0,0.0
8485b01ffffffff,2.0,0.0,0.0
8485b0dffffffff,1.0,0.0,0.0
8485b29ffffffff,1.0,0.0,0.0
8488c85ffffffff,4.0,0.0,2.0
8489049ffffffff,1.0,0.0,0.0
8489127ffffffff,1.0,0.0,0.0
8489225ffffffff,4.0,0.0,0.0
8489227ffffffff,3.0,0.0,0.0
8489305ffffffff,2.0,0.0,0.0
8489309ffffffff,3.0,0.0,0.0
848930dffffffff,7.0,0.0,0.0
8489311ffffffff,2.0,0.0,0.0
8489321ffffffff,2.0,0.0,0.0
8489325ffffffff,2.0,0.0,0.0
8489343ffffffff,25.0,0.0,0.0
8489355ffffffff,1.0,0.0,0.0
849b0a7ffffffff,2.0,0.0,0.0
849b0e7ffffffff,1.0,0.0,0.0
849b41bffffffff,2.0,0.0,0.0
849b433ffffffff,1.0,0.0,0.0
849b459ffffffff,1.0,0.0,0.0
849b509ffffffff,1.0,0.0,0.0
849b733ffffffff,2.0,0.0,0.0
849e059ffffffff,2.0,0.0,0.0
849e221ffffffff,1.0,0.0,1.0
849e245ffffffff,10.0,0.0,0.0
849e25dffffffff,1.0,0.0,0.0
849f123ffffffff,1.0,0.0,0.0
84a0259ffffffff,1.0,0.0,0.0
84a0495ffffffff,5.0,0.0,0.0
84a04c3ffffffff,2.0,0.0,0.0
84a069bffffffff,2.0,0.0,0.0
84a06dbffffffff,1.0,0.0,0.0
84a0ca5ffffffff,1.0,0.0,0.0
84a0d91ffffffff,2.0,0.0,0.0
84a0dc9ffffffff,2.0,0.0,0.0
84a0edbffffffff,1.0,0.0,0.0
84a118dffffffff,1.0,0.0,0.0
84a2423ffffffff,1.0,0.0,0.0
84a2501ffffffff,1.0,0.0,0.0
84a2509ffffffff,12.0,2.0,0.0
84a250bffffffff,6.0,1.0,0.0
84a2543ffffffff,5.0,2.0,0.0
84a2555ffffffff,1.0,0.0,0.0
84b49a7ffffffff,1.0,0.0,0.0
