cell_id,Molothrus aeneus,Molothrus aeneus [aeneus Group],Molothrus aeneus armenti
8226cffffffffff,9.0,0.0,0.0
8226d7fffffffff,48.0,0.0,0.0
8226dffffffffff,41.0,2.0,0.0
8226f7fffffffff,24.0,0.0,0.0
822987fffffffff,31.0,0.0,0.0
82298ffffffffff,2.0,0.0,0.0
8229a7fffffffff,79.0,0.0,0.0
8229affffffffff,2.0,0.0,0.0
8229b7fffffffff,91.0,0.0,0.0
822ad7fffffffff,21.0,0.0,0.0
824417fffffffff,91.0,1.0,0.0
82441ffffffffff,614.0,25.0,0.0
824447fffffffff,197.0,1.0,0.0
824457fffffffff,249.0,0.0,0.0
824467fffffffff,12.0,0.0,0.0
82446ffffffffff,49.0,0.0,0.0
824477fffffffff,95.0,0.0,0.0
8244a7fffffffff,26.0,0.0,0.0
8244affffffffff,238.0,3.0,0.0
8244e7fffffffff,5.0,0.0,0.0
8244f7fffffffff,11.0,0.0,0.0
824507fffffffff,21.0,0.0,0.0
824527fffffffff,9.0,0.0,0.0
82452ffffffffff,70.0,0.0,0.0
824537fffffffff,2.0,0.0,0.0
824577fffffffff,3.0,0.0,0.0
82480ffffffffff,1.0,0.0,0.0
824817fffffffff,11.0,0.0,0.0
824837fffffffff,3.0,3.0,0.0
824847fffffffff,1.0,0.0,0.0
824857fffffffff,1.0,0.0,0.0
82485ffffffffff,61.0,0.0,0.0
824877fffffffff,1.0,0.0,0.0
824887fffffffff,13.0,4.0,0.0
82488ffffffffff,13.0,2.0,0.0
824897fffffffff,47.0,3.0,0.0
82489ffffffffff,90.0,0.0,0.0
8248a7fffffffff,2.0,2.0,0.0
8248affffffffff,1.0,0.0,0.0
8248b7fffffffff,57.0,3.0,0.0
8248c7fffffffff,37.0,0.0,0.0
8248cffffffffff,25.0,0.0,0.0
8248d7fffffffff,32.0,0.0,0.0
8248dffffffffff,17.0,0.0,0.0
8248effffffffff,187.0,6.0,0.0
8248f7fffffffff,5.0,3.0,0.0
824987fffffffff,2.0,0.0,0.0
824997fffffffff,201.0,21.0,0.0
82499ffffffffff,12.0,7.0,0.0
8249affffffffff,2.0,0.0,0.0
8249b7fffffffff,21.0,19.0,0.0
826617fffffffff,18.0,0.0,0.0
826627fffffffff,11.0,0.0,4.0
8266a7fffffffff,37.0,0.0,0.0
8266b7fffffffff,90.0,12.0,0.0
826d07fffffffff,3.0,2.0,0.0
826d27fffffffff,11.0,3.0,0.0
826d2ffffffffff,24.0,0.0,0.0
826d37fffffffff,32.0,0.0,0.0
826d67fffffffff,2.0,0.0,0.0
826d6ffffffffff,17.0,7.0,0.0
