cell_id,Mirafra javanica,Mirafra javanica [cantillans Group],Mirafra javanica [javanica Group]
833da2fffffffff,1.0,0.0,0.0
833db2fffffffff,3.0,0.0,0.0
833db4fffffffff,2.0,0.0,0.0
833db5fffffffff,10.0,0.0,0.0
835211fffffffff,2.0,2.0,0.0
83521cfffffffff,22.0,15.0,0.0
83521efffffffff,3.0,3.0,0.0
835402fffffffff,3.0,2.0,0.0
835410fffffffff,13.0,12.0,0.0
835411fffffffff,7.0,6.0,0.0
835415fffffffff,5.0,5.0,0.0
83541afffffffff,23.0,16.0,0.0
83541efffffffff,57.0,36.0,0.0
8354adfffffffff,10.0,10.0,0.0
8354e5fffffffff,2.0,2.0,0.0
835858fffffffff,1.0,1.0,0.0
83585efffffffff,1.0,1.0,0.0
83599efffffffff,9.0,9.0,0.0
836332fffffffff,20.0,0.0,4.0
836482fffffffff,42.0,0.0,38.0
836484fffffffff,13.0,0.0,13.0
836486fffffffff,4.0,0.0,4.0
836490fffffffff,3.0,0.0,3.0
836491fffffffff,39.0,0.0,33.0
8364a0fffffffff,5.0,0.0,5.0
8364a2fffffffff,56.0,0.0,56.0
8364a4fffffffff,28.0,0.0,28.0
8364a6fffffffff,14.0,0.0,14.0
8364b1fffffffff,37.0,0.0,37.0
8364b5fffffffff,2.0,0.0,2.0
836580fffffffff,5.0,0.0,3.0
836582fffffffff,160.0,0.0,142.0
836583fffffffff,13.0,0.0,12.0
836584fffffffff,23.0,0.0,23.0
836585fffffffff,6.0,0.0,5.0
836586fffffffff,4.0,0.0,4.0
836591fffffffff,10.0,0.0,10.0
836598fffffffff,17.0,0.0,17.0
836599fffffffff,87.0,0.0,86.0
83659cfffffffff,48.0,0.0,48.0
83659dfffffffff,1.0,0.0,1.0
8365b3fffffffff,6.0,0.0,6.0
83685dfffffffff,2.0,0.0,2.0
83685efffffffff,19.0,0.0,16.0
836941fffffffff,2.0,0.0,2.0
83694bfffffffff,2.0,0.0,2.0
83694efffffffff,9.0,0.0,9.0
83695dfffffffff,4.0,0.0,4.0
836968fffffffff,6.0,0.0,4.0
83696afffffffff,1.0,0.0,1.0
83696cfffffffff,5.0,0.0,5.0
836a58fffffffff,10.0,10.0,0.0
836aeefffffffff,2.0,2.0,0.0
836b30fffffffff,2.0,0.0,0.0
8372dcfffffffff,1.0,0.0,0.0
837a40fffffffff,24.0,23.0,0.0
837a41fffffffff,32.0,32.0,0.0
837a4bfffffffff,3.0,0.0,0.0
837a58fffffffff,5.0,5.0,0.0
837a5cfffffffff,2.0,0.0,0.0
837a5efffffffff,2.0,2.0,0.0
837a60fffffffff,5.0,3.0,0.0
837a61fffffffff,23.0,20.0,0.0
837a64fffffffff,23.0,17.0,0.0
837a65fffffffff,5.0,4.0,0.0
837a66fffffffff,4.0,4.0,0.0
837a6cfffffffff,10.0,0.0,0.0
837a6efffffffff,4.0,2.0,0.0
837ad9fffffffff,111.0,98.0,0.0
83941bfffffffff,4.0,0.0,4.0
83942cfffffffff,16.0,0.0,16.0
83942dfffffffff,2.0,0.0,2.0
839451fffffffff,264.0,0.0,223.0
839453fffffffff,10.0,0.0,9.0
839455fffffffff,2.0,0.0,2.0
83945afffffffff,2.0,0.0,2.0
83945cfffffffff,7.0,0.0,4.0
839480fffffffff,299.0,0.0,278.0
839481fffffffff,387.0,0.0,374.0
839482fffffffff,27.0,0.0,27.0
839485fffffffff,4.0,0.0,4.0
839489fffffffff,2.0,0.0,2.0
83948cfffffffff,12.0,0.0,12.0
839490fffffffff,10.0,0.0,9.0
839491fffffffff,32.0,0.0,32.0
839496fffffffff,9.0,0.0,7.0
8394aafffffffff,1.0,0.0,0.0
8394abfffffffff,3.0,0.0,3.0
8394c1fffffffff,5.0,0.0,5.0
8394c4fffffffff,22.0,0.0,22.0
8394c9fffffffff,3.0,0.0,3.0
8394d2fffffffff,2.0,0.0,2.0
8394d4fffffffff,1.0,0.0,1.0
8394d5fffffffff,7.0,0.0,5.0
8394defffffffff,2.0,0.0,2.0
8394e2fffffffff,68.0,0.0,66.0
8394e3fffffffff,5.0,0.0,4.0
8394e8fffffffff,14.0,0.0,14.0
8394e9fffffffff,2.0,0.0,2.0
8394edfffffffff,74.0,0.0,70.0
8394eefffffffff,86.0,0.0,81.0
8394f0fffffffff,9.0,0.0,9.0
8394f2fffffffff,10.0,0.0,10.0
8394f4fffffffff,6.0,0.0,6.0
8394f5fffffffff,4.0,0.0,4.0
8394f6fffffffff,13.0,0.0,11.0
839692fffffffff,3.0,0.0,0.0
839c01fffffffff,3.0,0.0,2.0
839c05fffffffff,10.0,0.0,10.0
839c0efffffffff,17.0,0.0,15.0
839c20fffffffff,5.0,0.0,5.0
839c23fffffffff,129.0,0.0,105.0
839c25fffffffff,23.0,0.0,23.0
839c2cfffffffff,18.0,0.0,18.0
839c2dfffffffff,22.0,0.0,20.0
839c41fffffffff,3.0,0.0,3.0
839c43fffffffff,2.0,0.0,2.0
839c59fffffffff,4.0,0.0,4.0
839c60fffffffff,5.0,0.0,5.0
839c62fffffffff,2.0,0.0,2.0
839c65fffffffff,16.0,0.0,10.0
839c68fffffffff,16.0,0.0,16.0
839c6afffffffff,5.0,0.0,5.0
839c6bfffffffff,3.0,0.0,3.0
839c6cfffffffff,55.0,0.0,55.0
839c6dfffffffff,19.0,0.0,17.0
839c6efffffffff,8.0,0.0,8.0
839c74fffffffff,23.0,0.0,22.0
839c75fffffffff,11.0,0.0,11.0
839c8afffffffff,2.0,0.0,2.0
839c9dfffffffff,4.0,0.0,4.0
839caafffffffff,7.0,0.0,5.0
839cd2fffffffff,2.0,0.0,2.0
839d08fffffffff,4.0,0.0,3.0
839d09fffffffff,1.0,0.0,1.0
839d0afffffffff,9.0,0.0,8.0
839d0bfffffffff,49.0,0.0,46.0
839d0cfffffffff,5.0,0.0,5.0
839d21fffffffff,49.0,0.0,46.0
839d23fffffffff,2.0,0.0,2.0
839d28fffffffff,12.0,0.0,12.0
839d2afffffffff,7.0,0.0,7.0
839d2bfffffffff,2.0,0.0,2.0
839d2cfffffffff,3.0,0.0,3.0
839d2dfffffffff,1.0,0.0,1.0
839d40fffffffff,14.0,0.0,10.0
839d41fffffffff,2.0,0.0,2.0
839d42fffffffff,4.0,0.0,2.0
839d43fffffffff,10.0,0.0,8.0
839d44fffffffff,16.0,0.0,15.0
839d45fffffffff,1.0,0.0,1.0
839d46fffffffff,27.0,0.0,21.0
839d4afffffffff,12.0,0.0,12.0
839d4cfffffffff,21.0,0.0,21.0
839d4efffffffff,3.0,0.0,3.0
839d50fffffffff,1.0,0.0,1.0
839d55fffffffff,7.0,0.0,6.0
839d59fffffffff,1.0,0.0,1.0
839d5dfffffffff,2.0,0.0,0.0
839d62fffffffff,3.0,0.0,3.0
839d65fffffffff,3.0,0.0,3.0
839d68fffffffff,7.0,0.0,6.0
839d6afffffffff,27.0,0.0,27.0
839d6bfffffffff,9.0,0.0,9.0
839d6dfffffffff,13.0,0.0,12.0
839d6efffffffff,3.0,0.0,3.0
839d70fffffffff,1.0,0.0,0.0
839d71fffffffff,6.0,0.0,6.0
839d75fffffffff,2.0,0.0,2.0
83a606fffffffff,2.0,0.0,2.0
83a612fffffffff,48.0,0.0,48.0
83a615fffffffff,8.0,0.0,8.0
83a616fffffffff,3.0,0.0,3.0
83a6a6fffffffff,54.0,0.0,50.0
83a783fffffffff,2.0,0.0,2.0
83a78afffffffff,1.0,0.0,1.0
83a791fffffffff,4.0,0.0,4.0
83a799fffffffff,2.0,0.0,2.0
83a79afffffffff,52.0,0.0,45.0
83a79bfffffffff,9.0,0.0,9.0
83a79cfffffffff,3.0,0.0,3.0
83a79dfffffffff,6.0,0.0,6.0
83b881fffffffff,2.0,0.0,2.0
83b885fffffffff,4.0,0.0,4.0
83b89afffffffff,7.0,0.0,7.0
83b8a2fffffffff,2.0,0.0,2.0
83b8aefffffffff,2.0,0.0,2.0
83b8b6fffffffff,2.0,0.0,0.0
83b910fffffffff,1.0,0.0,0.0
83b911fffffffff,4.0,0.0,4.0
83b912fffffffff,1.0,0.0,1.0
83b913fffffffff,3.0,0.0,3.0
83b915fffffffff,2.0,0.0,2.0
83b916fffffffff,49.0,0.0,49.0
83b91afffffffff,1.0,0.0,0.0
83b980fffffffff,1.0,0.0,1.0
83b986fffffffff,3.0,0.0,3.0
83b98efffffffff,1.0,0.0,1.0
83b991fffffffff,2.0,0.0,2.0
83b996fffffffff,4.0,0.0,4.0
83b99cfffffffff,2.0,0.0,2.0
83b9a1fffffffff,5.0,0.0,2.0
83b9a5fffffffff,18.0,0.0,16.0
83b9adfffffffff,4.0,0.0,4.0
83b9b2fffffffff,9.0,0.0,9.0
83b9b3fffffffff,2.0,0.0,2.0
83be08fffffffff,17.0,0.0,17.0
83be09fffffffff,7.0,0.0,6.0
83be0afffffffff,35.0,0.0,35.0
83be0bfffffffff,42.0,0.0,40.0
83be0dfffffffff,46.0,0.0,45.0
83be19fffffffff,3.0,0.0,3.0
83be1bfffffffff,2.0,0.0,2.0
83be1dfffffffff,3.0,0.0,3.0
83be40fffffffff,259.0,0.0,236.0
83be41fffffffff,4.0,0.0,4.0
83be42fffffffff,168.0,0.0,144.0
83be43fffffffff,14.0,0.0,13.0
83be44fffffffff,21.0,0.0,21.0
83be45fffffffff,8.0,0.0,7.0
83be46fffffffff,3.0,0.0,3.0
83be49fffffffff,12.0,0.0,12.0
83be4afffffffff,7.0,0.0,7.0
83be4bfffffffff,6.0,0.0,6.0
83be4cfffffffff,12.0,0.0,11.0
83be4efffffffff,2.0,0.0,2.0
83be50fffffffff,48.0,0.0,46.0
83be51fffffffff,2.0,0.0,2.0
83be54fffffffff,18.0,0.0,18.0
83be55fffffffff,20.0,0.0,18.0
83be56fffffffff,2.0,0.0,2.0
83be59fffffffff,1.0,0.0,1.0
83be5bfffffffff,1.0,0.0,1.0
83be60fffffffff,4.0,0.0,4.0
83be63fffffffff,748.0,0.0,668.0
83be6afffffffff,7.0,0.0,7.0
83be6bfffffffff,9.0,0.0,9.0
83be6efffffffff,43.0,0.0,39.0
83be71fffffffff,5.0,0.0,5.0
83be72fffffffff,21.0,0.0,19.0
83be73fffffffff,2.0,0.0,2.0
83be75fffffffff,1.0,0.0,0.0
83be8bfffffffff,36.0,0.0,36.0
83be8dfffffffff,44.0,0.0,43.0
83bec8fffffffff,4.0,0.0,4.0
83becefffffffff,6.0,0.0,6.0
83bed1fffffffff,2.0,0.0,2.0
83bed2fffffffff,11.0,0.0,11.0
83bed3fffffffff,4.0,0.0,4.0
83bed4fffffffff,4.0,0.0,4.0
83bed8fffffffff,4.0,0.0,4.0
83bedbfffffffff,7.0,0.0,7.0
83bedefffffffff,1.0,0.0,1.0
83bee0fffffffff,2.0,0.0,2.0
83bee1fffffffff,2.0,0.0,2.0
83bee3fffffffff,2.0,0.0,2.0
83bee4fffffffff,29.0,0.0,24.0
83bee6fffffffff,37.0,0.0,33.0
83beeafffffffff,9.0,0.0,9.0
83beeefffffffff,2.0,0.0,2.0
83bef0fffffffff,70.0,0.0,66.0
83bef1fffffffff,7.0,0.0,7.0
83bef2fffffffff,77.0,0.0,56.0
83bef3fffffffff,35.0,0.0,34.0
83bef4fffffffff,2.0,0.0,2.0
