cell_id,Canachites canadensis,Canachites canadensis [canadensis Group],Canachites canadensis franklinii/isleibi,Canachites canadensis [canadensis Group] x franklinii/isleibi
820c07fffffffff,3.0,0.0,0.0,0.0
820c0ffffffffff,4.0,0.0,0.0,0.0
820c17fffffffff,4.0,0.0,0.0,0.0
820c27fffffffff,20.0,0.0,0.0,0.0
820c2ffffffffff,8.0,0.0,0.0,0.0
820c37fffffffff,8.0,0.0,0.0,0.0
820c47fffffffff,155.0,0.0,0.0,0.0
820c57fffffffff,213.0,1.0,0.0,0.0
820c67fffffffff,99.0,0.0,0.0,0.0
820c77fffffffff,784.0,60.0,0.0,0.0
820ceffffffffff,12.0,0.0,0.0,0.0
820d47fffffffff,5.0,0.0,0.0,0.0
820d4ffffffffff,29.0,0.0,0.0,0.0
820d57fffffffff,13.0,0.0,0.0,0.0
820d5ffffffffff,114.0,3.0,0.0,0.0
820d67fffffffff,2.0,0.0,0.0,0.0
820d6ffffffffff,3.0,0.0,0.0,0.0
820e0ffffffffff,1.0,0.0,0.0,0.0
820e47fffffffff,5.0,0.0,0.0,0.0
820e4ffffffffff,244.0,0.0,0.0,0.0
820e57fffffffff,19.0,0.0,0.0,0.0
820e5ffffffffff,78.0,0.0,0.0,0.0
820e67fffffffff,17.0,0.0,0.0,0.0
820e6ffffffffff,13.0,0.0,0.0,0.0
820e87fffffffff,152.0,0.0,0.0,0.0
820e8ffffffffff,1.0,0.0,0.0,0.0
820e97fffffffff,5.0,0.0,0.0,0.0
820e9ffffffffff,1.0,0.0,0.0,0.0
820ec7fffffffff,12.0,0.0,0.0,0.0
820ecffffffffff,139.0,18.0,0.0,0.0
820ed7fffffffff,4.0,0.0,0.0,0.0
820edffffffffff,14.0,0.0,0.0,0.0
820ee7fffffffff,2.0,0.0,0.0,0.0
820eeffffffffff,36.0,0.0,0.0,0.0
820f4ffffffffff,1.0,0.0,0.0,0.0
820f5ffffffffff,2.0,0.0,0.0,0.0
821207fffffffff,6.0,0.0,0.0,0.0
82120ffffffffff,4.0,0.0,0.0,0.0
821217fffffffff,16.0,0.0,0.0,0.0
82121ffffffffff,13.0,0.0,0.0,0.0
821227fffffffff,4.0,0.0,0.0,0.0
82122ffffffffff,12.0,0.0,0.0,0.0
821237fffffffff,10.0,0.0,0.0,0.0
821247fffffffff,27.0,0.0,0.0,0.0
82124ffffffffff,5.0,0.0,0.0,0.0
821257fffffffff,36.0,0.0,0.0,0.0
82125ffffffffff,32.0,0.0,0.0,0.0
821267fffffffff,5.0,0.0,0.0,0.0
82126ffffffffff,10.0,0.0,0.0,0.0
821277fffffffff,39.0,0.0,0.0,0.0
821287fffffffff,19.0,0.0,0.0,0.0
82128ffffffffff,55.0,0.0,0.0,0.0
8212a7fffffffff,7.0,0.0,0.0,0.0
8212affffffffff,49.0,0.0,9.0,0.0
8212c7fffffffff,351.0,0.0,7.0,0.0
8212cffffffffff,355.0,0.0,64.0,0.0
8212d7fffffffff,111.0,0.0,0.0,0.0
8212dffffffffff,162.0,0.0,10.0,0.0
8212e7fffffffff,50.0,0.0,0.0,0.0
8212f7fffffffff,83.0,0.0,4.0,0.0
821307fffffffff,1.0,0.0,0.0,0.0
82131ffffffffff,4.0,0.0,0.0,0.0
821357fffffffff,12.0,0.0,0.0,0.0
821387fffffffff,218.0,0.0,0.0,0.0
82138ffffffffff,165.0,0.0,0.0,0.0
821397fffffffff,18.0,0.0,0.0,0.0
82139ffffffffff,6.0,0.0,0.0,0.0
8213a7fffffffff,10.0,0.0,0.0,0.0
8213affffffffff,20.0,0.0,0.0,0.0
8213b7fffffffff,43.0,0.0,0.0,0.0
821aa7fffffffff,47.0,4.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0,0.0
821b87fffffffff,14.0,0.0,0.0,0.0
821b97fffffffff,3.0,0.0,0.0,0.0
821b9ffffffffff,34.0,0.0,0.0,0.0
821bb7fffffffff,3.0,0.0,0.0,0.0
822707fffffffff,139.0,0.0,0.0,0.0
82270ffffffffff,568.0,109.0,0.0,0.0
822717fffffffff,41.0,0.0,0.0,0.0
82271ffffffffff,14.0,0.0,0.0,0.0
82272ffffffffff,23.0,0.0,0.0,0.0
822737fffffffff,4.0,0.0,0.0,0.0
822747fffffffff,11.0,0.0,0.0,0.0
822757fffffffff,3.0,0.0,0.0,0.0
822767fffffffff,83.0,6.0,0.0,0.0
822777fffffffff,168.0,8.0,0.0,0.0
822797fffffffff,1.0,0.0,0.0,0.0
822887fffffffff,125.0,0.0,7.0,0.0
822897fffffffff,6.0,0.0,0.0,0.0
82289ffffffffff,73.0,0.0,6.0,0.0
8228d7fffffffff,148.0,0.0,15.0,0.0
822a37fffffffff,9.0,0.0,0.0,0.0
822b07fffffffff,129.0,0.0,0.0,0.0
822b0ffffffffff,62.0,0.0,0.0,0.0
822b17fffffffff,176.0,2.0,0.0,0.0
822b1ffffffffff,391.0,0.0,0.0,0.0
822b27fffffffff,71.0,0.0,0.0,0.0
822b2ffffffffff,84.0,0.0,0.0,0.0
822b37fffffffff,510.0,0.0,0.0,0.0
822b87fffffffff,141.0,5.0,0.0,0.0
822b97fffffffff,160.0,3.0,0.0,0.0
822b9ffffffffff,1069.0,112.0,0.0,0.0
822ba7fffffffff,485.0,0.0,0.0,0.0
822baffffffffff,763.0,21.0,0.0,0.0
822bb7fffffffff,327.0,0.0,0.0,0.0
