cell_id,Sterna vittata,Sterna vittata [vittata Group],Sterna vittata georgiae
83ad32fffffffff,41.0,17.0,0.0
83ad36fffffffff,15.0,1.0,0.0
83bc68fffffffff,1.0,0.0,0.0
83bc69fffffffff,7.0,0.0,0.0
83be68fffffffff,7.0,0.0,0.0
83be69fffffffff,8.0,2.0,0.0
83be6cfffffffff,3.0,0.0,0.0
83bf4cfffffffff,35.0,0.0,0.0
83c01efffffffff,3.0,0.0,0.0
83c0e2fffffffff,1.0,0.0,0.0
83c203fffffffff,1.0,0.0,0.0
83c2d4fffffffff,4.0,0.0,0.0
83c2f2fffffffff,2.0,0.0,0.0
83d168fffffffff,2.0,0.0,0.0
83da00fffffffff,16.0,8.0,0.0
83da18fffffffff,11.0,7.0,0.0
83da1afffffffff,1.0,0.0,0.0
83da84fffffffff,5.0,0.0,0.0
83daa9fffffffff,9.0,8.0,0.0
83daaafffffffff,5.0,0.0,0.0
83db81fffffffff,2.0,0.0,0.0
83db82fffffffff,3.0,0.0,0.0
83de09fffffffff,2.0,0.0,0.0
83de82fffffffff,5.0,0.0,5.0
83de95fffffffff,8.0,0.0,7.0
83df06fffffffff,2.0,2.0,0.0
83df14fffffffff,4.0,4.0,0.0
83df4dfffffffff,3.0,0.0,0.0
83df8cfffffffff,2.0,2.0,0.0
83e093fffffffff,1.0,0.0,0.0
