cell_id,Pterodroma leucoptera,Pterodroma leucoptera leucoptera,Pterodroma leucoptera caledonica
829e2ffffffffff,2.0,0.0,0.0
829f0ffffffffff,1.0,0.0,0.0
829f47fffffffff,8.0,0.0,1.0
829f57fffffffff,23.0,0.0,13.0
829f67fffffffff,2.0,0.0,0.0
829f77fffffffff,3.0,0.0,0.0
82a16ffffffffff,3.0,0.0,0.0
82b017fffffffff,1.0,0.0,0.0
82b497fffffffff,1.0,0.0,0.0
82b4b7fffffffff,1.0,0.0,0.0
82ba67fffffffff,1.0,0.0,0.0
82ba6ffffffffff,1.0,0.0,0.0
82bb5ffffffffff,9.0,0.0,0.0
82be07fffffffff,1.0,0.0,0.0
82be0ffffffffff,57.0,0.0,0.0
82be1ffffffffff,19.0,0.0,0.0
82be2ffffffffff,8.0,0.0,0.0
82be8ffffffffff,3.0,0.0,0.0
82beaffffffffff,59.0,0.0,0.0
82beb7fffffffff,1.0,0.0,0.0
82bf1ffffffffff,3.0,0.0,0.0
82bf2ffffffffff,4.0,0.0,0.0
82bf47fffffffff,5.0,0.0,0.0
82bf4ffffffffff,3.0,0.0,0.0
82bf5ffffffffff,2.0,0.0,0.0
82bf6ffffffffff,131.0,0.0,0.0
82bf87fffffffff,4.0,0.0,0.0
82bfaffffffffff,7.0,0.0,0.0
