cell_id,Acridotheres fuscus,Acridotheres fuscus mahrattensis,Acridotheres fuscus [fuscus Group]
832c93fffffffff,4.0,0.0,0.0
833c19fffffffff,14.0,0.0,0.0
833c1bfffffffff,5.0,0.0,0.0
833c52fffffffff,16.0,0.0,0.0
833c5afffffffff,5.0,0.0,0.0
833c88fffffffff,4.0,0.0,0.0
833c8afffffffff,2.0,0.0,0.0
833c8dfffffffff,6.0,0.0,0.0
833c8efffffffff,2.0,0.0,0.0
833c92fffffffff,7.0,0.0,0.0
833c9dfffffffff,2.0,0.0,0.0
833ca8fffffffff,2.0,0.0,0.0
833ca9fffffffff,3.0,0.0,0.0
833cc4fffffffff,7.0,0.0,0.0
833cc6fffffffff,7.0,0.0,0.0
833ce1fffffffff,4.0,0.0,0.0
833ce4fffffffff,1.0,0.0,0.0
833ce5fffffffff,5.0,0.0,0.0
833cecfffffffff,31.0,0.0,0.0
833cedfffffffff,2.0,0.0,0.0
833cf0fffffffff,5.0,0.0,0.0
833cf2fffffffff,38.0,0.0,0.0
833cf6fffffffff,2.0,0.0,0.0
833d13fffffffff,1.0,0.0,0.0
833d14fffffffff,14.0,0.0,0.0
833d1efffffffff,2.0,0.0,0.0
833d9bfffffffff,2.0,0.0,0.0
833dadfffffffff,4.0,0.0,0.0
834269fffffffff,3.0,0.0,0.0
8343a0fffffffff,6.0,0.0,0.0
834ba0fffffffff,18.0,0.0,0.0
834ba1fffffffff,17.0,0.0,0.0
834ba2fffffffff,127.0,0.0,0.0
834ba5fffffffff,12.0,0.0,0.0
834bb5fffffffff,3.0,0.0,0.0
836004fffffffff,9.0,0.0,0.0
836006fffffffff,6.0,0.0,0.0
836011fffffffff,2.0,0.0,0.0
836013fffffffff,3.0,0.0,0.0
836014fffffffff,6.0,0.0,0.0
836015fffffffff,17.0,0.0,0.0
83601efffffffff,1.0,0.0,0.0
836022fffffffff,45.0,0.0,0.0
836026fffffffff,76.0,0.0,0.0
836031fffffffff,96.0,0.0,0.0
836032fffffffff,185.0,0.0,0.0
836033fffffffff,468.0,0.0,0.0
836035fffffffff,18.0,0.0,0.0
836036fffffffff,11.0,0.0,0.0
836088fffffffff,2.0,0.0,0.0
83608afffffffff,4.0,0.0,0.0
8360a8fffffffff,10.0,0.0,0.0
8360a9fffffffff,89.0,0.0,0.0
8360acfffffffff,2.0,0.0,0.0
8360adfffffffff,3.0,0.0,0.0
83611bfffffffff,2.0,0.0,0.0
836189fffffffff,38.0,0.0,0.0
83618bfffffffff,5.0,0.0,0.0
83618dfffffffff,10.0,0.0,0.0
83619efffffffff,4.0,0.0,0.0
836432fffffffff,3.0,0.0,0.0
836435fffffffff,3.0,0.0,0.0
83648cfffffffff,1.0,0.0,0.0
83648dfffffffff,2.0,0.0,0.0
836500fffffffff,21.0,0.0,0.0
836501fffffffff,1.0,0.0,0.0
836502fffffffff,18.0,0.0,0.0
836503fffffffff,70.0,0.0,0.0
83650efffffffff,12.0,0.0,0.0
836518fffffffff,134.0,0.0,0.0
836519fffffffff,5.0,0.0,0.0
83651cfffffffff,1.0,0.0,0.0
83651dfffffffff,251.0,0.0,0.0
836523fffffffff,3.0,0.0,0.0
8372a0fffffffff,2.0,0.0,0.0
