cell_id,Pycnonotus barbatus,Pycnonotus barbatus [barbatus Group],Pycnonotus barbatus somaliensis,Pycnonotus barbatus dodsoni,Pycnonotus barbatus [tricolor Group]
823817fffffffff,131.0,13.0,0.0,0.0,0.0
82382ffffffffff,1.0,0.0,0.0,0.0,0.0
823837fffffffff,126.0,14.0,0.0,0.0,0.0
823847fffffffff,3.0,0.0,0.0,0.0,0.0
82385ffffffffff,1.0,0.0,0.0,0.0,0.0
823867fffffffff,54.0,5.0,0.0,0.0,0.0
82386ffffffffff,93.0,0.0,0.0,0.0,0.0
823877fffffffff,16.0,7.0,0.0,0.0,0.0
8238a7fffffffff,13.0,0.0,0.0,0.0,0.0
82391ffffffffff,1082.0,8.0,0.0,0.0,0.0
823987fffffffff,1308.0,253.0,0.0,0.0,0.0
82398ffffffffff,914.0,103.0,0.0,0.0,0.0
823997fffffffff,626.0,66.0,0.0,0.0,0.0
82399ffffffffff,130.0,29.0,0.0,0.0,0.0
8239affffffffff,511.0,95.0,0.0,0.0,0.0
823e47fffffffff,2.0,0.0,0.0,0.0,0.0
823e5ffffffffff,240.0,9.0,0.0,0.0,0.0
823e67fffffffff,213.0,33.0,0.0,0.0,0.0
823e6ffffffffff,2.0,0.0,0.0,0.0,0.0
823e77fffffffff,54.0,4.0,0.0,0.0,0.0
825287fffffffff,31.0,16.0,0.0,0.0,0.0
82528ffffffffff,16.0,0.0,6.0,0.0,0.0
825297fffffffff,19.0,12.0,0.0,0.0,0.0
82529ffffffffff,327.0,80.0,4.0,2.0,17.0
8252b7fffffffff,1.0,1.0,0.0,0.0,0.0
8252cffffffffff,4.0,0.0,0.0,0.0,0.0
8252d7fffffffff,224.0,0.0,115.0,0.0,0.0
8252dffffffffff,7.0,0.0,5.0,0.0,0.0
8253b7fffffffff,1.0,0.0,0.0,0.0,0.0
825407fffffffff,33.0,14.0,0.0,0.0,0.0
82540ffffffffff,5.0,0.0,0.0,0.0,0.0
825417fffffffff,449.0,147.0,0.0,0.0,0.0
82541ffffffffff,529.0,149.0,0.0,0.0,0.0
825447fffffffff,67.0,2.0,0.0,0.0,0.0
82544ffffffffff,2.0,0.0,0.0,0.0,0.0
825457fffffffff,5.0,0.0,0.0,0.0,0.0
8254affffffffff,1290.0,358.0,0.0,0.0,0.0
8254c7fffffffff,41.0,0.0,0.0,0.0,0.0
8254cffffffffff,8.0,0.0,0.0,0.0,0.0
8254e7fffffffff,519.0,151.0,0.0,0.0,0.0
8254effffffffff,56.0,0.0,0.0,0.0,0.0
8254f7fffffffff,676.0,96.0,0.0,0.0,0.0
82580ffffffffff,2.0,0.0,0.0,0.0,0.0
825857fffffffff,14.0,0.0,0.0,0.0,0.0
82585ffffffffff,9.0,1.0,0.0,0.0,0.0
825887fffffffff,25.0,6.0,0.0,0.0,0.0
82588ffffffffff,8.0,4.0,0.0,0.0,0.0
825897fffffffff,283.0,67.0,0.0,0.0,0.0
82589ffffffffff,7.0,2.0,0.0,0.0,0.0
8258a7fffffffff,20.0,8.0,0.0,0.0,0.0
8258b7fffffffff,26.0,10.0,0.0,0.0,0.0
8258c7fffffffff,7.0,0.0,0.0,0.0,0.0
8258cffffffffff,9.0,1.0,0.0,0.0,0.0
8258d7fffffffff,65.0,55.0,0.0,0.0,0.0
8258dffffffffff,45.0,15.0,0.0,0.0,0.0
8258e7fffffffff,224.0,103.0,0.0,0.0,0.0
8258effffffffff,1.0,0.0,0.0,0.0,0.0
8258f7fffffffff,11.0,2.0,0.0,0.0,0.0
825987fffffffff,10.0,0.0,0.0,0.0,0.0
82598ffffffffff,5.0,0.0,0.0,0.0,0.0
825997fffffffff,19.0,0.0,0.0,0.0,0.0
82599ffffffffff,94.0,26.0,0.0,0.0,0.0
826a17fffffffff,2.0,0.0,0.0,0.0,2.0
826a47fffffffff,19.0,0.0,0.0,0.0,0.0
826a4ffffffffff,68.0,0.0,0.0,12.0,0.0
826a57fffffffff,2.0,0.0,0.0,0.0,2.0
826a5ffffffffff,151.0,0.0,0.0,0.0,27.0
826a67fffffffff,11.0,3.0,0.0,0.0,0.0
826a6ffffffffff,40.0,9.0,0.0,0.0,0.0
826a9ffffffffff,19.0,0.0,0.0,0.0,19.0
826ac7fffffffff,2918.0,0.0,0.0,0.0,991.0
826acffffffffff,2724.0,0.0,0.0,0.0,753.0
826adffffffffff,3306.0,0.0,0.0,0.0,1175.0
826ae7fffffffff,6.0,0.0,0.0,0.0,6.0
826aeffffffffff,1635.0,0.0,0.0,0.0,489.0
826af7fffffffff,2.0,0.0,0.0,0.0,0.0
826b17fffffffff,2.0,0.0,0.0,0.0,0.0
826b27fffffffff,2.0,0.0,0.0,0.0,0.0
826b4ffffffffff,2.0,0.0,0.0,0.0,0.0
826b6ffffffffff,17.0,0.0,0.0,0.0,0.0
826bb7fffffffff,3.0,0.0,0.0,0.0,0.0
827507fffffffff,5.0,5.0,0.0,0.0,0.0
82750ffffffffff,1113.0,372.0,0.0,0.0,0.0
827517fffffffff,4.0,0.0,0.0,0.0,0.0
82751ffffffffff,24.0,3.0,0.0,0.0,0.0
827527fffffffff,651.0,193.0,0.0,0.0,0.0
82752ffffffffff,894.0,262.0,0.0,0.0,0.0
827537fffffffff,40.0,0.0,0.0,0.0,0.0
827577fffffffff,344.0,84.0,0.0,0.0,0.0
827587fffffffff,12.0,0.0,0.0,0.0,0.0
8275a7fffffffff,20.0,0.0,0.0,0.0,0.0
8275b7fffffffff,10.0,0.0,0.0,0.0,0.0
827a47fffffffff,2032.0,0.0,0.0,244.0,411.0
827a4ffffffffff,2009.0,0.0,0.0,0.0,452.0
827a57fffffffff,14.0,0.0,0.0,6.0,0.0
827a5ffffffffff,39.0,0.0,0.0,22.0,3.0
827a67fffffffff,1520.0,0.0,0.0,236.0,547.0
827a6ffffffffff,4786.0,0.0,0.0,0.0,1103.0
827a77fffffffff,12.0,0.0,0.0,12.0,0.0
827a9ffffffffff,2.0,0.0,0.0,0.0,0.0
827ac7fffffffff,11.0,0.0,0.0,2.0,4.0
827acffffffffff,1035.0,242.0,0.0,12.0,162.0
827adffffffffff,381.0,57.0,116.0,0.0,15.0
827aeffffffffff,375.0,15.0,2.0,193.0,60.0
827b4ffffffffff,533.0,0.0,0.0,4.0,182.0
827b5ffffffffff,459.0,0.0,0.0,30.0,91.0
827b6ffffffffff,160.0,0.0,0.0,0.0,31.0
82821ffffffffff,11.0,1.0,0.0,0.0,0.0
828287fffffffff,15.0,2.0,0.0,0.0,0.0
82828ffffffffff,309.0,96.0,0.0,0.0,0.0
8282a7fffffffff,44.0,2.0,0.0,0.0,0.0
8282affffffffff,58.0,22.0,0.0,0.0,0.0
8282d7fffffffff,229.0,137.0,0.0,0.0,0.0
8282dffffffffff,4.0,0.0,0.0,0.0,0.0
8282f7fffffffff,87.0,21.0,0.0,0.0,0.0
828307fffffffff,1.0,0.0,0.0,0.0,1.0
828317fffffffff,80.0,0.0,0.0,0.0,46.0
82831ffffffffff,27.0,0.0,0.0,0.0,7.0
828327fffffffff,28.0,0.0,0.0,0.0,17.0
828337fffffffff,57.0,0.0,0.0,0.0,39.0
82838ffffffffff,17.0,0.0,0.0,0.0,3.0
82839ffffffffff,33.0,0.0,0.0,0.0,15.0
8283a7fffffffff,14.0,0.0,0.0,0.0,6.0
8283affffffffff,29.0,0.0,0.0,0.0,12.0
829607fffffffff,200.0,0.0,0.0,0.0,137.0
82960ffffffffff,222.0,0.0,0.0,0.0,98.0
829617fffffffff,107.0,0.0,0.0,0.0,63.0
82961ffffffffff,5.0,0.0,0.0,0.0,0.0
829627fffffffff,743.0,0.0,0.0,0.0,559.0
82962ffffffffff,441.0,0.0,0.0,0.0,351.0
829637fffffffff,231.0,0.0,0.0,0.0,112.0
829647fffffffff,4.0,0.0,0.0,0.0,2.0
82964ffffffffff,2.0,0.0,0.0,0.0,0.0
829657fffffffff,35.0,0.0,0.0,0.0,31.0
82965ffffffffff,1.0,0.0,0.0,0.0,0.0
829667fffffffff,7.0,0.0,0.0,0.0,2.0
82966ffffffffff,3.0,0.0,0.0,0.0,0.0
829677fffffffff,39.0,0.0,0.0,0.0,33.0
829687fffffffff,24.0,0.0,0.0,0.0,8.0
82968ffffffffff,18.0,0.0,0.0,0.0,4.0
829697fffffffff,2758.0,0.0,0.0,0.0,1030.0
82969ffffffffff,121.0,0.0,0.0,0.0,38.0
8296a7fffffffff,216.0,0.0,0.0,0.0,60.0
8296affffffffff,63.0,0.0,0.0,0.0,10.0
8296b7fffffffff,824.0,0.0,0.0,0.0,160.0
8296d7fffffffff,7.0,0.0,0.0,0.0,0.0
8296e7fffffffff,2.0,0.0,0.0,0.0,0.0
829707fffffffff,438.0,0.0,0.0,0.0,308.0
82970ffffffffff,120.0,0.0,0.0,0.0,68.0
829717fffffffff,699.0,0.0,0.0,0.0,342.0
82971ffffffffff,449.0,0.0,0.0,0.0,228.0
829727fffffffff,47.0,0.0,0.0,0.0,30.0
82972ffffffffff,1508.0,0.0,0.0,0.0,862.0
829737fffffffff,72.0,0.0,0.0,0.0,13.0
829747fffffffff,359.0,0.0,0.0,0.0,199.0
82974ffffffffff,1178.0,0.0,0.0,0.0,700.0
829757fffffffff,1403.0,0.0,0.0,0.0,934.0
82975ffffffffff,1085.0,0.0,0.0,0.0,604.0
82976ffffffffff,2.0,0.0,0.0,0.0,2.0
829777fffffffff,53.0,0.0,0.0,0.0,28.0
829787fffffffff,4.0,0.0,0.0,0.0,0.0
82978ffffffffff,152.0,0.0,0.0,0.0,66.0
829797fffffffff,7.0,0.0,0.0,0.0,4.0
82979ffffffffff,12.0,0.0,0.0,0.0,0.0
8297a7fffffffff,4.0,0.0,0.0,0.0,0.0
8297affffffffff,239.0,0.0,0.0,0.0,108.0
8297b7fffffffff,6.0,0.0,0.0,0.0,6.0
82ac97fffffffff,125.0,0.0,0.0,0.0,79.0
82ada7fffffffff,17.0,0.0,0.0,0.0,1.0
82adb7fffffffff,9.0,0.0,0.0,0.0,2.0
82bc0ffffffffff,99.0,0.0,0.0,0.0,9.0
82bc1ffffffffff,179.0,0.0,0.0,0.0,61.0
82bc47fffffffff,4.0,0.0,0.0,0.0,2.0
82bc4ffffffffff,2.0,0.0,0.0,0.0,2.0
82bc57fffffffff,29.0,0.0,0.0,0.0,7.0
82bc77fffffffff,81.0,0.0,0.0,0.0,28.0
82bc8ffffffffff,548.0,0.0,0.0,0.0,323.0
82bc9ffffffffff,79.0,0.0,0.0,0.0,39.0
82bcc7fffffffff,1498.0,0.0,0.0,0.0,695.0
82bccffffffffff,5.0,0.0,0.0,0.0,5.0
82bcd7fffffffff,4703.0,0.0,0.0,0.0,2412.0
82bcdffffffffff,1173.0,0.0,0.0,0.0,518.0
82bce7fffffffff,1846.0,0.0,0.0,0.0,1464.0
82bceffffffffff,5.0,0.0,0.0,0.0,0.0
82bcf7fffffffff,5034.0,0.0,0.0,0.0,2886.0
