cell_id,Sphenopsis melanotis,Sphenopsis melanotis [melanotis Group],Sphenopsis melanotis ochracea,Sphenopsis melanotis piurae/macrophrys
84660ddffffffff,2.0,0.0,0.0,0.0
8466c67ffffffff,4.0,0.0,0.0,0.0
8466d31ffffffff,22.0,0.0,17.0,0.0
8466d37ffffffff,3.0,0.0,1.0,0.0
8466d53ffffffff,2.0,0.0,0.0,0.0
8466de1ffffffff,2.0,2.0,0.0,0.0
8466dedffffffff,3.0,2.0,0.0,0.0
8466e67ffffffff,1.0,1.0,0.0,0.0
8466e6dffffffff,6.0,0.0,0.0,0.0
848f291ffffffff,1.0,0.0,1.0,0.0
848f2bbffffffff,2.0,0.0,1.0,0.0
848f4a5ffffffff,2.0,2.0,0.0,0.0
848f515ffffffff,2.0,0.0,0.0,0.0
848f547ffffffff,1.0,0.0,0.0,0.0
848f54dffffffff,1.0,0.0,0.0,1.0
848f553ffffffff,2.0,0.0,0.0,2.0
