cell_id,Colaptes melanochloros,Colaptes melanochloros melanochloros/nattereri,Colaptes melanochloros [melanolaimus Group]
838133fffffffff,2.0,2.0,0.0
838b20fffffffff,8.0,0.0,8.0
838b22fffffffff,5.0,0.0,4.0
838b25fffffffff,2.0,0.0,2.0
838b2cfffffffff,9.0,0.0,9.0
83a810fffffffff,1.0,0.0,0.0
83a8a8fffffffff,1.0,0.0,0.0
83a92dfffffffff,2.0,0.0,0.0
83a944fffffffff,1.0,0.0,1.0
83a950fffffffff,1.0,0.0,0.0
83a953fffffffff,1.0,1.0,0.0
83a955fffffffff,2.0,0.0,2.0
83a960fffffffff,2.0,0.0,2.0
83a961fffffffff,105.0,0.0,0.0
83a962fffffffff,14.0,5.0,9.0
83a965fffffffff,36.0,0.0,0.0
83a96cfffffffff,28.0,0.0,0.0
83a96efffffffff,1.0,0.0,0.0
83b243fffffffff,1.0,0.0,0.0
83b248fffffffff,29.0,0.0,0.0
83b249fffffffff,106.0,0.0,0.0
83b24bfffffffff,11.0,0.0,0.0
83b24cfffffffff,4.0,0.0,0.0
83b24dfffffffff,1032.0,0.0,0.0
83b251fffffffff,1.0,0.0,1.0
83b261fffffffff,11.0,0.0,0.0
83b268fffffffff,26.0,0.0,0.0
83b269fffffffff,78.0,0.0,0.0
83b26bfffffffff,152.0,0.0,0.0
83b26cfffffffff,4.0,0.0,0.0
83b26dfffffffff,84.0,0.0,0.0
83b270fffffffff,2.0,0.0,0.0
83b32dfffffffff,2.0,0.0,2.0
83b35afffffffff,2.0,0.0,2.0
83b35dfffffffff,1.0,0.0,0.0
83b35efffffffff,2.0,0.0,2.0
83c21bfffffffff,1.0,0.0,1.0
83c2c5fffffffff,6.0,1.0,5.0
83c2c9fffffffff,167.0,0.0,0.0
83c2cbfffffffff,1.0,0.0,0.0
83c2cdfffffffff,200.0,0.0,0.0
83c2cefffffffff,3.0,0.0,3.0
83c2d9fffffffff,10.0,0.0,10.0
83c2e3fffffffff,8.0,0.0,2.0
83c2e9fffffffff,38.0,0.0,0.0
83c2ebfffffffff,22.0,0.0,0.0
83c2f2fffffffff,1.0,0.0,0.0
83c34bfffffffff,7.0,0.0,0.0
83ce93fffffffff,5.0,0.0,0.0
