cell_id,Campocolinus coqui,Campocolinus coqui [hubbardi Group],Campocolinus coqui coqui
826ac7fffffffff,4.0,0.0,0.0
826acffffffffff,40.0,0.0,2.0
826adffffffffff,14.0,0.0,0.0
826aeffffffffff,1.0,0.0,0.0
827a6ffffffffff,1136.0,0.0,0.0
827aeffffffffff,16.0,0.0,0.0
827b4ffffffffff,1.0,0.0,0.0
827b5ffffffffff,13.0,0.0,0.0
827b6ffffffffff,2.0,0.0,0.0
8282a7fffffffff,2.0,0.0,0.0
828327fffffffff,1.0,0.0,0.0
829607fffffffff,15.0,0.0,3.0
82960ffffffffff,2.0,0.0,0.0
829617fffffffff,6.0,0.0,0.0
829627fffffffff,4.0,0.0,0.0
82962ffffffffff,17.0,0.0,2.0
829637fffffffff,6.0,0.0,0.0
829677fffffffff,4.0,0.0,0.0
829697fffffffff,343.0,7.0,0.0
82969ffffffffff,21.0,0.0,0.0
8296a7fffffffff,2.0,0.0,0.0
8296affffffffff,1.0,0.0,0.0
8296b7fffffffff,9.0,0.0,0.0
82970ffffffffff,1.0,0.0,0.0
82971ffffffffff,2.0,0.0,0.0
829727fffffffff,1.0,0.0,0.0
82972ffffffffff,8.0,0.0,1.0
829747fffffffff,7.0,0.0,0.0
82974ffffffffff,16.0,0.0,3.0
829757fffffffff,36.0,0.0,7.0
82975ffffffffff,11.0,0.0,0.0
829777fffffffff,2.0,0.0,0.0
829787fffffffff,2.0,0.0,0.0
82978ffffffffff,2.0,0.0,0.0
82979ffffffffff,3.0,0.0,0.0
82ac97fffffffff,1.0,0.0,0.0
82bc8ffffffffff,5.0,0.0,2.0
82bc9ffffffffff,1.0,0.0,0.0
82bcc7fffffffff,10.0,0.0,2.0
82bcd7fffffffff,161.0,0.0,16.0
82bcdffffffffff,155.0,0.0,28.0
82bcf7fffffffff,16.0,0.0,8.0
