cell_id,Calendulauda erythrochlamys,Calendulauda erythrochlamys barlowi,Calendulauda erythrochlamys patae,Calendulauda erythrochlamys cavei,Calendulauda erythrochlamys erythrochlamys
82ac17fffffffff,2.0,0.0,0.0,0.0,2.0
82ad8ffffffffff,4.0,1.0,0.0,0.0,2.0
82adaffffffffff,18.0,0.0,9.0,0.0,0.0
