cell_id,Tangara parzudakii,Tangara parzudakii parzudakii/urubambae,Tangara parzudakii lunigera
836608fffffffff,174.0,3.0,0.0
83660afffffffff,8.0,0.0,0.0
83660bfffffffff,19.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0
83661bfffffffff,616.0,0.0,85.0
836656fffffffff,3.0,0.0,0.0
8366c0fffffffff,494.0,0.0,0.0
8366c2fffffffff,379.0,21.0,0.0
8366c4fffffffff,125.0,0.0,0.0
8366c6fffffffff,494.0,23.0,0.0
8366d0fffffffff,581.0,0.0,60.0
8366d1fffffffff,21.0,0.0,0.0
8366d2fffffffff,4.0,0.0,0.0
8366d3fffffffff,5988.0,0.0,585.0
8366dafffffffff,18.0,1.0,0.0
8366defffffffff,1260.0,110.0,0.0
8366e0fffffffff,633.0,8.0,0.0
8366e3fffffffff,13.0,0.0,0.0
8366e4fffffffff,138.0,3.0,0.0
8366e5fffffffff,93.0,0.0,0.0
8366e6fffffffff,4.0,0.0,0.0
8366f1fffffffff,20.0,0.0,1.0
8366f3fffffffff,4.0,0.0,0.0
8366f5fffffffff,43.0,0.0,1.0
838b61fffffffff,73.0,0.0,0.0
838b6cfffffffff,115.0,0.0,0.0
838e61fffffffff,2.0,0.0,0.0
838e64fffffffff,235.0,0.0,0.0
838e65fffffffff,53.0,0.0,0.0
838e6cfffffffff,10.0,0.0,0.0
838e6dfffffffff,2.0,0.0,0.0
838f0dfffffffff,111.0,0.0,0.0
838f29fffffffff,21.0,0.0,0.0
838f2dfffffffff,73.0,4.0,0.0
838f42fffffffff,63.0,0.0,0.0
838f43fffffffff,2.0,0.0,0.0
838f46fffffffff,409.0,4.0,0.0
838f4afffffffff,95.0,0.0,0.0
838f54fffffffff,81.0,0.0,0.0
838f55fffffffff,58.0,0.0,0.0
838f59fffffffff,9.0,0.0,0.0
838f5cfffffffff,7.0,0.0,0.0
838f5dfffffffff,12.0,0.0,0.0
838f70fffffffff,51.0,8.0,0.0
838f72fffffffff,135.0,10.0,0.0
838f73fffffffff,387.0,25.0,0.0
838f74fffffffff,15.0,0.0,0.0
838f76fffffffff,125.0,2.0,0.0
