cell_id,Periparus ater,Periparus ater britannicus/hibernicus,Periparus ater [ater Group],Periparus ater ledouci/atlas,Periparus ater cypriotes,Periparus ater [phaeonotus Group],Periparus ater melanolophus,Periparus ater [aemodius Group],Periparus ater ptilosus/kuatunensis
830806fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830810fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830811fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830812fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830814fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830815fffffffff,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83081efffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830829fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830832fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830833fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830836fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830880fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830882fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830883fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830884fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830885fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830886fffffffff,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830888fffffffff,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83088afffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83088bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83088efffffffff,15.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
830890fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830893fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830895fffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830896fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830898fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830899fffffffff,128.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
83089afffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83089bfffffffff,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83089dfffffffff,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83089efffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
