cell_id,Atlapetes albinucha,Atlapetes albinucha albinucha,Atlapetes albinucha [gutturalis Group]
824527fffffffff,1206.0,0.0,9.0
824537fffffffff,107.0,0.0,0.0
824997fffffffff,340.0,67.0,0.0
82660ffffffffff,101.0,0.0,0.0
82661ffffffffff,5977.0,0.0,447.0
8266a7fffffffff,275.0,0.0,29.0
8266b7fffffffff,5174.0,0.0,158.0
8266c7fffffffff,858.0,0.0,15.0
8266d7fffffffff,147.0,0.0,4.0
8266e7fffffffff,4686.0,0.0,281.0
8266f7fffffffff,2720.0,0.0,177.0
826797fffffffff,2.0,0.0,0.0
82679ffffffffff,29.0,0.0,0.0
826d07fffffffff,32.0,0.0,4.0
826d27fffffffff,434.0,103.0,3.0
826d2ffffffffff,5130.0,3.0,2097.0
826d37fffffffff,147.0,5.0,0.0
826d67fffffffff,2334.0,0.0,165.0
826d6ffffffffff,2498.0,0.0,0.0
826d77fffffffff,169.0,0.0,0.0
