cell_id,Hemitriccus minor,Hemitriccus minor pallens,Hemitriccus minor minor/snethlageae,Hemitriccus minor [undescribed form]
828067fffffffff,100.0,0.0,0.0,0.0
828147fffffffff,59.0,0.0,0.0,0.0
82814ffffffffff,516.0,0.0,0.0,0.0
82815ffffffffff,96.0,0.0,0.0,0.0
828a07fffffffff,130.0,4.0,2.0,0.0
828a17fffffffff,103.0,1.0,1.0,0.0
828a1ffffffffff,9.0,0.0,0.0,0.0
828a27fffffffff,51.0,0.0,0.0,0.0
828a2ffffffffff,6.0,0.0,0.0,0.0
828a37fffffffff,25.0,0.0,0.0,0.0
828a47fffffffff,14.0,0.0,0.0,0.0
828a87fffffffff,46.0,1.0,0.0,0.0
828a8ffffffffff,2.0,0.0,0.0,0.0
828a97fffffffff,16.0,0.0,0.0,0.0
828a9ffffffffff,4.0,0.0,0.0,0.0
828aa7fffffffff,1.0,0.0,0.0,0.0
828aaffffffffff,60.0,0.0,0.0,0.0
828ac7fffffffff,2.0,1.0,0.0,0.0
828adffffffffff,6.0,0.0,0.0,0.0
828ae7fffffffff,1.0,0.0,0.0,0.0
828af7fffffffff,184.0,32.0,0.0,0.0
828b0ffffffffff,12.0,0.0,0.0,0.0
828b17fffffffff,1.0,0.0,0.0,0.0
828b57fffffffff,13.0,0.0,0.0,0.0
828b5ffffffffff,4.0,0.0,0.0,0.0
828b77fffffffff,1.0,0.0,0.0,0.0
828b87fffffffff,27.0,0.0,0.0,0.0
828b8ffffffffff,2.0,0.0,0.0,0.0
828b97fffffffff,1.0,0.0,0.0,0.0
828b9ffffffffff,75.0,0.0,0.0,0.0
828ba7fffffffff,14.0,0.0,0.0,0.0
828baffffffffff,3.0,0.0,0.0,0.0
82a85ffffffffff,1.0,0.0,0.0,0.0
82a8cffffffffff,14.0,0.0,0.0,0.0
