cell_id,Caracara plancus,Caracara plancus cheriway,Caracara plancus plancus
8326c8fffffffff,85.0,46.0,0.0
8326c9fffffffff,273.0,241.0,0.0
8326cafffffffff,39.0,25.0,0.0
8326cbfffffffff,803.0,563.0,0.0
8326cdfffffffff,59.0,57.0,0.0
8326cefffffffff,3.0,2.0,0.0
8326d9fffffffff,20.0,10.0,0.0
8326dbfffffffff,4.0,2.0,0.0
8326ddfffffffff,19.0,10.0,0.0
834412fffffffff,48.0,38.0,0.0
834413fffffffff,1643.0,1207.0,0.0
83441afffffffff,7.0,7.0,0.0
83441efffffffff,1024.0,798.0,0.0
834424fffffffff,43.0,23.0,0.0
834430fffffffff,47.0,38.0,0.0
834432fffffffff,8.0,7.0,0.0
834436fffffffff,98.0,66.0,0.0
834444fffffffff,41.0,33.0,0.0
834445fffffffff,2717.0,1927.0,0.0
83444dfffffffff,8.0,2.0,0.0
834463fffffffff,407.0,327.0,0.0
834468fffffffff,14.0,14.0,0.0
834469fffffffff,371.0,296.0,0.0
83446bfffffffff,4.0,0.0,0.0
83446cfffffffff,10074.0,7129.0,0.0
83446dfffffffff,5199.0,3902.0,0.0
83446efffffffff,2567.0,1818.0,0.0
8344a8fffffffff,2427.0,1908.0,0.0
8344a9fffffffff,1688.0,1297.0,0.0
8344abfffffffff,52.0,44.0,0.0
8344acfffffffff,2370.0,1886.0,0.0
8344adfffffffff,1595.0,1287.0,0.0
8344aefffffffff,51.0,44.0,0.0
8344f6fffffffff,2.0,2.0,0.0
834501fffffffff,4.0,3.0,0.0
834505fffffffff,9.0,6.0,0.0
834508fffffffff,10.0,8.0,0.0
834509fffffffff,409.0,301.0,0.0
83450afffffffff,14.0,12.0,0.0
83450bfffffffff,1202.0,857.0,0.0
83450dfffffffff,23.0,19.0,0.0
83450efffffffff,1.0,0.0,0.0
834520fffffffff,513.0,321.0,0.0
834521fffffffff,184.0,118.0,0.0
834522fffffffff,756.0,543.0,0.0
834523fffffffff,109.0,45.0,0.0
834524fffffffff,608.0,394.0,0.0
834525fffffffff,302.0,231.0,0.0
834526fffffffff,626.0,513.0,0.0
834528fffffffff,2.0,2.0,0.0
834529fffffffff,40.0,22.0,0.0
83452afffffffff,249.0,205.0,0.0
83452bfffffffff,7.0,7.0,0.0
83452cfffffffff,127.0,83.0,0.0
83452dfffffffff,5.0,3.0,0.0
83452efffffffff,574.0,373.0,0.0
834530fffffffff,49.0,43.0,0.0
834531fffffffff,248.0,165.0,0.0
834532fffffffff,92.0,49.0,0.0
834533fffffffff,11.0,9.0,0.0
834534fffffffff,91.0,85.0,0.0
834535fffffffff,323.0,294.0,0.0
834536fffffffff,66.0,61.0,0.0
834554fffffffff,2.0,2.0,0.0
