cell_id,Icterus pustulatus,Icterus pustulatus [pustulatus Group],Icterus pustulatus [sclateri Group],Icterus pustulatus graysonii
8326aafffffffff,4.0,0.0,0.0,0.0
8326cbfffffffff,2.0,0.0,0.0,0.0
8328aefffffffff,6.0,0.0,0.0,0.0
83291afffffffff,1.0,0.0,0.0,0.0
832984fffffffff,1.0,0.0,0.0,0.0
832985fffffffff,4.0,0.0,0.0,0.0
832995fffffffff,13.0,0.0,0.0,0.0
8329a4fffffffff,2.0,0.0,0.0,0.0
8329a5fffffffff,13.0,0.0,0.0,0.0
8329aafffffffff,17.0,0.0,0.0,0.0
8329adfffffffff,123.0,2.0,0.0,0.0
8329b0fffffffff,4.0,0.0,0.0,0.0
8329b1fffffffff,1.0,0.0,0.0,0.0
8329b5fffffffff,3.0,0.0,0.0,0.0
8329b6fffffffff,44.0,5.0,0.0,0.0
83446cfffffffff,12.0,0.0,0.0,0.0
83450afffffffff,1.0,0.0,0.0,0.0
834525fffffffff,11.0,0.0,8.0,0.0
834526fffffffff,2.0,0.0,0.0,0.0
83480afffffffff,5.0,4.0,0.0,0.0
83480dfffffffff,3.0,0.0,0.0,0.0
834823fffffffff,2.0,0.0,0.0,0.0
83482afffffffff,2.0,0.0,0.0,0.0
834830fffffffff,5.0,0.0,0.0,3.0
834832fffffffff,2.0,2.0,0.0,0.0
834833fffffffff,8.0,8.0,0.0,0.0
834836fffffffff,8.0,7.0,0.0,0.0
83485afffffffff,10.0,0.0,0.0,0.0
83485bfffffffff,79.0,0.0,0.0,0.0
83488dfffffffff,24.0,0.0,0.0,0.0
8348c5fffffffff,169.0,0.0,0.0,0.0
8348d4fffffffff,22.0,0.0,0.0,0.0
8348d8fffffffff,1.0,0.0,0.0,0.0
8348e4fffffffff,2.0,2.0,0.0,0.0
8348e8fffffffff,118.0,0.0,0.0,0.0
8348eafffffffff,16.0,0.0,0.0,0.0
8348ebfffffffff,102.0,0.0,0.0,0.0
8348ecfffffffff,50.0,8.0,0.0,0.0
834980fffffffff,4.0,4.0,0.0,0.0
834982fffffffff,5.0,0.0,0.0,0.0
834983fffffffff,30.0,0.0,0.0,0.0
834994fffffffff,2.0,0.0,0.0,0.0
8349a8fffffffff,6.0,6.0,0.0,0.0
8349a9fffffffff,1.0,0.0,0.0,0.0
8349abfffffffff,1.0,0.0,0.0,0.0
8349b3fffffffff,26.0,25.0,0.0,0.0
8349b6fffffffff,5.0,5.0,0.0,0.0
836d04fffffffff,8.0,7.0,1.0,0.0
836d06fffffffff,5.0,5.0,0.0,0.0
836d14fffffffff,2.0,2.0,0.0,0.0
836d15fffffffff,75.0,58.0,16.0,0.0
836d23fffffffff,11.0,0.0,0.0,0.0
836d29fffffffff,25.0,0.0,0.0,0.0
836d2afffffffff,9.0,0.0,0.0,0.0
836d2bfffffffff,5.0,0.0,0.0,0.0
836d2dfffffffff,10.0,0.0,0.0,0.0
836d2efffffffff,9.0,0.0,0.0,0.0
836d31fffffffff,47.0,45.0,2.0,0.0
836d32fffffffff,12.0,12.0,0.0,0.0
836d33fffffffff,26.0,21.0,5.0,0.0
836d66fffffffff,3.0,0.0,0.0,0.0
836d68fffffffff,7.0,0.0,1.0,0.0
836d69fffffffff,2.0,0.0,0.0,0.0
836d76fffffffff,2.0,0.0,0.0,0.0
