cell_id,Thalassarche cauta,Thalassarche cauta cauta,Thalassarche cauta steadi
83a726fffffffff,29.0,0.0,0.0
83ad34fffffffff,215.0,0.0,14.0
83ad36fffffffff,114.0,0.0,2.0
83b914fffffffff,1.0,0.0,0.0
83b915fffffffff,2.0,1.0,0.0
83b94bfffffffff,3.0,0.0,0.0
83b959fffffffff,4.0,0.0,0.0
83ba24fffffffff,2.0,0.0,0.0
83ba25fffffffff,9.0,0.0,0.0
83bb0afffffffff,30.0,0.0,0.0
83bb0cfffffffff,2.0,0.0,0.0
83bb0efffffffff,3.0,0.0,0.0
83bb19fffffffff,2.0,0.0,0.0
83bb28fffffffff,2.0,0.0,0.0
83bb29fffffffff,579.0,0.0,87.0
83bb2bfffffffff,4.0,0.0,0.0
83bb2dfffffffff,762.0,0.0,117.0
83bb36fffffffff,26.0,0.0,0.0
83bb50fffffffff,5.0,0.0,0.0
83bb52fffffffff,6.0,0.0,0.0
83bb53fffffffff,360.0,0.0,0.0
83bb54fffffffff,13.0,0.0,0.0
83bb56fffffffff,39.0,0.0,0.0
83bb58fffffffff,10.0,0.0,0.0
83bb59fffffffff,13.0,0.0,0.0
83bb5efffffffff,7.0,0.0,0.0
83bb65fffffffff,2.0,0.0,0.0
83bb70fffffffff,1.0,0.0,0.0
83bb72fffffffff,1.0,0.0,0.0
83bb74fffffffff,21.0,0.0,0.0
83bb76fffffffff,2.0,0.0,0.0
83bc02fffffffff,3.0,0.0,0.0
83bc1bfffffffff,4.0,0.0,0.0
83bc44fffffffff,2.0,0.0,0.0
83bc65fffffffff,1.0,0.0,0.0
83bc68fffffffff,2.0,0.0,0.0
83bc69fffffffff,51.0,0.0,0.0
83bc6dfffffffff,7.0,0.0,0.0
83bc6efffffffff,1.0,0.0,0.0
83bc71fffffffff,1.0,0.0,0.0
83bcf6fffffffff,1.0,0.0,0.0
83bd01fffffffff,2.0,0.0,0.0
83bd25fffffffff,2.0,0.0,0.0
83bd43fffffffff,1.0,1.0,0.0
83bd48fffffffff,3.0,0.0,0.0
83bd4bfffffffff,5.0,0.0,0.0
83bd4efffffffff,5.0,0.0,0.0
83bd62fffffffff,3.0,0.0,0.0
83bd75fffffffff,2.0,0.0,0.0
83be08fffffffff,25.0,0.0,0.0
83be0cfffffffff,281.0,0.0,0.0
83be0dfffffffff,5.0,0.0,0.0
83be0efffffffff,369.0,0.0,0.0
83be18fffffffff,2.0,0.0,0.0
83be1afffffffff,23.0,0.0,0.0
83be1dfffffffff,28.0,0.0,0.0
83be29fffffffff,388.0,0.0,0.0
83be2bfffffffff,7.0,0.0,0.0
