cell_id,Limnodromus griseus,Limnodromus griseus griseus,Limnodromus griseus hendersoni,Limnodromus griseus caurinus
84075d1ffffffff,1.0,1.0,0.0,0.0
840c015ffffffff,2.0,0.0,0.0,0.0
840c455ffffffff,3.0,0.0,0.0,0.0
840c54bffffffff,5.0,0.0,0.0,0.0
840c555ffffffff,21.0,0.0,0.0,0.0
840c5a5ffffffff,6.0,0.0,0.0,0.0
840c621ffffffff,3.0,0.0,0.0,0.0
840c6adffffffff,7.0,0.0,0.0,1.0
840c733ffffffff,41.0,0.0,0.0,17.0
840c735ffffffff,9.0,0.0,0.0,0.0
840c759ffffffff,2.0,0.0,0.0,0.0
840cad3ffffffff,1.0,0.0,0.0,0.0
840cd8dffffffff,7.0,0.0,0.0,0.0
840cdebffffffff,1.0,0.0,0.0,0.0
840ce3dffffffff,2.0,0.0,0.0,0.0
840ceadffffffff,2.0,0.0,0.0,0.0
840cee5ffffffff,35.0,0.0,0.0,0.0
840ceedffffffff,4.0,0.0,0.0,0.0
840cf4bffffffff,1.0,0.0,0.0,0.0
840e45bffffffff,1.0,0.0,0.0,0.0
840e497ffffffff,5.0,0.0,0.0,0.0
840e4d3ffffffff,1.0,0.0,0.0,0.0
840e4dbffffffff,2.0,0.0,0.0,0.0
840e6adffffffff,2.0,0.0,0.0,0.0
840e6e9ffffffff,2.0,0.0,0.0,0.0
840e805ffffffff,2.0,0.0,0.0,0.0
840ec19ffffffff,24.0,5.0,0.0,0.0
840ec51ffffffff,12.0,0.0,0.0,0.0
840ecbdffffffff,2.0,0.0,0.0,0.0
840ecc9ffffffff,4.0,0.0,0.0,0.0
840ee15ffffffff,3.0,0.0,0.0,0.0
840eea7ffffffff,8.0,0.0,0.0,0.0
840eeabffffffff,4.0,0.0,0.0,0.0
840eebdffffffff,1.0,0.0,1.0,0.0
840ef25ffffffff,1.0,0.0,0.0,0.0
8412535ffffffff,2.0,0.0,0.0,0.0
8412891ffffffff,2.0,0.0,0.0,0.0
841289bffffffff,2.0,0.0,0.0,0.0
84128d3ffffffff,6.0,0.0,0.0,0.0
8412b03ffffffff,3.0,0.0,0.0,0.0
8412c11ffffffff,2.0,0.0,0.0,2.0
8412c5bffffffff,2.0,0.0,0.0,0.0
8412cc1ffffffff,3.0,0.0,0.0,0.0
8412cc9ffffffff,6.0,0.0,0.0,0.0
8412cd9ffffffff,5.0,0.0,0.0,0.0
8412d17ffffffff,8.0,0.0,0.0,0.0
8412d19ffffffff,15.0,0.0,0.0,0.0
8412d29ffffffff,1.0,0.0,0.0,0.0
8412db5ffffffff,1.0,0.0,0.0,0.0
8412db7ffffffff,2.0,0.0,0.0,0.0
8412dd5ffffffff,1.0,0.0,0.0,0.0
8412ea3ffffffff,2.0,0.0,0.0,0.0
8412eb9ffffffff,4.0,0.0,0.0,0.0
8412ec1ffffffff,2.0,0.0,0.0,0.0
8412ec3ffffffff,2.0,0.0,0.0,0.0
8412f29ffffffff,1.0,0.0,0.0,0.0
8412f6dffffffff,5.0,0.0,0.0,0.0
8413069ffffffff,2.0,0.0,2.0,0.0
8413829ffffffff,113.0,0.0,0.0,0.0
841382dffffffff,14.0,0.0,0.0,0.0
8413839ffffffff,2.0,0.0,0.0,0.0
841383dffffffff,9.0,0.0,0.0,0.0
8413861ffffffff,55.0,0.0,0.0,0.0
8413865ffffffff,6.0,0.0,0.0,0.0
8413867ffffffff,13.0,0.0,0.0,0.0
84138c7ffffffff,2.0,0.0,0.0,0.0
8413955ffffffff,3.0,0.0,0.0,0.0
8413ac5ffffffff,2.0,0.0,0.0,0.0
8413b23ffffffff,2.0,0.0,0.0,0.0
