cell_id,Picumnus cirratus,Picumnus cirratus macconnelli/confusus,Picumnus cirratus [cirratus Group]
835f29fffffffff,5.0,0.0,0.0
835f2dfffffffff,16.0,0.0,0.0
838a9efffffffff,1.0,1.0,0.0
83a81efffffffff,1.0,0.0,0.0
83a891fffffffff,1.0,0.0,0.0
83a895fffffffff,2.0,0.0,2.0
83a946fffffffff,3.0,0.0,0.0
83a961fffffffff,54.0,0.0,0.0
83a962fffffffff,1.0,0.0,1.0
83a964fffffffff,21.0,0.0,0.0
83a965fffffffff,16.0,0.0,0.0
83a96cfffffffff,16.0,0.0,0.0
83a96efffffffff,7.0,0.0,0.0
83b241fffffffff,1.0,0.0,1.0
83b248fffffffff,4.0,0.0,0.0
83b249fffffffff,44.0,0.0,0.0
83b24dfffffffff,354.0,0.0,0.0
83b25efffffffff,3.0,0.0,0.0
83b261fffffffff,4.0,0.0,0.0
83b268fffffffff,16.0,0.0,0.0
83b269fffffffff,16.0,0.0,0.0
83b26bfffffffff,57.0,0.0,0.0
83b26cfffffffff,3.0,0.0,0.0
83b26dfffffffff,13.0,0.0,0.0
83b270fffffffff,3.0,2.0,0.0
83b274fffffffff,2.0,0.0,2.0
83b35efffffffff,2.0,0.0,2.0
83c2c1fffffffff,24.0,0.0,0.0
83c2c3fffffffff,4.0,0.0,0.0
83c2c9fffffffff,25.0,0.0,0.0
83c2cafffffffff,7.0,0.0,0.0
83c2cbfffffffff,2.0,0.0,0.0
83c2ccfffffffff,1.0,0.0,0.0
83c2cdfffffffff,59.0,0.0,0.0
83c2cefffffffff,2.0,0.0,0.0
83c2d9fffffffff,42.0,0.0,1.0
83c2e2fffffffff,1.0,0.0,0.0
83c2e3fffffffff,25.0,0.0,0.0
83c2ebfffffffff,6.0,0.0,0.0
