cell_id,Cercomacroides tyrannina,Cercomacroides tyrannina tyrannina/crepera,Cercomacroides tyrannina saturatior/vicina
844505bffffffff,29.0,0.0,0.0
8445203ffffffff,2.0,0.0,0.0
8445205ffffffff,5.0,0.0,0.0
8445207ffffffff,4.0,0.0,0.0
8445209ffffffff,7.0,0.0,0.0
844520bffffffff,9.0,0.0,0.0
844520dffffffff,18.0,0.0,0.0
8445211ffffffff,13.0,0.0,0.0
8445213ffffffff,7.0,0.0,0.0
8445215ffffffff,708.0,2.0,0.0
8445217ffffffff,357.0,0.0,0.0
8445219ffffffff,4.0,0.0,0.0
844521dffffffff,10.0,0.0,0.0
8445221ffffffff,93.0,0.0,0.0
8445225ffffffff,142.0,0.0,0.0
844522dffffffff,4.0,0.0,0.0
8445233ffffffff,876.0,11.0,0.0
844523bffffffff,92.0,0.0,0.0
8445243ffffffff,1.0,0.0,0.0
8445257ffffffff,197.0,0.0,0.0
8445263ffffffff,174.0,0.0,0.0
8445267ffffffff,10.0,0.0,0.0
844526bffffffff,42.0,0.0,0.0
8445285ffffffff,45.0,0.0,0.0
8445287ffffffff,3.0,0.0,0.0
8445289ffffffff,79.0,0.0,0.0
844528dffffffff,7.0,0.0,0.0
84452a9ffffffff,18.0,0.0,0.0
84452adffffffff,73.0,4.0,0.0
84452bdffffffff,3.0,0.0,0.0
84452c1ffffffff,8.0,1.0,0.0
84452c3ffffffff,150.0,0.0,0.0
84452c7ffffffff,32.0,0.0,0.0
84452c9ffffffff,58.0,1.0,0.0
84452cbffffffff,9.0,2.0,0.0
84452d7ffffffff,2.0,0.0,0.0
84452d9ffffffff,297.0,0.0,0.0
84452dbffffffff,17.0,0.0,0.0
84452ddffffffff,4.0,0.0,0.0
84452e1ffffffff,1975.0,39.0,0.0
84452e3ffffffff,165.0,3.0,0.0
84452e5ffffffff,1384.0,14.0,0.0
84452e7ffffffff,66.0,0.0,0.0
84452e9ffffffff,86.0,5.0,0.0
84452ebffffffff,28.0,0.0,0.0
84452edffffffff,183.0,3.0,0.0
8445305ffffffff,13.0,0.0,0.0
8445309ffffffff,24.0,0.0,0.0
8445319ffffffff,2.0,0.0,0.0
8445321ffffffff,31.0,0.0,0.0
8445329ffffffff,2.0,0.0,0.0
844532bffffffff,111.0,0.0,0.0
8445341ffffffff,3.0,0.0,0.0
8445343ffffffff,57.0,0.0,0.0
8445345ffffffff,2.0,0.0,0.0
8445349ffffffff,6.0,0.0,0.0
844534dffffffff,11.0,0.0,0.0
8445351ffffffff,51.0,0.0,0.0
8445353ffffffff,1.0,0.0,0.0
8445355ffffffff,7.0,0.0,0.0
844535bffffffff,1.0,0.0,0.0
8445363ffffffff,47.0,0.0,0.0
8445365ffffffff,64.0,0.0,0.0
8445367ffffffff,42.0,0.0,0.0
844536bffffffff,3.0,0.0,0.0
845f00bffffffff,6.0,0.0,0.0
845f00dffffffff,2.0,0.0,0.0
845f011ffffffff,6.0,0.0,0.0
845f013ffffffff,1.0,0.0,0.0
845f017ffffffff,3.0,0.0,0.0
845f01bffffffff,4.0,0.0,0.0
845f025ffffffff,4.0,0.0,0.0
845f02bffffffff,2.0,0.0,0.0
845f031ffffffff,1.0,0.0,0.0
845f035ffffffff,95.0,0.0,0.0
845f037ffffffff,2.0,0.0,0.0
845f03dffffffff,66.0,0.0,0.0
845f08bffffffff,2.0,0.0,0.0
845f091ffffffff,1.0,0.0,0.0
845f095ffffffff,5.0,0.0,0.0
845f0d7ffffffff,7.0,0.0,0.0
845f107ffffffff,4.0,0.0,0.0
845f129ffffffff,2.0,0.0,0.0
845f12bffffffff,2.0,0.0,0.0
845f143ffffffff,18.0,0.0,0.0
845f1cbffffffff,14.0,0.0,0.0
845f291ffffffff,2.0,0.0,0.0
845f295ffffffff,29.0,0.0,0.0
845f299ffffffff,3.0,0.0,0.0
845f29dffffffff,25.0,0.0,0.0
845f2b1ffffffff,45.0,0.0,0.0
845f2b3ffffffff,222.0,0.0,0.0
845f2bbffffffff,206.0,0.0,0.0
845f407ffffffff,9.0,0.0,0.0
845f42bffffffff,42.0,0.0,0.0
845f445ffffffff,1.0,0.0,0.0
845f46bffffffff,2.0,0.0,0.0
845f4e5ffffffff,1.0,0.0,0.0
845f501ffffffff,4.0,0.0,0.0
845f50bffffffff,10.0,0.0,0.0
845f549ffffffff,21.0,0.0,0.0
845f56bffffffff,3.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f683ffffffff,16.0,0.0,0.0
845f689ffffffff,6.0,0.0,0.0
845f68bffffffff,22.0,0.0,0.0
845f711ffffffff,1.0,0.0,0.0
845f713ffffffff,18.0,0.0,0.0
845f71bffffffff,2.0,0.0,0.0
845f759ffffffff,45.0,0.0,0.0
845f75dffffffff,1.0,0.0,0.0
8466081ffffffff,1.0,0.0,0.0
8466089ffffffff,8.0,0.0,0.0
846608dffffffff,40.0,0.0,0.0
8466097ffffffff,4.0,0.0,0.0
8466099ffffffff,8.0,0.0,0.0
84660a7ffffffff,5.0,0.0,0.0
84660b3ffffffff,9.0,0.0,0.0
84660bbffffffff,1.0,0.0,0.0
84660c1ffffffff,1.0,0.0,0.0
84660c7ffffffff,29.0,0.0,0.0
84660cbffffffff,9.0,0.0,0.0
84660d1ffffffff,13.0,0.0,0.0
84660d3ffffffff,2.0,0.0,0.0
84660d9ffffffff,4.0,0.0,0.0
84660ddffffffff,4.0,0.0,0.0
8466105ffffffff,8.0,0.0,0.0
8466107ffffffff,88.0,0.0,0.0
8466117ffffffff,24.0,0.0,0.0
8466129ffffffff,5.0,0.0,0.0
8466131ffffffff,100.0,0.0,0.0
8466139ffffffff,409.0,0.0,0.0
846613bffffffff,16.0,0.0,0.0
846613dffffffff,25.0,0.0,0.0
8466163ffffffff,42.0,0.0,0.0
8466165ffffffff,30.0,0.0,0.0
8466167ffffffff,71.0,0.0,0.0
8466181ffffffff,3.0,0.0,0.0
8466183ffffffff,2.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0
846618dffffffff,1.0,0.0,0.0
8466191ffffffff,73.0,0.0,0.0
8466193ffffffff,90.0,0.0,0.0
8466197ffffffff,25.0,0.0,0.0
8466199ffffffff,50.0,0.0,0.0
846619bffffffff,102.0,0.0,0.0
84661a3ffffffff,3.0,0.0,0.0
84661a5ffffffff,43.0,0.0,0.0
84661a7ffffffff,9.0,0.0,0.0
84661adffffffff,10.0,0.0,0.0
84661b1ffffffff,14.0,0.0,0.0
84661bdffffffff,8.0,0.0,0.0
84661c3ffffffff,17.0,0.0,0.0
84661c9ffffffff,3.0,0.0,0.0
84661cdffffffff,11.0,0.0,0.0
84661d1ffffffff,41.0,0.0,0.0
84661d5ffffffff,2.0,0.0,0.0
84661ddffffffff,4.0,0.0,0.0
84661ebffffffff,7.0,0.0,0.0
8466293ffffffff,2.0,0.0,0.0
84662b7ffffffff,8.0,0.0,0.0
84662d3ffffffff,10.0,0.0,0.0
84662e9ffffffff,8.0,0.0,0.0
8466415ffffffff,169.0,0.0,0.0
846641dffffffff,9.0,0.0,0.0
8466441ffffffff,1.0,0.0,0.0
8466451ffffffff,2.0,0.0,0.0
8466453ffffffff,2.0,0.0,0.0
8466455ffffffff,1.0,0.0,0.0
8466485ffffffff,2.0,0.0,0.0
8466487ffffffff,10.0,0.0,0.0
846648dffffffff,2.0,0.0,0.0
84664e1ffffffff,1.0,0.0,0.0
8466505ffffffff,1.0,0.0,0.0
8466529ffffffff,11.0,0.0,0.0
846652dffffffff,3.0,0.0,0.0
8466537ffffffff,2.0,0.0,0.0
846654bffffffff,2.0,0.0,0.0
8466561ffffffff,4.0,0.0,0.0
8466565ffffffff,3.0,0.0,0.0
846656dffffffff,4.0,0.0,0.0
84665a3ffffffff,2.0,0.0,0.0
84665abffffffff,108.0,0.0,0.0
84665bdffffffff,273.0,0.0,0.0
84665e9ffffffff,3.0,0.0,0.0
8466603ffffffff,2.0,0.0,0.0
8466633ffffffff,2.0,0.0,0.0
8466637ffffffff,16.0,0.0,0.0
84666a1ffffffff,5.0,0.0,0.0
84666c5ffffffff,1.0,0.0,0.0
84666e3ffffffff,1.0,0.0,0.0
84666ebffffffff,4.0,0.0,0.0
8466749ffffffff,1.0,0.0,0.0
8466a01ffffffff,50.0,0.0,0.0
8466a05ffffffff,12.0,0.0,0.0
8466a0bffffffff,161.0,0.0,0.0
8466a2dffffffff,1.0,0.0,0.0
8466a31ffffffff,3.0,0.0,0.0
8466a33ffffffff,3.0,0.0,0.0
8466a51ffffffff,4391.0,0.0,0.0
8466a55ffffffff,33.0,0.0,0.0
8466a57ffffffff,54.0,0.0,0.0
8466a59ffffffff,55.0,0.0,0.0
8466a5bffffffff,14.0,0.0,0.0
8466a5dffffffff,48.0,0.0,0.0
8466a65ffffffff,21.0,0.0,0.0
8466a67ffffffff,2.0,0.0,0.0
8466b01ffffffff,23.0,0.0,0.0
8466b09ffffffff,19.0,0.0,0.0
8466b0bffffffff,72.0,0.0,0.0
8466b41ffffffff,72.0,0.0,0.0
8466b43ffffffff,119.0,0.0,0.0
8466b45ffffffff,37.0,0.0,0.0
8466b47ffffffff,37.0,0.0,0.0
8466b49ffffffff,813.0,0.0,0.0
8466b4bffffffff,38.0,0.0,0.0
8466b4dffffffff,472.0,0.0,0.0
8466b51ffffffff,59.0,0.0,0.0
8466b53ffffffff,7.0,0.0,0.0
8466b55ffffffff,305.0,0.0,0.0
