cell_id,Phaethon lepturus,Phaethon lepturus lepturus,Phaethon lepturus fulvus,Phaethon lepturus europae,Phaethon lepturus catesbyi,Phaethon lepturus dorotheae,Phaethon lepturus ascensionis
822a4ffffffffff,739.0,0.0,0.0,0.0,0.0,0.0,0.0
822a57fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
824487fffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
82449ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8244b7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
824517fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82454ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82455ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
824587fffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8245a7fffffffff,91.0,0.0,0.0,0.0,0.0,0.0,0.0
8245b7fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
824647fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
82464ffffffffff,4173.0,0.0,0.0,0.0,0.0,1065.0,0.0
82465ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
82466ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8247a7fffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0
824c87fffffffff,70.0,0.0,0.0,0.0,0.0,0.0,0.0
824c97fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
824c9ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
824caffffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0
824cb7fffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0
824cc7fffffffff,357.0,0.0,0.0,0.0,0.0,0.0,0.0
824cd7fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0
824ceffffffffff,219.0,0.0,0.0,0.0,0.0,0.0,0.0
824cf7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
824d4ffffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0
824d9ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
824e77fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
824f47fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
824f4ffffffffff,148.0,0.0,0.0,0.0,0.0,38.0,0.0
825caffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
825d17fffffffff,2080.0,0.0,0.0,0.0,0.0,854.0,0.0
825d27fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
825e1ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
825e47fffffffff,106.0,0.0,0.0,0.0,0.0,0.0,0.0
825e4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
825e5ffffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0
825e77fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
826107fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
826157fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82615ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
826727fffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0
