cell_id,Telophorus zeylonus,Telophorus zeylonus [zeylonus Group],Telophorus zeylonus restrictus
838304fffffffff,2.0,0.0,0.0
838320fffffffff,5.0,0.0,0.0
838326fffffffff,3.0,0.0,0.0
83ac12fffffffff,61.0,12.0,0.0
83ac85fffffffff,2.0,0.0,0.0
83aca0fffffffff,2.0,2.0,0.0
83aca1fffffffff,48.0,7.0,0.0
83aca3fffffffff,6.0,1.0,0.0
83aca4fffffffff,67.0,31.0,0.0
83aca5fffffffff,3.0,0.0,0.0
83acaafffffffff,18.0,0.0,0.0
83acaefffffffff,73.0,4.0,0.0
83ad12fffffffff,53.0,6.0,0.0
83ad32fffffffff,890.0,295.0,0.0
83ad36fffffffff,495.0,134.0,0.0
83ad82fffffffff,3.0,0.0,0.0
83ad83fffffffff,2.0,0.0,0.0
83ad85fffffffff,2.0,0.0,0.0
83ad86fffffffff,5.0,0.0,0.0
83ad88fffffffff,3.0,0.0,0.0
83ad89fffffffff,1.0,0.0,0.0
83ad8bfffffffff,11.0,0.0,0.0
83ad8cfffffffff,1.0,0.0,0.0
83ada0fffffffff,20.0,10.0,0.0
83ada1fffffffff,30.0,5.0,0.0
83ada2fffffffff,23.0,2.0,0.0
83ada3fffffffff,5.0,1.0,0.0
83ada4fffffffff,41.0,8.0,0.0
83ada5fffffffff,3.0,0.0,0.0
83ada6fffffffff,1.0,0.0,0.0
83ada8fffffffff,4.0,0.0,0.0
83adaafffffffff,8.0,0.0,0.0
83adabfffffffff,4.0,0.0,0.0
83adacfffffffff,5.0,2.0,0.0
83adaefffffffff,2.0,0.0,0.0
83adb0fffffffff,13.0,0.0,0.0
83adb1fffffffff,2.0,0.0,0.0
83adb4fffffffff,1.0,1.0,0.0
83adb5fffffffff,8.0,2.0,0.0
83bc09fffffffff,4.0,0.0,0.0
83bc0bfffffffff,4.0,0.0,0.0
83bc19fffffffff,4.0,4.0,0.0
83bc1bfffffffff,1.0,0.0,0.0
83bc40fffffffff,87.0,2.0,0.0
83bc41fffffffff,19.0,3.0,0.0
83bc42fffffffff,1.0,0.0,0.0
83bc43fffffffff,106.0,15.0,0.0
83bc44fffffffff,11.0,0.0,0.0
83bc45fffffffff,26.0,1.0,0.0
83bc46fffffffff,16.0,0.0,0.0
83bc48fffffffff,44.0,24.0,0.0
83bc49fffffffff,91.0,16.0,0.0
83bc4afffffffff,1.0,1.0,0.0
83bc4bfffffffff,59.0,26.0,0.0
83bc4cfffffffff,6.0,0.0,0.0
83bc4dfffffffff,308.0,86.0,0.0
83bc4efffffffff,9.0,9.0,0.0
83bc50fffffffff,10.0,0.0,0.0
83bc51fffffffff,10.0,2.0,0.0
83bc52fffffffff,2.0,0.0,0.0
83bc53fffffffff,1.0,0.0,0.0
83bc54fffffffff,8.0,3.0,0.0
83bc55fffffffff,16.0,1.0,0.0
83bc56fffffffff,2.0,0.0,0.0
83bc58fffffffff,2.0,0.0,0.0
83bc59fffffffff,2.0,0.0,0.0
83bc5cfffffffff,3.0,2.0,0.0
83bc5dfffffffff,1.0,0.0,0.0
83bc5efffffffff,28.0,1.0,0.0
83bc68fffffffff,353.0,102.0,0.0
83bc69fffffffff,53.0,5.0,0.0
83bc6afffffffff,169.0,31.0,0.0
83bc6bfffffffff,104.0,10.0,0.0
83bc71fffffffff,45.0,0.0,0.0
83bc72fffffffff,3.0,0.0,0.0
83bc73fffffffff,165.0,4.0,0.0
83bcc0fffffffff,3.0,0.0,0.0
83bcc1fffffffff,7.0,0.0,0.0
83bcc2fffffffff,25.0,3.0,0.0
83bcc3fffffffff,139.0,27.0,0.0
83bcc4fffffffff,71.0,14.0,0.0
83bcc5fffffffff,2.0,0.0,0.0
83bcc6fffffffff,161.0,36.0,0.0
83bcd0fffffffff,12.0,0.0,0.0
83bcd1fffffffff,115.0,20.0,0.0
83bcd4fffffffff,23.0,0.0,0.0
83bcd5fffffffff,22.0,9.0,0.0
83bcd6fffffffff,5.0,0.0,0.0
83bcdcfffffffff,75.0,14.0,0.0
83bce0fffffffff,10.0,3.0,0.0
83bce1fffffffff,7.0,0.0,0.0
83bce2fffffffff,326.0,77.0,0.0
83bce3fffffffff,13.0,1.0,0.0
83bce5fffffffff,2.0,1.0,0.0
83bce6fffffffff,51.0,15.0,0.0
83bce8fffffffff,3.0,0.0,0.0
83bce9fffffffff,12.0,0.0,0.0
83bcecfffffffff,4.0,1.0,0.0
83bcedfffffffff,4.0,0.0,0.0
83bceefffffffff,4.0,0.0,0.0
83bcf0fffffffff,10.0,0.0,0.0
83bcf1fffffffff,28.0,5.0,0.0
83bcf2fffffffff,4.0,1.0,0.0
83bcf3fffffffff,156.0,46.0,0.0
83bcf5fffffffff,28.0,11.0,0.0
83bcf6fffffffff,7.0,0.0,0.0
