cell_id,Granatellus pelzelni,Granatellus pelzelni pelzelni,Granatellus pelzelni paraensis
825f07fffffffff,12.0,0.0,0.0
825f1ffffffffff,12.0,0.0,0.0
825f2ffffffffff,119.0,0.0,0.0
825f47fffffffff,35.0,0.0,0.0
825f6ffffffffff,14.0,0.0,0.0
825f77fffffffff,8.0,0.0,0.0
826647fffffffff,255.0,20.0,0.0
82665ffffffffff,2.0,0.0,0.0
8266effffffffff,5.0,0.0,0.0
82802ffffffffff,1.0,0.0,0.0
828047fffffffff,7.0,0.0,0.0
82804ffffffffff,3.0,0.0,0.0
828067fffffffff,11.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0
828077fffffffff,4.0,0.0,0.0
828147fffffffff,40.0,1.0,0.0
82814ffffffffff,145.0,0.0,0.0
82815ffffffffff,15.0,0.0,0.0
828167fffffffff,67.0,1.0,2.0
828177fffffffff,4.0,0.0,0.0
828a07fffffffff,17.0,0.0,0.0
828a17fffffffff,13.0,0.0,0.0
828a27fffffffff,2.0,0.0,0.0
828a2ffffffffff,1.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0
828a87fffffffff,13.0,0.0,0.0
828a97fffffffff,3.0,0.0,0.0
828aaffffffffff,2.0,0.0,0.0
828ab7fffffffff,2.0,0.0,0.0
828adffffffffff,5.0,0.0,0.0
828b0ffffffffff,2.0,0.0,0.0
828b17fffffffff,4.0,0.0,0.0
828b57fffffffff,6.0,0.0,0.0
828b87fffffffff,17.0,0.0,0.0
828b8ffffffffff,4.0,0.0,0.0
828b9ffffffffff,272.0,0.0,0.0
828ba7fffffffff,3.0,0.0,0.0
