cell_id,Grallaricula ferrugineipectus,Grallaricula ferrugineipectus rara,Grallaricula ferrugineipectus ferrugineipectus
826627fffffffff,1242.0,0.0,205.0
82662ffffffffff,75.0,0.0,1.0
8266e7fffffffff,263.0,0.0,0.0
826747fffffffff,14.0,0.0,0.0
82674ffffffffff,532.0,0.0,7.0
826757fffffffff,22.0,0.0,0.0
82675ffffffffff,63.0,0.0,4.0
