cell_id,Cinnyris ludovicensis,Cinnyris ludovicensis ludovicensis,Cinnyris ludovicensis whytei/skye
828317fffffffff,9.0,5.0,0.0
828327fffffffff,30.0,9.0,0.0
828337fffffffff,34.0,13.0,0.0
8283a7fffffffff,1.0,0.0,0.0
8283affffffffff,2.0,1.0,0.0
8296a7fffffffff,49.0,0.0,2.0
82978ffffffffff,2.0,0.0,0.0
8297affffffffff,3.0,0.0,0.0
