cell_id,Cinnyris reichenowi,Cinnyris reichenowi preussi,Cinnyris reichenowi reichenowi
8458c8bffffffff,1.0,1.0,0.0
8458ca5ffffffff,1.0,0.0,0.0
8458d0bffffffff,1.0,0.0,0.0
8458d13ffffffff,7.0,1.0,0.0
8458d1dffffffff,2.0,0.0,0.0
8458d33ffffffff,32.0,32.0,0.0
8458d37ffffffff,5.0,5.0,0.0
8458db5ffffffff,4.0,0.0,0.0
8458dcdffffffff,3.0,0.0,0.0
8458de1ffffffff,3.0,0.0,0.0
8458de3ffffffff,2.0,0.0,0.0
8458debffffffff,5.0,0.0,0.0
8458dedffffffff,2.0,0.0,0.0
846ac03ffffffff,18.0,0.0,0.0
846ac07ffffffff,6.0,0.0,0.0
846ac15ffffffff,17.0,0.0,2.0
846ac1dffffffff,4.0,0.0,0.0
846ac35ffffffff,3.0,0.0,0.0
846ac3dffffffff,16.0,0.0,2.0
846ac5bffffffff,3.0,0.0,2.0
846ac93ffffffff,5.0,0.0,0.0
846ace5ffffffff,1.0,0.0,0.0
846adc1ffffffff,1428.0,0.0,124.0
846adc3ffffffff,6.0,0.0,0.0
846adc5ffffffff,190.0,0.0,2.0
846adc7ffffffff,19.0,0.0,0.0
846adc9ffffffff,6.0,0.0,0.0
846ade5ffffffff,3.0,0.0,0.0
846ade7ffffffff,180.0,0.0,0.0
846ade9ffffffff,1.0,0.0,1.0
846aea1ffffffff,5.0,0.0,0.0
846aea9ffffffff,2.0,0.0,0.0
846aedbffffffff,1.0,0.0,0.0
846aee3ffffffff,4.0,0.0,0.0
846aee5ffffffff,3.0,0.0,1.0
847a409ffffffff,6.0,0.0,0.0
847a40bffffffff,6.0,0.0,0.0
847a419ffffffff,2.0,0.0,0.0
847a41bffffffff,27.0,0.0,0.0
847a451ffffffff,17.0,0.0,0.0
847a453ffffffff,62.0,0.0,0.0
847a455ffffffff,281.0,0.0,0.0
847a457ffffffff,151.0,0.0,1.0
847a459ffffffff,15.0,0.0,0.0
847a45bffffffff,69.0,0.0,0.0
847a481ffffffff,1.0,0.0,0.0
847a489ffffffff,42.0,0.0,0.0
847a48bffffffff,31.0,0.0,3.0
847a48dffffffff,17.0,0.0,0.0
847a4c1ffffffff,12.0,0.0,0.0
847a4c3ffffffff,4.0,0.0,0.0
847a4c5ffffffff,25.0,0.0,0.0
847a4c7ffffffff,15.0,0.0,0.0
847a4c9ffffffff,9.0,0.0,0.0
847a4cbffffffff,201.0,0.0,0.0
847a4cdffffffff,26.0,0.0,0.0
847a4ddffffffff,87.0,0.0,0.0
847a6a1ffffffff,7.0,0.0,0.0
847a6a3ffffffff,4.0,0.0,0.0
847a6a5ffffffff,4.0,0.0,0.0
847a6adffffffff,13.0,0.0,0.0
847a6b5ffffffff,1.0,0.0,0.0
847a6b7ffffffff,8.0,0.0,0.0
847a6bdffffffff,4.0,0.0,0.0
847a6e1ffffffff,4.0,0.0,0.0
847a6e5ffffffff,300.0,0.0,0.0
847a6e7ffffffff,30.0,0.0,0.0
84828b5ffffffff,5.0,0.0,0.0
8482d03ffffffff,26.0,17.0,0.0
8482d1dffffffff,64.0,40.0,0.0
8482d27ffffffff,11.0,0.0,0.0
8482d3dffffffff,29.0,17.0,0.0
8496d21ffffffff,6.0,0.0,0.0
