cell_id,Campocolinus albogularis,Campocolinus albogularis albogularis/buckleyi,Campocolinus albogularis dewittei
835408fffffffff,2.0,0.0,0.0
835419fffffffff,1.0,0.0,0.0
835440fffffffff,1.0,0.0,0.0
835449fffffffff,1.0,0.0,0.0
83545dfffffffff,1.0,0.0,0.0
8354e4fffffffff,10.0,3.0,0.0
8354e6fffffffff,1.0,0.0,0.0
8354f6fffffffff,1.0,0.0,0.0
835818fffffffff,1.0,0.0,0.0
835884fffffffff,1.0,0.0,0.0
8358cdfffffffff,14.0,2.0,0.0
8358f4fffffffff,1.0,0.0,0.0
83599afffffffff,1.0,0.0,0.0
83599efffffffff,2.0,0.0,0.0
83750dfffffffff,2.0,0.0,0.0
837514fffffffff,1.0,0.0,0.0
837515fffffffff,1.0,0.0,0.0
837520fffffffff,184.0,23.0,0.0
837529fffffffff,2.0,0.0,0.0
83752bfffffffff,1.0,0.0,0.0
