cell_id,Catharus ustulatus,Catharus ustulatus [ustulatus Group],Catharus ustulatus [swainsoni Group]
8426123ffffffff,2.0,0.0,0.0
842614bffffffff,2.0,0.0,2.0
8426165ffffffff,2.0,0.0,0.0
84261b3ffffffff,2.0,0.0,0.0
84261d3ffffffff,2.0,0.0,0.0
842622dffffffff,2.0,0.0,2.0
8426257ffffffff,3.0,0.0,0.0
8426269ffffffff,4.0,0.0,0.0
842626dffffffff,5.0,0.0,0.0
8426291ffffffff,10.0,0.0,0.0
84262b3ffffffff,22.0,0.0,0.0
84262cdffffffff,6.0,0.0,0.0
84262dbffffffff,2.0,0.0,0.0
84262e7ffffffff,3.0,0.0,0.0
8426315ffffffff,2.0,0.0,2.0
842632bffffffff,2.0,0.0,2.0
8426369ffffffff,2.0,0.0,0.0
8426405ffffffff,2.0,0.0,0.0
842640dffffffff,6.0,0.0,0.0
8426413ffffffff,3.0,0.0,0.0
8426415ffffffff,1.0,0.0,0.0
8426421ffffffff,1.0,0.0,0.0
8426423ffffffff,1.0,0.0,0.0
8426461ffffffff,1.0,0.0,0.0
8426463ffffffff,26.0,0.0,0.0
8426483ffffffff,3.0,0.0,3.0
8426489ffffffff,5.0,0.0,0.0
842648bffffffff,6.0,0.0,0.0
8426493ffffffff,3.0,0.0,0.0
842649bffffffff,4.0,0.0,0.0
842649dffffffff,3.0,0.0,3.0
84264a5ffffffff,3.0,0.0,0.0
84264a7ffffffff,6.0,0.0,0.0
84264b9ffffffff,13.0,0.0,0.0
84264bbffffffff,2.0,0.0,0.0
84264c3ffffffff,3.0,0.0,1.0
84264c5ffffffff,11.0,0.0,0.0
84264d1ffffffff,8.0,0.0,0.0
84264dbffffffff,10.0,0.0,0.0
84264ddffffffff,2.0,0.0,0.0
84264e1ffffffff,1.0,0.0,0.0
84264e5ffffffff,14.0,0.0,0.0
84264ebffffffff,2.0,0.0,0.0
84264edffffffff,1.0,0.0,0.0
842651bffffffff,3.0,0.0,0.0
842652dffffffff,1.0,0.0,0.0
8426533ffffffff,6.0,0.0,0.0
842653bffffffff,1.0,0.0,0.0
842654dffffffff,1.0,0.0,0.0
8426555ffffffff,4.0,0.0,0.0
8426561ffffffff,6.0,0.0,0.0
8426565ffffffff,8.0,0.0,0.0
8426567ffffffff,22.0,0.0,0.0
8426569ffffffff,1.0,0.0,0.0
842656dffffffff,2.0,0.0,0.0
8426585ffffffff,4.0,0.0,0.0
8426599ffffffff,8.0,0.0,0.0
842659bffffffff,2.0,0.0,0.0
84265b5ffffffff,11.0,0.0,0.0
84265cdffffffff,1.0,0.0,0.0
84265d7ffffffff,3.0,0.0,0.0
84265dbffffffff,14.0,0.0,0.0
8426607ffffffff,10.0,0.0,0.0
8426619ffffffff,1.0,0.0,0.0
842661bffffffff,9.0,0.0,0.0
8426621ffffffff,4.0,0.0,0.0
8426625ffffffff,5.0,0.0,0.0
8426629ffffffff,3.0,0.0,0.0
842662bffffffff,12.0,0.0,0.0
842662dffffffff,2.0,0.0,0.0
8426631ffffffff,1.0,0.0,0.0
8426641ffffffff,7.0,0.0,0.0
8426645ffffffff,8.0,0.0,0.0
8426649ffffffff,7.0,0.0,0.0
842664dffffffff,74.0,0.0,13.0
8426651ffffffff,1.0,0.0,0.0
8426657ffffffff,3.0,0.0,0.0
842665bffffffff,1.0,0.0,0.0
8426667ffffffff,1.0,0.0,0.0
8426669ffffffff,11.0,0.0,0.0
8426681ffffffff,1.0,0.0,0.0
8426689ffffffff,23.0,0.0,0.0
842668bffffffff,8.0,0.0,0.0
842669bffffffff,1.0,0.0,0.0
84266a1ffffffff,5.0,0.0,2.0
84266adffffffff,3.0,0.0,3.0
84266b1ffffffff,1.0,0.0,0.0
84266b3ffffffff,2.0,0.0,0.0
84266b9ffffffff,3.0,0.0,0.0
84266bbffffffff,9.0,0.0,0.0
84266c5ffffffff,3.0,0.0,1.0
84266dbffffffff,11.0,0.0,0.0
84266ebffffffff,1.0,0.0,0.0
8426717ffffffff,2.0,0.0,0.0
8426745ffffffff,2.0,0.0,0.0
8426747ffffffff,2.0,0.0,0.0
842674dffffffff,1.0,0.0,0.0
842675dffffffff,4.0,0.0,0.0
8426763ffffffff,2.0,0.0,0.0
8426801ffffffff,9.0,0.0,7.0
8426809ffffffff,4.0,0.0,0.0
842680bffffffff,9.0,0.0,0.0
842680dffffffff,8.0,0.0,2.0
8426811ffffffff,9.0,0.0,0.0
8426815ffffffff,2.0,0.0,0.0
8426817ffffffff,1.0,0.0,0.0
8426819ffffffff,2.0,0.0,0.0
842681bffffffff,5.0,0.0,0.0
8426833ffffffff,8.0,0.0,0.0
8426835ffffffff,1.0,0.0,0.0
8426837ffffffff,2.0,0.0,0.0
842683bffffffff,3.0,0.0,0.0
842684bffffffff,2.0,0.0,2.0
8426853ffffffff,1.0,0.0,0.0
8426857ffffffff,2.0,0.0,0.0
8426889ffffffff,28.0,0.0,5.0
842688dffffffff,9.0,0.0,7.0
8426893ffffffff,2.0,0.0,0.0
84268c5ffffffff,3.0,0.0,0.0
84268c7ffffffff,5.0,0.0,0.0
84268c9ffffffff,3.0,0.0,0.0
84268cdffffffff,18.0,0.0,0.0
84268d5ffffffff,32.0,5.0,6.0
84268d9ffffffff,11.0,0.0,0.0
84268dbffffffff,11.0,0.0,3.0
84268ddffffffff,1.0,0.0,0.0
84268ebffffffff,2.0,0.0,0.0
8426907ffffffff,17.0,0.0,0.0
8426909ffffffff,5.0,0.0,5.0
842690dffffffff,7.0,0.0,0.0
8426961ffffffff,42.0,0.0,0.0
8426963ffffffff,16.0,0.0,0.0
8426969ffffffff,4.0,0.0,0.0
842696bffffffff,200.0,0.0,67.0
8426983ffffffff,19.0,0.0,0.0
842699dffffffff,2.0,0.0,0.0
84269c5ffffffff,14.0,0.0,0.0
84269cbffffffff,5.0,0.0,0.0
84269cdffffffff,2.0,0.0,2.0
84269d9ffffffff,2.0,0.0,0.0
84269ebffffffff,5.0,0.0,0.0
8426a4bffffffff,2.0,0.0,2.0
8426a53ffffffff,4.0,0.0,4.0
8426a59ffffffff,2.0,0.0,0.0
8426a85ffffffff,1.0,1.0,0.0
8426a87ffffffff,6.0,0.0,2.0
8426a8bffffffff,4.0,0.0,2.0
8426a8dffffffff,2.0,0.0,2.0
8426a95ffffffff,3.0,1.0,0.0
8426a97ffffffff,4.0,0.0,4.0
8426aa5ffffffff,5.0,0.0,0.0
8426aa7ffffffff,11.0,0.0,0.0
8426aa9ffffffff,26.0,1.0,10.0
8426aabffffffff,2.0,0.0,2.0
8426aadffffffff,7.0,1.0,2.0
8426ab1ffffffff,2.0,0.0,0.0
8426ab3ffffffff,8.0,0.0,5.0
8426ab5ffffffff,10.0,2.0,1.0
8426ab7ffffffff,21.0,2.0,0.0
8426abbffffffff,10.0,0.0,5.0
8426ac5ffffffff,6.0,0.0,0.0
8426acbffffffff,1.0,0.0,0.0
8426adbffffffff,5.0,0.0,2.0
8426ae3ffffffff,7.0,1.0,2.0
8426b0bffffffff,1.0,0.0,0.0
8426b47ffffffff,2.0,0.0,0.0
8426b61ffffffff,2.0,0.0,0.0
8426b65ffffffff,9.0,0.0,7.0
8426b6dffffffff,8.0,0.0,4.0
8426c11ffffffff,2.0,0.0,0.0
8426c19ffffffff,8.0,0.0,0.0
8426c1bffffffff,8.0,0.0,0.0
8426c31ffffffff,2.0,0.0,0.0
8426c3bffffffff,5.0,0.0,3.0
8426c4dffffffff,1.0,0.0,0.0
8426c53ffffffff,4.0,0.0,0.0
8426c5bffffffff,7.0,0.0,0.0
8426c83ffffffff,9.0,0.0,0.0
8426c87ffffffff,2.0,0.0,0.0
8426c89ffffffff,4.0,0.0,0.0
8426c97ffffffff,3.0,0.0,0.0
8426cbdffffffff,3.0,0.0,0.0
8426d09ffffffff,2.0,0.0,0.0
8426d31ffffffff,2.0,0.0,2.0
8426d45ffffffff,3.0,0.0,0.0
8426d49ffffffff,1.0,0.0,0.0
8426d4bffffffff,6.0,0.0,0.0
8426d6bffffffff,11.0,0.0,0.0
8426de7ffffffff,4.0,0.0,0.0
8426e1bffffffff,2.0,0.0,0.0
8426e21ffffffff,5.0,0.0,0.0
8426e3bffffffff,2.0,0.0,0.0
8426e3dffffffff,3.0,0.0,0.0
8426e43ffffffff,12.0,0.0,0.0
8426e51ffffffff,4.0,0.0,0.0
8426e57ffffffff,1.0,0.0,0.0
8426e5bffffffff,6.0,0.0,2.0
8426e63ffffffff,2.0,0.0,0.0
8426e67ffffffff,2.0,0.0,0.0
