cell_id,Aplopelia larvata,Aplopelia larvata inornata,Aplopelia larvata principalis,Aplopelia larvata simplex,Aplopelia larvata larvata/bronzina
836ac5fffffffff,3.0,0.0,0.0,0.0,3.0
837a45fffffffff,4.0,0.0,0.0,0.0,0.0
837a4cfffffffff,1.0,0.0,0.0,0.0,0.0
837a4dfffffffff,1.0,0.0,0.0,0.0,0.0
837a5cfffffffff,1.0,0.0,0.0,0.0,0.0
837a5dfffffffff,2.0,0.0,0.0,0.0,0.0
837a63fffffffff,2.0,0.0,0.0,0.0,0.0
837a64fffffffff,2.0,0.0,0.0,0.0,0.0
837a65fffffffff,6.0,0.0,0.0,0.0,0.0
837a68fffffffff,2.0,0.0,0.0,0.0,0.0
837a6afffffffff,1.0,0.0,0.0,0.0,0.0
837a6efffffffff,3.0,0.0,0.0,0.0,0.0
8382c0fffffffff,3.0,0.0,3.0,0.0,0.0
8382e3fffffffff,7.0,0.0,0.0,2.0,0.0
839690fffffffff,2.0,0.0,0.0,0.0,0.0
83972dfffffffff,17.0,0.0,0.0,0.0,0.0
83ad36fffffffff,5.0,0.0,0.0,0.0,2.0
83bc45fffffffff,1.0,0.0,0.0,0.0,1.0
83bcf0fffffffff,6.0,0.0,0.0,0.0,0.0
