cell_id,Zoothera heinei,Zoothera heinei [heinei Group],Zoothera heinei eichhorni
847795bffffffff,3.0,0.0,0.0
849d013ffffffff,2.0,0.0,0.0
849d0c5ffffffff,10.0,0.0,0.0
849d0cdffffffff,21.0,0.0,0.0
84be181ffffffff,45.0,0.0,0.0
84be183ffffffff,5.0,0.0,0.0
84be187ffffffff,10.0,0.0,0.0
84be189ffffffff,2.0,0.0,0.0
84be18bffffffff,22.0,0.0,0.0
84be18dffffffff,3.0,0.0,0.0
84be191ffffffff,1.0,0.0,0.0
84be199ffffffff,52.0,0.0,0.0
84be19dffffffff,16.0,0.0,0.0
84be1a1ffffffff,8.0,0.0,0.0
84be1a3ffffffff,33.0,0.0,0.0
84be1a5ffffffff,4.0,0.0,0.0
84be1a9ffffffff,1.0,0.0,0.0
84be1abffffffff,3.0,0.0,0.0
84be1d1ffffffff,1.0,0.0,0.0
84be883ffffffff,8.0,0.0,0.0
84be887ffffffff,3.0,0.0,0.0
84be88bffffffff,20.0,0.0,0.0
84be89bffffffff,1.0,0.0,0.0
84be89dffffffff,20.0,0.0,0.0
84be8d1ffffffff,246.0,0.0,0.0
84be8d3ffffffff,29.0,0.0,0.0
84be8d7ffffffff,36.0,0.0,0.0
84bea91ffffffff,4.0,0.0,0.0
84bea97ffffffff,8.0,0.0,0.0
84beabbffffffff,10.0,0.0,0.0
84bef2dffffffff,5.0,0.0,0.0
84bef41ffffffff,5.0,0.0,0.0
84bef61ffffffff,1.0,0.0,0.0
84bef67ffffffff,2.0,0.0,0.0
84bef6dffffffff,68.0,0.0,0.0
